"statistic, pvalue, row is better than column",template_32,best set: template_40,template_45,template_0,template_34,template_39,template_37,template_14,template_36,template_10,template_35,template_46,template_17,template_31,template_55,template_41,template_27,template_16,template_30,template_47,template_42,template_38,template_2,template_19,template_26,template_4,template_7,template_5,template_18,template_12,template_13,template_48,template_50,template_29,template_28,template_20,template_33,template_23,template_24,template_52,template_53,template_25,template_3,template_44,template_6,template_1,template_54,template_11,template_51,template_49,template_43,template_8,template_9,template_21,template_15,template_22,group,accuracy
template_32,None,"11.00, 1.00, None","27.00, 1.00, True","24.00, 1.00, True","6.00, 0.79, True","21.00, 0.88, True","26.00, 0.89, True","20.00, 0.76, True","10.00, 0.68, True","21.00, 0.77, True","20.00, 0.76, True","18.00, 0.75, True","24.00, 0.78, True","22.00, 0.67, True","26.00, 0.69, True","23.00, 0.58, True","22.00, 0.57, True","12.00, 0.36, True","8.00, 0.29, True","24.00, 0.50, True","16.00, 0.42, True","6.00, 0.24, True","14.00, 0.39, True","20.00, 0.46, True","16.00, 0.42, True","17.00, 0.43, True","22.00, 0.48, True","24.00, 0.42, True","15.00, 0.32, True","17.00, 0.35, True","25.00, 0.43, True","12.00, 0.22, True","15.00, 0.26, True","19.00, 0.30, True","5.00, 0.10, True","11.00, 0.20, True","18.00, 0.29, True","22.00, 0.27, True","13.00, 0.18, True","15.00, 0.20, True","23.00, 0.28, True","20.00, 0.25, True","25.00, 0.30, True","11.00, 0.15, True","12.00, 0.12, True","22.00, 0.22, True","15.00, 0.15, True","22.00, 0.18, True","22.00, 0.18, True","20.00, 0.16, True","22.00, 0.14, True","16.00, 0.10, True","23.00, 0.15, True","17.00, 0.10, True","18.00, 0.09, True","10.00, 0.04, True",A,0.318
template_40,"11.00, 1.00, True",None,"25.00, 1.00, True","23.00, 1.00, True","11.00, 0.84, True","20.00, 0.88, True","23.00, 0.89, True","17.00, 0.74, True","9.00, 0.66, True","19.00, 0.76, True","23.00, 0.78, True","19.00, 0.76, True","27.00, 0.79, True","25.00, 0.68, True","23.00, 0.67, True","21.00, 0.56, True","24.00, 0.58, True","14.00, 0.39, True","12.00, 0.36, True","22.00, 0.48, True","15.00, 0.41, True","4.00, 0.18, True","14.00, 0.39, True","23.00, 0.49, True","17.00, 0.43, True","18.00, 0.44, True","23.00, 0.49, True","25.00, 0.43, True","20.00, 0.38, True","17.00, 0.35, True","25.00, 0.43, True","12.00, 0.22, True","16.00, 0.27, True","19.00, 0.30, True","8.00, 0.15, True","15.00, 0.26, True","20.00, 0.31, True","23.00, 0.28, True","14.00, 0.19, True","13.00, 0.18, True","19.00, 0.24, True","20.00, 0.25, True","25.00, 0.30, True","13.00, 0.18, True","11.00, 0.11, True","22.00, 0.22, True","13.00, 0.13, True","20.00, 0.16, True","19.00, 0.15, True","19.00, 0.15, True","18.00, 0.11, True","15.00, 0.09, True","22.00, 0.14, True","20.00, 0.13, True","17.00, 0.08, True","12.00, 0.05, True",A,0.318
template_45,"27.00, 1.00, False","25.00, 1.00, False",None,"33.00, 1.00, None","25.00, 1.00, True","21.00, 1.00, True","20.00, 1.00, True","27.00, 0.89, True","24.00, 0.89, True","29.00, 0.90, True","20.00, 0.88, True","26.00, 0.89, True","13.00, 0.85, True","12.00, 0.70, True","13.00, 0.71, True","20.00, 0.65, True","12.00, 0.57, True","24.00, 0.58, True","22.00, 0.57, True","10.00, 0.42, True","26.00, 0.60, True","25.00, 0.59, True","24.00, 0.58, True","12.00, 0.46, True","27.00, 0.60, True","26.00, 0.60, True","11.00, 0.44, True","11.00, 0.34, True","23.00, 0.49, True","26.00, 0.51, True","10.00, 0.33, True","22.00, 0.40, True","23.00, 0.41, True","13.00, 0.30, True","19.00, 0.37, True","21.00, 0.39, True","18.00, 0.36, True","13.00, 0.23, True","24.00, 0.35, True","23.00, 0.34, True","9.00, 0.17, True","12.00, 0.22, True","9.00, 0.17, True","22.00, 0.33, True","23.00, 0.28, True","11.00, 0.15, True","22.00, 0.27, True","7.00, 0.06, True","6.00, 0.05, True","7.00, 0.06, True","6.00, 0.03, True","24.00, 0.19, True","8.00, 0.05, True","8.00, 0.05, True","7.00, 0.03, True","20.00, 0.13, True",A,0.311
template_0,"24.00, 1.00, False","23.00, 1.00, False","33.00, 1.00, True",None,"22.00, 1.00, True","33.00, 1.00, True","33.00, 1.00, True","11.00, 0.84, True","26.00, 0.89, True","7.00, 0.80, True","33.00, 0.90, True","14.00, 0.86, True","31.00, 0.90, True","30.00, 0.80, True","28.00, 0.79, True","31.00, 0.71, True","27.00, 0.69, True","17.00, 0.52, True","22.00, 0.57, True","26.00, 0.60, True","9.00, 0.40, True","21.00, 0.56, True","12.00, 0.46, True","23.00, 0.58, True","11.00, 0.44, True","7.00, 0.36, True","26.00, 0.60, True","25.00, 0.50, True","13.00, 0.38, True","6.00, 0.24, True","26.00, 0.51, True","11.00, 0.26, True","9.00, 0.23, True","29.00, 0.46, True","18.00, 0.36, True","12.00, 0.28, True","26.00, 0.43, True","23.00, 0.34, True","13.00, 0.23, True","9.00, 0.17, True","27.00, 0.37, True","21.00, 0.32, True","25.00, 0.36, True","11.00, 0.20, True","8.00, 0.11, True","22.00, 0.27, True","8.00, 0.11, True","21.00, 0.21, True","24.00, 0.24, True","25.00, 0.25, True","24.00, 0.19, True","6.00, 0.03, True","24.00, 0.19, True","21.00, 0.17, True","20.00, 0.13, True","9.00, 0.04, True",A,0.311
template_34,"6.00, 0.79, False","11.00, 0.84, False","25.00, 1.00, False","22.00, 1.00, False",None,"21.00, 1.00, None","26.00, 1.00, None","18.00, 1.00, True","13.00, 1.00, True","19.00, 1.00, True","20.00, 1.00, True","16.00, 1.00, True","25.00, 1.00, True","23.00, 0.89, True","26.00, 0.89, True","21.00, 0.77, True","24.00, 0.78, True","11.00, 0.56, True","9.00, 0.52, True","23.00, 0.67, True","16.00, 0.62, True","8.00, 0.50, True","12.00, 0.57, True","21.00, 0.66, True","17.00, 0.63, True","15.00, 0.61, True","22.00, 0.67, True","24.00, 0.58, True","15.00, 0.50, True","15.00, 0.50, True","25.00, 0.59, True","11.00, 0.34, True","13.00, 0.38, True","21.00, 0.47, True","5.00, 0.21, True","9.00, 0.31, True","18.00, 0.44, True","23.00, 0.41, True","13.00, 0.30, True","15.00, 0.32, True","22.00, 0.40, True","21.00, 0.39, True","26.00, 0.43, True","9.00, 0.23, True","9.00, 0.17, True","22.00, 0.33, True","15.00, 0.26, True","22.00, 0.27, True","22.00, 0.27, True","20.00, 0.25, True","23.00, 0.23, True","12.00, 0.12, True","23.00, 0.23, True","19.00, 0.19, True","18.00, 0.14, True","9.00, 0.06, True",A,0.305
template_39,"21.00, 0.88, False","20.00, 0.88, False","21.00, 1.00, False","33.00, 1.00, False","21.00, 1.00, True",None,"16.00, 1.00, None","27.00, 1.00, True","22.00, 1.00, True","29.00, 1.00, True","13.00, 1.00, True","28.00, 1.00, True","23.00, 1.00, True","17.00, 0.87, True","17.00, 0.87, True","4.00, 0.55, True","15.00, 0.73, True","23.00, 0.67, True","21.00, 0.66, True","19.00, 0.64, True","24.00, 0.68, True","18.00, 0.64, True","24.00, 0.68, True","20.00, 0.65, True","29.00, 0.70, True","29.00, 0.70, True","20.00, 0.65, True","21.00, 0.56, True","26.00, 0.60, True","28.00, 0.61, True","17.00, 0.52, True","22.00, 0.48, True","24.00, 0.50, True","12.00, 0.36, True","16.00, 0.42, True","22.00, 0.48, True","11.00, 0.34, True","18.00, 0.36, True","24.00, 0.42, True","22.00, 0.40, True","13.00, 0.30, True","16.00, 0.34, True","23.00, 0.41, True","23.00, 0.41, True","23.00, 0.34, True","20.00, 0.31, True","22.00, 0.33, True","15.00, 0.20, True","16.00, 0.21, True","15.00, 0.20, True","16.00, 0.16, True","23.00, 0.23, True","18.00, 0.18, True","17.00, 0.17, True","14.00, 0.11, True","19.00, 0.15, True",A,0.305
template_37,"26.00, 0.89, False","23.00, 0.89, False","20.00, 1.00, False","33.00, 1.00, False","26.00, 1.00, True","16.00, 1.00, True",None,"29.00, 1.00, True","24.00, 1.00, True","30.00, 1.00, True","14.00, 1.00, True","30.00, 1.00, True","19.00, 1.00, True","17.00, 0.87, True","23.00, 0.89, True","14.00, 0.72, True","19.00, 0.76, True","28.00, 0.70, True","26.00, 0.69, True","21.00, 0.66, True","27.00, 0.69, True","23.00, 0.67, True","26.00, 0.69, True","20.00, 0.65, True","31.00, 0.71, True","29.00, 0.70, True","20.00, 0.65, True","19.00, 0.54, True","26.00, 0.60, True","29.00, 0.61, True","18.00, 0.53, True","25.00, 0.50, True","27.00, 0.52, True","12.00, 0.36, True","23.00, 0.49, True","26.00, 0.51, True","12.00, 0.36, True","15.00, 0.32, True","28.00, 0.45, True","25.00, 0.43, True","19.00, 0.37, True","18.00, 0.36, True","18.00, 0.36, True","26.00, 0.43, True","26.00, 0.37, True","18.00, 0.29, True","24.00, 0.35, True","16.00, 0.21, True","15.00, 0.20, True","18.00, 0.23, True","15.00, 0.15, True","24.00, 0.24, True","15.00, 0.15, True","17.00, 0.17, True","11.00, 0.08, True","22.00, 0.18, True",A,0.305
template_14,"20.00, 0.76, False","17.00, 0.74, False","27.00, 0.89, False","11.00, 0.84, False","18.00, 1.00, False","27.00, 1.00, False","29.00, 1.00, False",None,"23.00, 1.00, None","12.00, 1.00, None","29.00, 1.00, None","13.00, 1.00, None","28.00, 1.00, None","26.00, 1.00, True","27.00, 1.00, True","28.00, 0.90, True","26.00, 0.89, True","13.00, 0.71, True","19.00, 0.76, True","23.00, 0.78, True","12.00, 0.70, True","16.00, 0.74, True","11.00, 0.69, True","23.00, 0.78, True","9.00, 0.66, True","12.00, 0.70, True","25.00, 0.78, True","25.00, 0.68, True","13.00, 0.58, True","11.00, 0.56, True","25.00, 0.68, True","9.00, 0.40, True","12.00, 0.46, True","26.00, 0.60, True","16.00, 0.51, True","9.00, 0.40, True","23.00, 0.58, True","24.00, 0.50, True","10.00, 0.33, True","11.00, 0.34, True","23.00, 0.49, True","23.00, 0.49, True","26.00, 0.51, True","10.00, 0.33, True","10.00, 0.25, True","23.00, 0.41, True","10.00, 0.25, True","20.00, 0.31, True","22.00, 0.33, True","22.00, 0.33, True","24.00, 0.29, True","7.00, 0.09, True","23.00, 0.28, True","20.00, 0.25, True","18.00, 0.18, True","6.00, 0.05, True",A,0.298
template_36,"10.00, 0.68, False","9.00, 0.66, False","24.00, 0.89, False","26.00, 0.89, False","13.00, 1.00, False","22.00, 1.00, False","24.00, 1.00, False","23.00, 1.00, True",None,"26.00, 1.00, None","24.00, 1.00, None","22.00, 1.00, None","27.00, 1.00, None","25.00, 1.00, True","27.00, 1.00, True","23.00, 0.89, True","26.00, 0.89, True","16.00, 0.74, True","10.00, 0.68, True","27.00, 0.79, True","20.00, 0.76, True","9.00, 0.66, True","18.00, 0.75, True","24.00, 0.78, True","22.00, 0.77, True","21.00, 0.77, True","26.00, 0.79, True","29.00, 0.70, True","20.00, 0.65, True","22.00, 0.67, True","29.00, 0.70, True","17.00, 0.52, True","19.00, 0.54, True","21.00, 0.56, True","11.00, 0.44, True","17.00, 0.52, True","25.00, 0.59, True","23.00, 0.49, True","20.00, 0.46, True","19.00, 0.45, True","23.00, 0.49, True","23.00, 0.49, True","26.00, 0.51, True","14.00, 0.39, True","14.00, 0.31, True","25.00, 0.43, True","19.00, 0.37, True","24.00, 0.35, True","22.00, 0.33, True","23.00, 0.34, True","23.00, 0.28, True","17.00, 0.22, True","24.00, 0.29, True","20.00, 0.25, True","20.00, 0.20, True","13.00, 0.13, True",A,0.298
template_10,"21.00, 0.77, False","19.00, 0.76, False","29.00, 0.90, False","7.00, 0.80, False","19.00, 1.00, False","29.00, 1.00, False","30.00, 1.00, False","12.00, 1.00, True","26.00, 1.00, True",None,"29.00, 1.00, None","13.00, 1.00, None","29.00, 1.00, None","30.00, 1.00, True","28.00, 1.00, True","28.00, 0.90, True","27.00, 0.89, True","18.00, 0.75, True","21.00, 0.77, True","25.00, 0.78, True","9.00, 0.66, True","20.00, 0.76, True","13.00, 0.71, True","25.00, 0.78, True","10.00, 0.68, True","5.00, 0.58, True","23.00, 0.78, True","23.00, 0.67, True","13.00, 0.58, True","1.00, 0.22, True","23.00, 0.67, True","8.00, 0.38, True","6.00, 0.33, True","27.00, 0.60, True","17.00, 0.52, True","12.00, 0.46, True","24.00, 0.58, True","23.00, 0.49, True","10.00, 0.33, True","4.00, 0.18, True","24.00, 0.50, True","22.00, 0.48, True","25.00, 0.50, True","10.00, 0.33, True","7.00, 0.19, True","24.00, 0.42, True","4.00, 0.12, True","18.00, 0.29, True","22.00, 0.33, True","22.00, 0.33, True","22.00, 0.27, True","5.00, 0.06, True","21.00, 0.26, True","23.00, 0.28, True","20.00, 0.20, True","10.00, 0.10, True",A,0.298
