template_name,card,system_format,num_demos,demos_pool_size,max_instances,accuracy,score,score_name,accuracy_ci_low,accuracy_ci_high,score_ci_low,score_ci_high,groups_mean_score,number_of_instances
template_0,cards.sciq,formats.empty,1,10,100,0.870,0.870,accuracy,0.790,0.930,0.790,0.930,0.870,100
template_1,cards.sciq,formats.empty,1,10,100,0.950,0.950,accuracy,0.890,0.980,0.890,0.980,0.950,100
template_2,cards.sciq,formats.empty,1,10,100,0.940,0.940,accuracy,0.880,0.970,0.880,0.970,0.940,100
template_3,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_4,cards.sciq,formats.empty,1,10,100,0.950,0.950,accuracy,0.890,0.980,0.890,0.980,0.950,100
template_5,cards.sciq,formats.empty,1,10,100,0.920,0.920,accuracy,0.849,0.960,0.849,0.960,0.920,100
template_6,cards.sciq,formats.empty,1,10,100,0.950,0.950,accuracy,0.890,0.980,0.890,0.980,0.950,100
template_7,cards.sciq,formats.empty,1,10,100,0.660,0.660,accuracy,0.560,0.750,0.560,0.750,0.660,100
template_8,cards.sciq,formats.empty,1,10,100,0.710,0.710,accuracy,0.620,0.800,0.620,0.800,0.710,100
template_9,cards.sciq,formats.empty,1,10,100,0.720,0.720,accuracy,0.630,0.810,0.630,0.810,0.720,100
template_10,cards.sciq,formats.empty,1,10,100,0.720,0.720,accuracy,0.630,0.810,0.630,0.810,0.720,100
template_11,cards.sciq,formats.empty,1,10,100,0.700,0.700,accuracy,0.610,0.790,0.610,0.790,0.700,100
template_12,cards.sciq,formats.empty,1,10,100,0.720,0.720,accuracy,0.640,0.800,0.640,0.800,0.720,100
template_13,cards.sciq,formats.empty,1,10,100,0.730,0.730,accuracy,0.640,0.820,0.640,0.820,0.730,100
template_14,cards.sciq,formats.empty,1,10,100,0.950,0.950,accuracy,0.890,0.980,0.890,0.980,0.950,100
template_15,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_16,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_17,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.910,0.990,0.910,0.990,0.960,100
template_18,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_19,cards.sciq,formats.empty,1,10,100,0.950,0.950,accuracy,0.890,0.980,0.890,0.980,0.950,100
template_20,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.910,0.990,0.910,0.990,0.960,100
template_21,cards.sciq,formats.empty,1,10,100,0.800,0.800,accuracy,0.710,0.870,0.710,0.870,0.800,100
template_22,cards.sciq,formats.empty,1,10,100,0.710,0.710,accuracy,0.620,0.790,0.620,0.790,0.710,100
template_23,cards.sciq,formats.empty,1,10,100,0.790,0.790,accuracy,0.700,0.860,0.700,0.860,0.790,100
template_24,cards.sciq,formats.empty,1,10,100,0.770,0.770,accuracy,0.680,0.850,0.680,0.850,0.770,100
template_25,cards.sciq,formats.empty,1,10,100,0.770,0.770,accuracy,0.672,0.840,0.672,0.840,0.770,100
template_26,cards.sciq,formats.empty,1,10,100,0.820,0.820,accuracy,0.740,0.880,0.740,0.880,0.820,100
template_27,cards.sciq,formats.empty,1,10,100,0.830,0.830,accuracy,0.740,0.890,0.740,0.890,0.830,100
template_28,cards.sciq,formats.empty,1,10,100,0.930,0.930,accuracy,0.860,0.970,0.860,0.970,0.930,100
template_29,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.910,0.990,0.910,0.990,0.960,100
template_30,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.915,0.990,0.915,0.990,0.970,100
template_31,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_32,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_33,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_34,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_35,cards.sciq,formats.empty,1,10,100,0.910,0.910,accuracy,0.850,0.950,0.850,0.950,0.910,100
template_36,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.907,0.990,0.907,0.990,0.960,100
template_37,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_38,cards.sciq,formats.empty,1,10,100,0.990,0.990,accuracy,0.940,1.000,0.940,1.000,0.990,100
template_39,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_40,cards.sciq,formats.empty,1,10,100,0.950,0.950,accuracy,0.890,0.980,0.890,0.980,0.950,100
template_41,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_42,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_43,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_44,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.940,1.000,0.940,1.000,0.980,100
template_45,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.940,1.000,0.940,1.000,0.980,100
template_46,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.910,0.990,0.910,0.990,0.970,100
template_47,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.940,1.000,0.940,1.000,0.980,100
template_48,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.940,1.000,0.940,1.000,0.980,100
template_49,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.910,0.990,0.910,0.990,0.960,100
template_50,cards.sciq,formats.empty,1,10,100,0.950,0.950,accuracy,0.890,0.980,0.890,0.980,0.950,100
template_51,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.926,1.000,0.926,1.000,0.980,100
template_52,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_53,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_54,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
