Model,Dataset,Shots,Configuration,Total Data,Data Acquired
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,0,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,1,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,2,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,3,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,4,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,5,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,6,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,7,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,8,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,9,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,10,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,11,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,12,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,13,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,14,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,15,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,16,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,17,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,18,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,19,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,20,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,21,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,22,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,23,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,24,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,25,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,26,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,27,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,28,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,29,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,30,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,31,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,32,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,33,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,34,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,35,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,36,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,37,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,38,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,39,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,40,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,41,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,42,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,43,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,44,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,45,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,46,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,47,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,48,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,49,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,50,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,51,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,52,100.0,100
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,53,100.0,90
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,54,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.abstract_algebra,zero_shot,55,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,0,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,1,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,2,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,3,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,4,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,5,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,6,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,7,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,8,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,9,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,10,100.0,0
Mistral-7B-Instruct-v0.1,mmlu.medical_genetics,zero_shot,11,100.0,0
