"statistic, pvalue, row is better than column",best set: template_7,template_9,template_37,template_30,template_38,template_6,template_33,template_31,template_23,template_36,template_21,template_3,template_16,template_5,template_4,template_11,template_2,template_35,template_41,template_39,template_17,template_29,template_13,template_34,template_20,template_22,template_25,template_40,template_28,template_19,template_8,template_24,template_12,template_32,template_18,template_10,template_44,template_26,template_27,template_1,template_45,template_49,template_47,template_46,template_48,template_15,template_50,template_52,template_0,template_14,template_42,template_51,template_53,template_43,group,accuracy
template_7,None,"37.00, 0.91, True","49.00, 0.84, True","95.00, 0.72, True","94.00, 0.72, True","94.00, 0.72, True","46.00, 0.37, True","53.00, 0.40, True","41.00, 0.30, True","92.00, 0.43, True","21.00, 0.08, True","39.00, 0.15, True","92.00, 0.32, True","24.00, 0.08, True","90.00, 0.32, True","33.00, 0.12, True","88.00, 0.25, True","39.00, 0.10, True","55.00, 0.10, True","48.00, 0.08, True","46.00, 0.07, True","53.00, 0.09, True","36.00, 0.04, True","81.00, 0.12, True","84.00, 0.13, True","79.00, 0.12, True","33.00, 0.02, True","95.00, 0.13, True","95.00, 0.13, True","25.00, 0.01, True","87.00, 0.10, True","82.00, 0.07, True","84.00, 0.06, True","80.00, 0.06, True","81.00, 0.03, True","79.00, 0.02, True","91.00, 0.01, True","80.00, 0.00, True","6.00, 0.45, True","50.00, 0.00, True","55.00, 0.00, True","36.00, 0.00, True","37.00, 0.00, True","80.00, 0.00, True","81.00, 0.00, True","49.00, 0.00, True","82.00, 0.00, True","85.00, 0.00, True","78.00, 0.00, True","73.00, 0.00, True","81.00, 0.00, True","41.00, 0.00, True","3.00, 0.23, True","54.00, 0.00, True",A,0.554
template_9,"37.00, 0.91, False",None,"42.00, 1.00, True","96.00, 0.83, True","91.00, 0.83, True","97.00, 0.83, True","55.00, 0.52, True","50.00, 0.50, True","20.00, 0.25, True","90.00, 0.51, True","42.00, 0.26, True","35.00, 0.19, True","94.00, 0.40, True","39.00, 0.21, True","95.00, 0.40, True","24.00, 0.12, True","91.00, 0.32, True","45.00, 0.17, True","55.00, 0.13, True","48.00, 0.11, True","40.00, 0.09, True","58.00, 0.14, True","32.00, 0.05, True","83.00, 0.16, True","85.00, 0.17, True","79.00, 0.15, True","33.00, 0.03, True","87.00, 0.15, True","97.00, 0.17, True","47.00, 0.05, True","85.00, 0.13, True","85.00, 0.10, True","83.00, 0.08, True","81.00, 0.08, True","81.00, 0.04, True","78.00, 0.03, True","91.00, 0.01, True","80.00, 0.01, True","9.00, 1.00, True","52.00, 0.00, True","54.00, 0.00, True","43.00, 0.00, True","46.00, 0.00, True","82.00, 0.00, True","81.00, 0.00, True","53.00, 0.00, True","81.00, 0.00, True","80.00, 0.00, True","81.00, 0.00, True","75.00, 0.00, True","81.00, 0.00, True","40.00, 0.00, True","5.00, 1.00, True","58.00, 0.00, True",A,0.55
template_37,"49.00, 0.84, False","42.00, 1.00, False",None,"96.00, 0.89, True","94.00, 0.88, True","89.00, 0.88, True","35.00, 0.49, True","39.00, 0.52, True","40.00, 0.46, True","88.00, 0.56, True","51.00, 0.35, True","49.00, 0.29, True","94.00, 0.44, True","51.00, 0.30, True","86.00, 0.42, True","43.00, 0.27, True","86.00, 0.34, True","24.00, 0.10, True","34.00, 0.08, True","27.00, 0.06, True","49.00, 0.14, True","37.00, 0.09, True","43.00, 0.10, True","86.00, 0.19, True","79.00, 0.18, True","78.00, 0.17, True","43.00, 0.06, True","94.00, 0.19, True","90.00, 0.18, True","51.00, 0.07, True","81.00, 0.14, True","83.00, 0.11, True","81.00, 0.09, True","81.00, 0.09, True","76.00, 0.04, True","76.00, 0.03, True","85.00, 0.01, True","76.00, 0.01, True","10.00, 0.68, True","49.00, 0.00, True","50.00, 0.00, True","40.00, 0.00, True","42.00, 0.00, True","79.00, 0.00, True","77.00, 0.00, True","51.00, 0.00, True","80.00, 0.00, True","82.00, 0.00, True","78.00, 0.00, True","72.00, 0.00, True","82.00, 0.00, True","33.00, 0.00, True","5.00, 0.58, True","45.00, 0.00, True",A,0.549
template_30,"95.00, 0.72, False","96.00, 0.83, False","96.00, 0.89, False",None,"59.00, 1.00, None","63.00, 1.00, None","96.00, 0.83, True","91.00, 0.83, True","91.00, 0.77, True","48.00, 0.62, True","100.00, 0.63, True","93.00, 0.57, True","33.00, 0.36, True","96.00, 0.57, True","60.00, 0.48, True","97.00, 0.57, True","29.00, 0.23, True","92.00, 0.47, True","97.00, 0.37, True","90.00, 0.35, True","88.00, 0.35, True","89.00, 0.35, True","89.00, 0.31, True","45.00, 0.14, True","57.00, 0.19, True","54.00, 0.18, True","88.00, 0.25, True","62.00, 0.18, True","59.00, 0.17, True","90.00, 0.23, True","45.00, 0.10, True","59.00, 0.11, True","52.00, 0.07, True","49.00, 0.07, True","57.00, 0.03, True","51.00, 0.02, True","34.00, 0.00, True","56.00, 0.00, True","15.00, 0.20, True","90.00, 0.01, True","87.00, 0.00, True","92.00, 0.00, True","90.00, 0.00, True","44.00, 0.00, True","44.00, 0.00, True","85.00, 0.00, True","45.00, 0.00, True","41.00, 0.00, True","64.00, 0.00, True","68.00, 0.00, True","58.00, 0.00, True","74.00, 0.00, True","8.00, 0.11, True","80.00, 0.00, True",A,0.543
template_38,"94.00, 0.72, False","91.00, 0.83, False","94.00, 0.88, False","59.00, 1.00, True",None,"54.00, 1.00, None","91.00, 0.83, True","89.00, 0.82, True","90.00, 0.77, True","28.00, 0.53, True","99.00, 0.63, True","92.00, 0.56, True","61.00, 0.48, True","93.00, 0.57, True","49.00, 0.44, True","95.00, 0.57, True","60.00, 0.38, True","85.00, 0.46, True","90.00, 0.35, True","85.00, 0.34, True","90.00, 0.35, True","83.00, 0.33, True","90.00, 0.32, True","32.00, 0.09, True","39.00, 0.12, True","35.00, 0.11, True","91.00, 0.26, True","34.00, 0.08, True","38.00, 0.10, True","88.00, 0.22, True","45.00, 0.10, True","32.00, 0.04, True","30.00, 0.03, True","30.00, 0.03, True","43.00, 0.02, True","24.00, 0.00, True","62.00, 0.01, True","35.00, 0.00, True","17.00, 0.43, True","87.00, 0.01, True","86.00, 0.00, True","84.00, 0.00, True","81.00, 0.00, True","47.00, 0.00, True","48.00, 0.00, True","88.00, 0.00, True","51.00, 0.00, True","50.00, 0.00, True","51.00, 0.00, True","47.00, 0.00, True","50.00, 0.00, True","72.00, 0.00, True","8.00, 0.50, True","76.00, 0.00, True",A,0.543
template_6,"94.00, 0.72, False","97.00, 0.83, False","89.00, 0.88, False","63.00, 1.00, True","54.00, 1.00, True",None,"93.00, 0.83, True","90.00, 0.83, True","97.00, 0.78, True","48.00, 0.62, True","102.00, 0.63, True","94.00, 0.57, True","57.00, 0.47, True","93.00, 0.57, True","19.00, 0.24, True","96.00, 0.57, True","49.00, 0.34, True","83.00, 0.45, True","95.00, 0.36, True","87.00, 0.34, True","92.00, 0.36, True","86.00, 0.34, True","90.00, 0.32, True","33.00, 0.10, True","14.00, 0.02, True","27.00, 0.07, True","95.00, 0.27, True","55.00, 0.16, True","59.00, 0.17, True","90.00, 0.23, True","21.00, 0.03, True","35.00, 0.04, True","32.00, 0.03, True","30.00, 0.03, True","21.00, 0.00, True","23.00, 0.00, True","55.00, 0.01, True","35.00, 0.00, True","18.00, 0.14, True","87.00, 0.01, True","94.00, 0.01, True","92.00, 0.00, True","88.00, 0.00, True","34.00, 0.00, True","31.00, 0.00, True","83.00, 0.00, True","39.00, 0.00, True","42.00, 0.00, True","50.00, 0.00, True","48.00, 0.00, True","56.00, 0.00, True","79.00, 0.00, True","8.00, 0.11, True","83.00, 0.00, True",A,0.543
template_33,"46.00, 0.37, False","55.00, 0.52, False","35.00, 0.49, False","96.00, 0.83, False","91.00, 0.83, False","93.00, 0.83, False",None,"57.00, 1.00, None","59.00, 1.00, True","97.00, 0.94, True","54.00, 0.78, True","64.00, 0.73, True","100.00, 0.78, True","49.00, 0.69, True","93.00, 0.77, True","55.00, 0.71, True","91.00, 0.66, True","26.00, 0.43, True","43.00, 0.36, True","37.00, 0.33, True","69.00, 0.46, True","33.00, 0.30, True","53.00, 0.36, True","89.00, 0.42, True","87.00, 0.42, True","85.00, 0.41, True","49.00, 0.25, True","99.00, 0.41, True","98.00, 0.41, True","49.00, 0.22, True","87.00, 0.34, True","86.00, 0.27, True","87.00, 0.25, True","85.00, 0.24, True","86.00, 0.13, True","81.00, 0.11, True","88.00, 0.04, True","82.00, 0.03, True","11.00, 0.56, True","51.00, 0.00, True","65.00, 0.00, True","52.00, 0.00, True","48.00, 0.00, True","82.00, 0.00, True","80.00, 0.00, True","52.00, 0.00, True","83.00, 0.00, True","81.00, 0.00, True","86.00, 0.00, True","77.00, 0.00, True","89.00, 0.00, True","47.00, 0.00, True","5.00, 0.21, True","48.00, 0.00, True",A,0.536
template_31,"53.00, 0.40, False","50.00, 0.50, False","39.00, 0.52, False","91.00, 0.83, False","89.00, 0.82, False","90.00, 0.83, False","57.00, 1.00, True",None,"56.00, 1.00, True","88.00, 0.94, True","61.00, 0.79, True","42.00, 0.67, True","94.00, 0.77, True","60.00, 0.72, True","92.00, 0.77, True","54.00, 0.71, True","81.00, 0.64, True","42.00, 0.53, True","53.00, 0.40, True","43.00, 0.36, True","41.00, 0.35, True","51.00, 0.40, True","59.00, 0.38, True","86.00, 0.42, True","86.00, 0.42, True","84.00, 0.41, True","54.00, 0.28, True","93.00, 0.40, True","91.00, 0.39, True","62.00, 0.27, True","83.00, 0.33, True","85.00, 0.27, True","85.00, 0.24, True","86.00, 0.24, True","85.00, 0.13, True","84.00, 0.11, True","82.00, 0.04, True","82.00, 0.03, True","11.00, 0.56, True","69.00, 0.01, True","37.00, 0.00, True","43.00, 0.00, True","46.00, 0.00, True","80.00, 0.00, True","79.00, 0.00, True","64.00, 0.00, True","78.00, 0.00, True","80.00, 0.00, True","80.00, 0.00, True","73.00, 0.00, True","80.00, 0.00, True","33.00, 0.00, True","3.00, 0.51, True","49.00, 0.00, True",A,0.536
template_23,"41.00, 0.30, False","20.00, 0.25, False","40.00, 0.46, False","91.00, 0.77, False","90.00, 0.77, False","97.00, 0.78, False","59.00, 1.00, False","56.00, 1.00, False",None,"91.00, 1.00, True","39.00, 0.82, True","51.00, 0.77, True","100.00, 0.83, True","47.00, 0.76, True","96.00, 0.83, True","32.00, 0.72, True","93.00, 0.72, True","48.00, 0.62, True","56.00, 0.47, True","52.00, 0.45, True","50.00, 0.44, True","59.00, 0.48, True","33.00, 0.30, True","84.00, 0.45, True","88.00, 0.46, True","83.00, 0.45, True","30.00, 0.19, True","94.00, 0.44, True","95.00, 0.44, True","39.00, 0.21, True","90.00, 0.39, True","85.00, 0.30, True","86.00, 0.27, True","81.00, 0.26, True","84.00, 0.15, True","83.00, 0.13, True","91.00, 0.05, True","81.00, 0.03, True","7.00, 0.80, True","55.00, 0.00, True","64.00, 0.00, True","51.00, 0.00, True","51.00, 0.00, True","84.00, 0.00, True","84.00, 0.00, True","47.00, 0.00, True","84.00, 0.00, True","86.00, 0.00, True","82.00, 0.00, True","77.00, 0.00, True","81.00, 0.00, True","49.00, 0.00, True","4.00, 0.75, True","61.00, 0.00, True",A,0.534
template_36,"92.00, 0.43, False","90.00, 0.51, False","88.00, 0.56, False","48.00, 0.62, False","28.00, 0.53, False","48.00, 0.62, False","97.00, 0.94, False","88.00, 0.94, False","91.00, 1.00, False",None,"104.00, 0.95, True","98.00, 0.89, True","62.00, 0.86, True","100.00, 0.89, True","52.00, 0.85, True","101.00, 0.89, True","60.00, 0.72, True","87.00, 0.77, True","97.00, 0.62, True","91.00, 0.61, True","95.00, 0.62, True","89.00, 0.61, True","92.00, 0.56, True","35.00, 0.31, True","39.00, 0.34, True","32.00, 0.30, True","94.00, 0.48, True","47.00, 0.33, True","39.00, 0.29, True","96.00, 0.44, True","38.00, 0.24, True","37.00, 0.17, True","40.00, 0.15, True","32.00, 0.11, True","47.00, 0.07, True","35.00, 0.04, True","56.00, 0.02, True","42.00, 0.01, True","17.00, 0.74, True","92.00, 0.03, True","92.00, 0.02, True","89.00, 0.01, True","89.00, 0.01, True","46.00, 0.00, True","41.00, 0.00, True","88.00, 0.00, True","44.00, 0.00, True","48.00, 0.00, True","54.00, 0.00, True","55.00, 0.00, True","53.00, 0.00, True","77.00, 0.00, True","10.00, 0.54, True","79.00, 0.00, True",A,0.532
