"statistic, pvalue, row is better than column",best set: template_2,template_16,template_8,template_4,template_6,template_10,template_18,template_38,template_36,template_30,template_12,template_40,template_28,template_3,template_32,template_34,template_5,template_7,template_9,template_11,template_17,template_31,template_46,template_48,template_37,template_19,template_13,template_35,template_14,template_15,template_0,template_44,template_1,template_29,template_33,template_41,template_39,template_45,template_47,template_49,template_42,template_43,group,accuracy
template_2,None,"8.00, 0.50, True","21.00, 0.56, True","21.00, 0.47, True","19.00, 0.37, True","26.00, 0.31, True","21.00, 0.26, True","22.00, 0.22, True","17.00, 0.10, True","8.00, 0.02, True","22.00, 0.05, True","24.00, 0.05, True","19.00, 0.02, True","33.00, 0.05, True","22.00, 0.02, True","19.00, 0.01, True","38.00, 0.03, True","39.00, 0.04, True","32.00, 0.01, True","31.00, 0.01, True","32.00, 0.01, True","32.00, 0.01, True","22.00, 0.00, True","18.00, 0.00, True","32.00, 0.00, True","20.00, 0.00, True","31.00, 0.00, True","32.00, 0.00, True","22.00, 0.00, True","30.00, 0.00, True","19.00, 0.00, True","14.00, 0.00, True","34.00, 0.00, True","34.00, 0.00, True","37.00, 0.00, True","30.00, 0.00, True","31.00, 0.00, True","31.00, 0.00, True","33.00, 0.00, True","9.00, 0.09, True","22.00, 0.00, True","32.00, 0.00, True",A,0.652
template_16,"8.00, 0.50, False",None,"22.00, 1.00, True","26.00, 0.89, True","25.00, 0.78, True","25.00, 0.59, True","25.00, 0.59, True","22.00, 0.48, True","20.00, 0.31, True","8.00, 0.11, True","21.00, 0.13, True","24.00, 0.12, True","22.00, 0.09, True","33.00, 0.12, True","23.00, 0.06, True","21.00, 0.04, True","37.00, 0.08, True","37.00, 0.08, True","31.00, 0.03, True","32.00, 0.03, True","30.00, 0.02, True","32.00, 0.02, True","24.00, 0.01, True","22.00, 0.00, True","31.00, 0.01, True","21.00, 0.01, True","29.00, 0.00, True","31.00, 0.00, True","19.00, 0.00, True","29.00, 0.00, True","17.00, 0.00, True","17.00, 0.00, True","34.00, 0.00, True","31.00, 0.00, True","33.00, 0.00, True","27.00, 0.00, True","29.00, 0.00, True","30.00, 0.00, True","31.00, 0.00, True","9.00, 0.23, True","24.00, 0.00, True","30.00, 0.00, True",A,0.639
template_8,"21.00, 0.56, False","22.00, 1.00, False",None,"17.00, 1.00, True","17.00, 0.87, True","14.00, 0.60, True","15.00, 0.61, True","17.00, 0.52, True","11.00, 0.26, True","23.00, 0.34, True","12.00, 0.09, True","14.00, 0.08, True","13.00, 0.05, True","40.00, 0.18, True","17.00, 0.04, True","16.00, 0.03, True","40.00, 0.10, True","41.00, 0.11, True","37.00, 0.05, True","33.00, 0.04, True","35.00, 0.03, True","37.00, 0.03, True","24.00, 0.01, True","22.00, 0.00, True","36.00, 0.01, True","22.00, 0.03, True","30.00, 0.01, True","39.00, 0.01, True","15.00, 0.00, True","30.00, 0.00, True","11.00, 0.00, True","27.00, 0.00, True","32.00, 0.00, True","37.00, 0.01, True","39.00, 0.01, True","29.00, 0.00, True","32.00, 0.00, True","40.00, 0.00, True","40.00, 0.00, True","11.00, 0.34, True","25.00, 0.00, True","35.00, 0.00, True",A,0.635
template_4,"21.00, 0.47, False","26.00, 0.89, False","17.00, 1.00, False",None,"11.00, 1.00, True","23.00, 0.78, True","7.00, 0.63, True","21.00, 0.66, True","17.00, 0.43, True","23.00, 0.41, True","18.00, 0.18, True","21.00, 0.17, True","16.00, 0.10, True","37.00, 0.20, True","15.00, 0.05, True","13.00, 0.03, True","40.00, 0.13, True","42.00, 0.13, True","33.00, 0.05, True","32.00, 0.05, True","33.00, 0.03, True","34.00, 0.03, True","17.00, 0.01, True","16.00, 0.00, True","33.00, 0.01, True","22.00, 0.01, True","30.00, 0.01, True","36.00, 0.01, True","17.00, 0.00, True","32.00, 0.01, True","14.00, 0.00, True","22.00, 0.00, True","35.00, 0.01, True","32.00, 0.00, True","39.00, 0.01, True","30.00, 0.00, True","33.00, 0.00, True","33.00, 0.00, True","36.00, 0.00, True","9.00, 0.09, True","22.00, 0.00, True","34.00, 0.00, True",A,0.632
template_6,"19.00, 0.37, False","25.00, 0.78, False","17.00, 0.87, False","11.00, 1.00, False",None,"22.00, 0.88, True","11.00, 0.84, True","26.00, 0.79, True","20.00, 0.55, True","25.00, 0.50, True","18.00, 0.23, True","23.00, 0.23, True","18.00, 0.14, True","41.00, 0.26, True","19.00, 0.09, True","13.00, 0.04, True","43.00, 0.16, True","43.00, 0.16, True","38.00, 0.08, True","33.00, 0.06, True","36.00, 0.05, True","39.00, 0.05, True","22.00, 0.02, True","18.00, 0.01, True","35.00, 0.02, True","25.00, 0.03, True","34.00, 0.01, True","38.00, 0.02, True","19.00, 0.00, True","36.00, 0.01, True","17.00, 0.00, True","25.00, 0.00, True","37.00, 0.01, True","37.00, 0.01, True","43.00, 0.01, True","33.00, 0.01, True","34.00, 0.00, True","38.00, 0.00, True","40.00, 0.00, True","10.00, 0.18, True","27.00, 0.00, True","36.00, 0.00, True",A,0.629
template_10,"26.00, 0.31, False","25.00, 0.59, False","14.00, 0.60, False","23.00, 0.78, False","22.00, 0.88, False",None,"22.00, 1.00, None","20.00, 1.00, True","21.00, 0.77, True","31.00, 0.71, True","12.00, 0.28, True","14.00, 0.24, True","22.00, 0.27, True","41.00, 0.35, True","23.00, 0.18, True","22.00, 0.14, True","44.00, 0.23, True","44.00, 0.23, True","39.00, 0.12, True","34.00, 0.10, True","37.00, 0.08, True","40.00, 0.09, True","31.00, 0.06, True","30.00, 0.03, True","38.00, 0.04, True","26.00, 0.05, True","32.00, 0.02, True","40.00, 0.03, True","14.00, 0.00, True","33.00, 0.01, True","12.00, 0.00, True","35.00, 0.02, True","36.00, 0.01, True","39.00, 0.02, True","42.00, 0.02, True","31.00, 0.01, True","31.00, 0.00, True","38.00, 0.00, True","41.00, 0.00, True","9.00, 0.04, True","30.00, 0.00, True","38.00, 0.00, True",A,0.623
template_18,"21.00, 0.26, False","25.00, 0.59, False","15.00, 0.61, False","7.00, 0.63, False","11.00, 0.84, False","22.00, 1.00, True",None,"25.00, 1.00, True","19.00, 0.76, True","27.00, 0.69, True","15.00, 0.32, True","21.00, 0.32, True","17.00, 0.22, True","36.00, 0.32, True","15.00, 0.12, True","13.00, 0.07, True","42.00, 0.22, True","44.00, 0.23, True","35.00, 0.11, True","33.00, 0.10, True","33.00, 0.06, True","36.00, 0.07, True","23.00, 0.03, True","22.00, 0.02, True","35.00, 0.04, True","22.00, 0.03, True","31.00, 0.02, True","39.00, 0.03, True","19.00, 0.00, True","33.00, 0.01, True","16.00, 0.00, True","28.00, 0.01, True","35.00, 0.01, True","35.00, 0.01, True","40.00, 0.01, True","32.00, 0.01, True","34.00, 0.00, True","35.00, 0.00, True","38.00, 0.00, True","9.00, 0.17, True","26.00, 0.00, True","37.00, 0.00, True",A,0.623
template_38,"22.00, 0.22, False","22.00, 0.48, False","17.00, 0.52, False","21.00, 0.66, False","26.00, 0.79, False","20.00, 1.00, False","25.00, 1.00, False",None,"17.00, 0.87, True","23.00, 0.78, True","20.00, 0.46, True","11.00, 0.26, True","16.00, 0.27, True","38.00, 0.39, True","16.00, 0.16, True","16.00, 0.13, True","44.00, 0.27, True","43.00, 0.27, True","33.00, 0.12, True","32.00, 0.11, True","34.00, 0.08, True","35.00, 0.09, True","30.00, 0.07, True","26.00, 0.03, True","33.00, 0.04, True","25.00, 0.08, True","30.00, 0.02, True","36.00, 0.03, True","15.00, 0.00, True","34.00, 0.02, True","14.00, 0.00, True","30.00, 0.02, True","35.00, 0.02, True","37.00, 0.02, True","38.00, 0.02, True","29.00, 0.01, True","31.00, 0.00, True","35.00, 0.00, True","39.00, 0.00, True","10.00, 0.33, True","30.00, 0.00, True","34.00, 0.00, True",A,0.619
template_36,"17.00, 0.10, False","20.00, 0.31, False","11.00, 0.26, False","17.00, 0.43, False","20.00, 0.55, False","21.00, 0.77, False","19.00, 0.76, False","17.00, 0.87, False",None,"20.00, 1.00, True","24.00, 0.68, True","19.00, 0.54, True","15.00, 0.41, True","42.00, 0.53, True","16.00, 0.27, True","12.00, 0.16, True","47.00, 0.38, True","47.00, 0.38, True","40.00, 0.21, True","39.00, 0.21, True","42.00, 0.16, True","42.00, 0.16, True","28.00, 0.10, True","24.00, 0.05, True","38.00, 0.08, True","27.00, 0.14, True","38.00, 0.05, True","39.00, 0.05, True","21.00, 0.01, True","38.00, 0.04, True","19.00, 0.01, True","30.00, 0.03, True","40.00, 0.04, True","40.00, 0.04, True","42.00, 0.03, True","34.00, 0.02, True","38.00, 0.01, True","41.00, 0.01, True","43.00, 0.01, True","11.00, 0.34, True","29.00, 0.00, True","39.00, 0.00, True",A,0.613
template_30,"8.00, 0.02, False","8.00, 0.11, False","23.00, 0.34, False","23.00, 0.41, False","25.00, 0.50, False","31.00, 0.71, False","27.00, 0.69, False","23.00, 0.78, False","20.00, 1.00, False",None,"31.00, 0.80, True","31.00, 0.71, True","23.00, 0.58, True","39.00, 0.59, True","27.00, 0.44, True","23.00, 0.34, True","43.00, 0.41, True","45.00, 0.42, True","36.00, 0.23, True","35.00, 0.22, True","37.00, 0.17, True","36.00, 0.16, True","27.00, 0.11, True","23.00, 0.06, True","35.00, 0.09, True","25.00, 0.08, True","34.00, 0.05, True","35.00, 0.06, True","25.00, 0.02, True","34.00, 0.04, True","24.00, 0.02, True","21.00, 0.02, True","37.00, 0.04, True","34.00, 0.03, True","39.00, 0.04, True","31.00, 0.02, True","34.00, 0.01, True","35.00, 0.01, True","39.00, 0.01, True","10.00, 0.42, True","27.00, 0.00, True","37.00, 0.00, True",B,0.61
