template_name,card,system_format,num_demos,demos_pool_size,max_instances,accuracy,score,score_name,accuracy_ci_low,accuracy_ci_high,score_ci_low,score_ci_high,groups_mean_score,number_of_instances
template_0,cards.sciq,formats.empty,1,10,100,0.820,0.820,accuracy,0.740,0.880,0.740,0.880,0.820,100
template_1,cards.sciq,formats.empty,1,10,100,0.990,0.990,accuracy,0.940,1.000,0.940,1.000,0.990,100
template_2,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_3,cards.sciq,formats.empty,1,10,100,0.990,0.990,accuracy,0.940,1.000,0.940,1.000,0.990,100
template_4,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_5,cards.sciq,formats.empty,1,10,100,0.950,0.950,accuracy,0.890,0.980,0.890,0.980,0.950,100
template_6,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_7,cards.sciq,formats.empty,1,10,100,0.810,0.810,accuracy,0.727,0.880,0.727,0.880,0.810,100
template_8,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_9,cards.sciq,formats.empty,1,10,100,0.000,0.000,accuracy,,,,,0.000,100
template_10,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_11,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_12,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_13,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.919,0.990,0.919,0.990,0.970,100
template_14,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.910,0.990,0.910,0.990,0.960,100
template_15,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_16,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_17,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_18,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_19,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.906,0.990,0.906,0.990,0.960,100
template_20,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_21,cards.sciq,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_22,cards.sciq,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_23,cards.sciq,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_24,cards.sciq,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_25,cards.sciq,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_26,cards.sciq,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_27,cards.sciq,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_28,cards.sciq,formats.empty,1,10,100,0.800,0.800,accuracy,0.712,0.870,0.712,0.870,0.800,100
template_29,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.921,0.990,0.921,0.990,0.970,100
template_30,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_31,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.933,1.000,0.933,1.000,0.980,100
template_32,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_33,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_34,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_35,cards.sciq,formats.empty,1,10,100,0.790,0.790,accuracy,0.710,0.860,0.710,0.860,0.790,100
template_36,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_37,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.914,0.990,0.914,0.990,0.970,100
template_38,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_39,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_40,cards.sciq,formats.empty,1,10,100,0.950,0.950,accuracy,0.890,0.980,0.890,0.980,0.950,100
template_41,cards.sciq,formats.empty,1,10,100,0.960,0.960,accuracy,0.900,0.990,0.900,0.990,0.960,100
template_42,cards.sciq,formats.empty,1,10,100,0.950,0.950,accuracy,0.900,0.980,0.900,0.980,0.950,100
template_43,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_44,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_45,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_46,cards.sciq,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_47,cards.sciq,formats.empty,1,10,100,0.990,0.990,accuracy,0.940,1.000,0.940,1.000,0.990,100
template_48,cards.sciq,formats.empty,1,10,100,0.980,0.980,accuracy,0.930,1.000,0.930,1.000,0.980,100
template_49,cards.sciq,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_50,cards.sciq,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_51,cards.sciq,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
