"statistic, pvalue, row is better than column",template_21,template_19,template_17,best set: template_5,template_16,template_20,template_7,template_28,template_23,template_30,template_3,template_4,template_18,template_25,template_6,template_32,template_11,template_13,template_45,template_33,template_2,template_9,template_34,template_36,template_38,template_27,template_35,template_22,template_37,template_44,template_31,template_24,template_49,template_29,template_47,template_48,template_39,template_41,template_10,template_12,template_8,template_51,template_15,template_26,template_40,template_46,template_52,template_1,template_0,template_14,template_55,template_50,template_54,template_53,template_43,template_42,group,accuracy
template_21,None,"8.00, 1.00, None","14.00, 1.00, None","10.00, 1.00, None","29.00, 0.90, True","23.00, 0.67, True","5.00, 0.30, True","26.00, 0.43, True","14.00, 0.31, True","26.00, 0.37, True","14.00, 0.19, True","19.00, 0.24, True","23.00, 0.28, True","14.00, 0.14, True","18.00, 0.14, True","23.00, 0.18, True","16.00, 0.10, True","12.00, 0.07, True","15.00, 0.09, True","10.00, 0.05, True","24.00, 0.12, True","13.00, 0.05, True","23.00, 0.12, True","21.00, 0.08, True","26.00, 0.11, True","9.00, 0.02, True","9.00, 0.02, True","21.00, 0.06, True","9.00, 0.01, True","22.00, 0.05, True","8.00, 0.00, True","23.00, 0.04, True","12.00, 0.01, True","5.00, 0.00, True","15.00, 0.01, True","21.00, 0.03, True","10.00, 0.00, True","8.00, 0.00, True","20.00, 0.01, True","18.00, 0.01, True","20.00, 0.01, True","14.00, 0.00, True","8.00, 0.00, True","17.00, 0.00, True","18.00, 0.00, True","19.00, 0.00, True","20.00, 0.00, True","13.00, 0.00, True","16.00, 0.00, True","14.00, 0.00, True","10.00, 0.00, True","18.00, 0.00, True","19.00, 0.00, True","11.00, 0.00, True","9.00, 0.00, True","14.00, 0.00, True",A,0.485
template_19,"8.00, 1.00, True",None,"16.00, 1.00, None","6.00, 1.00, None","28.00, 0.90, True","25.00, 0.68, True","7.00, 0.36, True","27.00, 0.44, True","16.00, 0.34, True","26.00, 0.37, True","12.00, 0.16, True","19.00, 0.24, True","21.00, 0.26, True","13.00, 0.13, True","19.00, 0.15, True","23.00, 0.18, True","14.00, 0.08, True","11.00, 0.06, True","14.00, 0.08, True","12.00, 0.07, True","23.00, 0.12, True","15.00, 0.07, True","24.00, 0.12, True","24.00, 0.10, True","26.00, 0.11, True","7.00, 0.01, True","11.00, 0.03, True","21.00, 0.06, True","13.00, 0.03, True","23.00, 0.06, True","8.00, 0.00, True","23.00, 0.04, True","13.00, 0.01, True","7.00, 0.00, True","12.00, 0.01, True","25.00, 0.04, True","11.00, 0.00, True","10.00, 0.00, True","21.00, 0.02, True","19.00, 0.01, True","22.00, 0.02, True","15.00, 0.00, True","7.00, 0.00, True","15.00, 0.00, True","18.00, 0.00, True","22.00, 0.00, True","22.00, 0.00, True","10.00, 0.00, True","19.00, 0.00, True","17.00, 0.00, True","11.00, 0.00, True","20.00, 0.00, True","22.00, 0.00, True","12.00, 0.00, True","11.00, 0.00, True","18.00, 0.00, True",A,0.485
template_17,"14.00, 1.00, True","16.00, 1.00, True",None,"18.00, 1.00, None","29.00, 0.90, True","27.00, 0.69, True","14.00, 0.49, True","27.00, 0.44, True","12.00, 0.28, True","27.00, 0.37, True","5.00, 0.06, True","23.00, 0.28, True","22.00, 0.27, True","13.00, 0.13, True","21.00, 0.17, True","24.00, 0.19, True","18.00, 0.11, True","16.00, 0.10, True","12.00, 0.07, True","11.00, 0.06, True","25.00, 0.13, True","12.00, 0.05, True","23.00, 0.12, True","23.00, 0.09, True","28.00, 0.12, True","14.00, 0.04, True","11.00, 0.03, True","26.00, 0.09, True","12.00, 0.02, True","23.00, 0.06, True","6.00, 0.00, True","27.00, 0.06, True","17.00, 0.02, True","8.00, 0.00, True","19.00, 0.02, True","25.00, 0.04, True","11.00, 0.00, True","14.00, 0.01, True","24.00, 0.02, True","22.00, 0.02, True","26.00, 0.02, True","17.00, 0.00, True","11.00, 0.00, True","19.00, 0.00, True","21.00, 0.00, True","23.00, 0.00, True","25.00, 0.00, True","17.00, 0.00, True","22.00, 0.00, True","18.00, 0.00, True","14.00, 0.00, True","22.00, 0.00, True","23.00, 0.00, True","14.00, 0.00, True","16.00, 0.00, True","19.00, 0.00, True",A,0.485
template_5,"10.00, 1.00, True","6.00, 1.00, True","18.00, 1.00, True",None,"28.00, 0.90, True","24.00, 0.68, True","5.00, 0.30, True","26.00, 0.43, True","15.00, 0.32, True","26.00, 0.37, True","12.00, 0.16, True","19.00, 0.24, True","22.00, 0.27, True","14.00, 0.14, True","18.00, 0.14, True","23.00, 0.18, True","11.00, 0.06, True","11.00, 0.06, True","11.00, 0.06, True","10.00, 0.05, True","22.00, 0.11, True","13.00, 0.05, True","22.00, 0.11, True","20.00, 0.08, True","25.00, 0.10, True","8.00, 0.02, True","11.00, 0.03, True","18.00, 0.05, True","12.00, 0.02, True","20.00, 0.04, True","9.00, 0.01, True","22.00, 0.04, True","12.00, 0.01, True","8.00, 0.00, True","12.00, 0.01, True","23.00, 0.03, True","13.00, 0.01, True","10.00, 0.00, True","20.00, 0.01, True","16.00, 0.01, True","19.00, 0.01, True","13.00, 0.00, True","8.00, 0.00, True","14.00, 0.00, True","17.00, 0.00, True","21.00, 0.00, True","21.00, 0.00, True","11.00, 0.00, True","19.00, 0.00, True","15.00, 0.00, True","13.00, 0.00, True","18.00, 0.00, True","20.00, 0.00, True","12.00, 0.00, True","11.00, 0.00, True","17.00, 0.00, True",A,0.485
template_16,"29.00, 0.90, False","28.00, 0.90, False","29.00, 0.90, False","28.00, 0.90, False",None,"12.00, 0.85, True","27.00, 0.79, True","17.00, 0.52, True","30.00, 0.62, True","10.00, 0.33, True","24.00, 0.42, True","11.00, 0.26, True","9.00, 0.23, True","24.00, 0.35, True","6.00, 0.08, True","12.00, 0.16, True","28.00, 0.27, True","29.00, 0.27, True","27.00, 0.26, True","27.00, 0.26, True","3.00, 0.01, True","27.00, 0.21, True","15.00, 0.12, True","13.00, 0.07, True","20.00, 0.13, True","22.00, 0.14, True","26.00, 0.17, True","8.00, 0.02, True","24.00, 0.12, True","5.00, 0.01, True","23.00, 0.07, True","15.00, 0.04, True","27.00, 0.09, True","22.00, 0.05, True","28.00, 0.08, True","12.00, 0.02, True","25.00, 0.05, True","27.00, 0.06, True","13.00, 0.01, True","17.00, 0.02, True","11.00, 0.01, True","22.00, 0.01, True","22.00, 0.01, True","12.00, 0.00, True","15.00, 0.00, True","13.00, 0.00, True","15.00, 0.00, True","24.00, 0.00, True","12.00, 0.00, True","11.00, 0.00, True","21.00, 0.00, True","10.00, 0.00, True","16.00, 0.00, True","21.00, 0.00, True","19.00, 0.00, True","11.00, 0.00, True",A,0.473
template_20,"23.00, 0.67, False","25.00, 0.68, False","27.00, 0.69, False","24.00, 0.68, False","12.00, 0.85, False",None,"27.00, 1.00, True","17.00, 0.74, True","24.00, 0.78, True","12.00, 0.57, True","23.00, 0.58, True","9.00, 0.40, True","8.00, 0.38, True","24.00, 0.50, True","1.00, 0.04, True","13.00, 0.30, True","25.00, 0.36, True","26.00, 0.37, True","23.00, 0.34, True","21.00, 0.32, True","10.00, 0.14, True","22.00, 0.27, True","9.00, 0.12, True","9.00, 0.09, True","14.00, 0.14, True","22.00, 0.22, True","21.00, 0.21, True","8.00, 0.05, True","19.00, 0.15, True","8.00, 0.04, True","20.00, 0.10, True","11.00, 0.04, True","25.00, 0.13, True","20.00, 0.08, True","25.00, 0.10, True","10.00, 0.02, True","20.00, 0.06, True","22.00, 0.07, True","11.00, 0.01, True","12.00, 0.02, True","11.00, 0.01, True","20.00, 0.02, True","18.00, 0.01, True","8.00, 0.00, True","10.00, 0.00, True","10.00, 0.00, True","14.00, 0.00, True","22.00, 0.01, True","12.00, 0.00, True","7.00, 0.00, True","19.00, 0.00, True","10.00, 0.00, True","12.00, 0.00, True","18.00, 0.00, True","17.00, 0.00, True","10.00, 0.00, True",A,0.461
template_7,"5.00, 0.30, False","7.00, 0.36, False","14.00, 0.49, False","5.00, 0.30, False","27.00, 0.79, False","27.00, 1.00, False",None,"25.00, 0.89, True","16.00, 0.86, True","28.00, 0.79, True","13.00, 0.58, True","22.00, 0.67, True","24.00, 0.68, True","17.00, 0.52, True","22.00, 0.48, True","23.00, 0.49, True","17.00, 0.35, True","14.00, 0.31, True","15.00, 0.32, True","11.00, 0.26, True","24.00, 0.35, True","14.00, 0.24, True","24.00, 0.35, True","21.00, 0.26, True","25.00, 0.30, True","12.00, 0.16, True","12.00, 0.16, True","21.00, 0.21, True","12.00, 0.12, True","23.00, 0.18, True","11.00, 0.06, True","24.00, 0.16, True","14.00, 0.08, True","7.00, 0.02, True","16.00, 0.07, True","24.00, 0.12, True","13.00, 0.04, True","11.00, 0.03, True","21.00, 0.06, True","19.00, 0.05, True","20.00, 0.06, True","15.00, 0.01, True","13.00, 0.01, True","16.00, 0.01, True","16.00, 0.01, True","22.00, 0.02, True","23.00, 0.01, True","17.00, 0.00, True","20.00, 0.01, True","18.00, 0.01, True","13.00, 0.00, True","20.00, 0.01, True","22.00, 0.01, True","12.00, 0.00, True","11.00, 0.00, True","18.00, 0.00, True",A,0.455
template_28,"26.00, 0.43, False","27.00, 0.44, False","27.00, 0.44, False","26.00, 0.43, False","17.00, 0.52, False","17.00, 0.74, False","25.00, 0.89, False",None,"29.00, 1.00, None","12.00, 1.00, True","27.00, 0.89, True","19.00, 0.87, True","18.00, 0.87, True","30.00, 0.80, True","16.00, 0.62, True","9.00, 0.52, True","31.00, 0.63, True","31.00, 0.63, True","25.00, 0.59, True","24.00, 0.58, True","15.00, 0.41, True","28.00, 0.53, True","7.00, 0.26, True","12.00, 0.28, True","15.00, 0.32, True","29.00, 0.46, True","22.00, 0.40, True","14.00, 0.24, True","26.00, 0.37, True","13.00, 0.18, True","22.00, 0.22, True","18.00, 0.18, True","27.00, 0.26, True","18.00, 0.14, True","25.00, 0.20, True","15.00, 0.12, True","22.00, 0.14, True","22.00, 0.14, True","17.00, 0.08, True","21.00, 0.10, True","16.00, 0.07, True","20.00, 0.04, True","21.00, 0.04, True","16.00, 0.02, True","6.00, 0.00, True","15.00, 0.01, True","18.00, 0.01, True","24.00, 0.02, True","16.00, 0.01, True","16.00, 0.01, True","22.00, 0.01, True","10.00, 0.00, True","18.00, 0.01, True","20.00, 0.01, True","18.00, 0.00, True","11.00, 0.00, True",A,0.442
template_23,"14.00, 0.31, False","16.00, 0.34, False","12.00, 0.28, False","15.00, 0.32, False","30.00, 0.62, False","24.00, 0.78, False","16.00, 0.86, False","29.00, 1.00, True",None,"31.00, 1.00, True","17.00, 0.87, True","26.00, 0.89, True","29.00, 0.90, True","11.00, 0.69, True","25.00, 0.68, True","25.00, 0.68, True","12.00, 0.46, True","14.00, 0.49, True","13.00, 0.47, True","15.00, 0.50, True","31.00, 0.54, True","3.00, 0.15, True","23.00, 0.49, True","22.00, 0.40, True","28.00, 0.45, True","16.00, 0.34, True","16.00, 0.34, True","26.00, 0.37, True","11.00, 0.20, True","26.00, 0.31, True","15.00, 0.15, True","27.00, 0.26, True","16.00, 0.16, True","15.00, 0.12, True","15.00, 0.12, True","24.00, 0.19, True","12.00, 0.07, True","15.00, 0.09, True","24.00, 0.12, True","23.00, 0.12, True","24.00, 0.12, True","9.00, 0.01, True","13.00, 0.01, True","18.00, 0.03, True","19.00, 0.03, True","21.00, 0.03, True","25.00, 0.03, True","15.00, 0.01, True","22.00, 0.02, True","19.00, 0.01, True","9.00, 0.00, True","20.00, 0.01, True","21.00, 0.01, True","8.00, 0.00, True","11.00, 0.00, True","17.00, 0.00, True",A,0.442
template_30,"26.00, 0.37, False","26.00, 0.37, False","27.00, 0.37, False","26.00, 0.37, False","10.00, 0.33, False","12.00, 0.57, False","28.00, 0.79, False","12.00, 1.00, False","31.00, 1.00, False",None,"28.00, 1.00, True","18.00, 1.00, True","16.00, 1.00, True","30.00, 0.90, True","13.00, 0.71, True","10.00, 0.68, True","30.00, 0.71, True","32.00, 0.72, True","27.00, 0.69, True","26.00, 0.69, True","10.00, 0.42, True","28.00, 0.61, True","11.00, 0.44, True","14.00, 0.39, True","18.00, 0.44, True","28.00, 0.53, True","24.00, 0.50, True","13.00, 0.30, True","25.00, 0.43, True","9.00, 0.17, True","20.00, 0.25, True","16.00, 0.21, True","26.00, 0.31, True","23.00, 0.23, True","27.00, 0.26, True","15.00, 0.15, True","25.00, 0.20, True","29.00, 0.23, True","17.00, 0.10, True","22.00, 0.14, True","15.00, 0.09, True","22.00, 0.07, True","21.00, 0.05, True","18.00, 0.04, True","10.00, 0.01, True","16.00, 0.02, True","19.00, 0.02, True","25.00, 0.03, True","15.00, 0.01, True","16.00, 0.01, True","23.00, 0.02, True","13.00, 0.00, True","21.00, 0.02, True","20.00, 0.01, True","19.00, 0.00, True","15.00, 0.00, True",A,0.436
