model,dataset,choices_separator,enumerator,shuffle_choices,accuracy
Llama-2-7b-chat-hf,mmlu.professional_law,; ,roman,True,
Llama-2-7b-chat-hf,mmlu.philosophy, | ,numbers,False,
Llama-2-7b-chat-hf,mmlu.nutrition,\n,numbers,False,
Llama-2-7b-chat-hf,mmlu.moral_scenarios,\n,lowercase,False,
Llama-2-7b-chat-hf,mmlu.college_biology, | ,numbers,False,
Llama-2-7b-chat-hf,mmlu.high_school_european_history,\n,capitals,True,
Llama-2-7b-chat-hf,mmlu.management,\n,numbers,True,
Llama-2-7b-chat-hf,mmlu.college_physics,\n,capitals,True,
Llama-2-7b-chat-hf,mmlu.computer_security,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.anatomy,\n,numbers,False,
Llama-2-7b-chat-hf,race_all,\n,numbers,False,
Llama-2-7b-chat-hf,mmlu.abstract_algebra, | ,roman,True,
Llama-2-7b-chat-hf,mmlu.electrical_engineering,\n,roman,False,
Llama-2-7b-chat-hf,mmlu.formal_logic,", ",capitals,True,
Llama-2-7b-chat-hf,mmlu.global_facts, OR ,numbers,False,
Llama-2-7b-chat-hf,mmlu.high_school_biology,\s,numbers,True,
Llama-2-7b-chat-hf,mmlu.high_school_chemistry,; ,capitals,True,
Llama-2-7b-chat-hf,mmlu.high_school_computer_science,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.machine_learning,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.medical_genetics,\n,numbers,True,
Llama-2-7b-chat-hf,mmlu.professional_accounting,\s,numbers,False,
Llama-2-7b-chat-hf,mmlu.moral_disputes,\n,lowercase,False,
Llama-2-7b-chat-hf,mmlu.business_ethics,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.elementary_mathematics,\n,roman,False,
Llama-2-7b-chat-hf,mmlu.clinical_knowledge,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.college_chemistry,\n,capitals,True,
Llama-2-7b-chat-hf,mmlu.college_computer_science,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.college_mathematics, or ,numbers,True,
Llama-2-7b-chat-hf,mmlu.econometrics, or ,numbers,False,
Llama-2-7b-chat-hf,mmlu.conceptual_physics,", ",roman,False,
Llama-2-7b-chat-hf,mmlu.miscellaneous,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.marketing, | ,numbers,False,
Llama-2-7b-chat-hf,mmlu.college_medicine, | ,numbers,True,
Llama-2-7b-chat-hf,ai2_arc.arc_easy,", ",numbers,False,
Llama-2-7b-chat-hf,sciq,", ",numbers,True,
Llama-2-7b-chat-hf,mmlu.professional_medicine,\n,roman,False,
Llama-2-7b-chat-hf,mmlu.professional_psychology,\n,roman,False,
Llama-2-7b-chat-hf,mmlu.public_relations,; ,numbers,False,
Llama-2-7b-chat-hf,mmlu.prehistory, | ,numbers,True,
Llama-2-7b-chat-hf,mmlu.sociology,; ,numbers,True,
Llama-2-7b-chat-hf,mmlu.us_foreign_policy,\n,numbers,False,
Llama-2-7b-chat-hf,mmlu.virology,", ",roman,False,
Llama-2-7b-chat-hf,mmlu.world_religions,\n,capitals,False,
Llama-2-7b-chat-hf,mmlu.security_studies,", ",roman,True,
Mistral-7B-Instruct-v0.2,mmlu.sociology,", ",lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.medical_genetics,; ,roman,True,
Mistral-7B-Instruct-v0.2,mmlu.public_relations, or ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.professional_psychology,\s,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.professional_accounting,", ",numbers,True,
Mistral-7B-Instruct-v0.2,sciq, | ,roman,False,
Mistral-7B-Instruct-v0.2,race_all, OR ,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.world_religions,; ,roman,False,
Mistral-7B-Instruct-v0.2,mmlu.us_foreign_policy, OR ,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.security_studies,\n,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.college_biology,; ,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.marketing, | ,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.moral_scenarios, | ,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.nutrition,; ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.virology,", ",lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.prehistory, OR ,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.professional_medicine, OR ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.moral_disputes, OR ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.philosophy, | ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.abstract_algebra,\s,roman,False,
Mistral-7B-Instruct-v0.2,mmlu.high_school_european_history, OR ,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.astronomy,", ",lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.computer_security, or ,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.machine_learning,\n,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.management,\n,capitals,True,
Mistral-7B-Instruct-v0.2,ai2_arc.arc_easy, | ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.college_computer_science,\s,numbers,False,
Mistral-7B-Instruct-v0.2,mmlu.high_school_computer_science,; ,roman,False,
Mistral-7B-Instruct-v0.2,mmlu.miscellaneous, | ,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.college_chemistry, | ,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.clinical_knowledge,\n,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.college_mathematics, | ,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.anatomy,\n,roman,True,
Mistral-7B-Instruct-v0.2,mmlu.high_school_biology, or ,lowercase,True,
Mistral-7B-Instruct-v0.2,mmlu.business_ethics,\n,lowercase,False,
Mistral-7B-Instruct-v0.2,mmlu.college_physics,\n,roman,True,
Mistral-7B-Instruct-v0.2,mmlu.conceptual_physics, OR ,capitals,False,
Mistral-7B-Instruct-v0.2,mmlu.econometrics,\n,numbers,False,
