model,dataset,choices_separator,enumerator,shuffle_choices,accuracy
Llama-2-13b-chat-hf,mmlu.abstract_algebra,; ,lowercase,False,
Llama-2-13b-chat-hf,mmlu.anatomy,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.astronomy, | ,numbers,True,
Llama-2-13b-chat-hf,mmlu.business_ethics,; ,numbers,False,
Llama-2-13b-chat-hf,mmlu.clinical_knowledge,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.college_biology,", ",numbers,False,
Llama-2-13b-chat-hf,mmlu.college_chemistry,\s,capitals,True,
Llama-2-13b-chat-hf,mmlu.college_computer_science, | ,numbers,False,
Llama-2-13b-chat-hf,mmlu.college_mathematics,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.college_medicine,", ",numbers,False,
Llama-2-13b-chat-hf,mmlu.college_physics,\n,numbers,True,
Llama-2-13b-chat-hf,mmlu.computer_security,; ,numbers,False,
Llama-2-13b-chat-hf,mmlu.conceptual_physics,", ",numbers,False,
Llama-2-13b-chat-hf,mmlu.econometrics, or ,numbers,False,
Llama-2-13b-chat-hf,mmlu.electrical_engineering, | ,capitals,False,
Llama-2-13b-chat-hf,mmlu.elementary_mathematics, | ,numbers,False,
Llama-2-13b-chat-hf,mmlu.formal_logic,\n,capitals,True,
Llama-2-13b-chat-hf,mmlu.global_facts, OR ,capitals,False,
Llama-2-13b-chat-hf,mmlu.high_school_biology,; ,numbers,False,
Llama-2-13b-chat-hf,mmlu.high_school_chemistry,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.high_school_computer_science,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.high_school_european_history,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.high_school_geography,\n,numbers,True,
Llama-2-13b-chat-hf,mmlu.high_school_government_and_politics,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.high_school_macroeconomics,\n,numbers,True,
Llama-2-13b-chat-hf,mmlu.high_school_mathematics,", ",lowercase,True,
Llama-2-13b-chat-hf,mmlu.high_school_microeconomics,; ,numbers,False,
Llama-2-13b-chat-hf,mmlu.high_school_physics,; ,lowercase,True,
Llama-2-13b-chat-hf,mmlu.high_school_psychology,; ,numbers,False,
Llama-2-13b-chat-hf,mmlu.high_school_statistics, | ,capitals,True,
Llama-2-13b-chat-hf,mmlu.high_school_us_history,\n,numbers,True,
Llama-2-13b-chat-hf,mmlu.high_school_world_history,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.human_aging,", ",numbers,False,
Llama-2-13b-chat-hf,mmlu.human_sexuality,\n,numbers,True,
Llama-2-13b-chat-hf,mmlu.international_law,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.jurisprudence,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.logical_fallacies,; ,numbers,False,
Llama-2-13b-chat-hf,mmlu.machine_learning,\n,numbers,True,
Llama-2-13b-chat-hf,mmlu.management,\n,numbers,True,
Llama-2-13b-chat-hf,mmlu.marketing,\s,numbers,True,
Llama-2-13b-chat-hf,mmlu.medical_genetics,", ",numbers,True,
Llama-2-13b-chat-hf,mmlu.miscellaneous,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.moral_disputes,\n,capitals,False,
Llama-2-13b-chat-hf,mmlu.moral_scenarios,; ,roman,True,
Llama-2-13b-chat-hf,mmlu.nutrition,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.philosophy,", ",numbers,False,
Llama-2-13b-chat-hf,mmlu.prehistory,; ,numbers,False,
Llama-2-13b-chat-hf,mmlu.professional_accounting,\n,numbers,True,
Llama-2-13b-chat-hf,mmlu.professional_law,", ",numbers,False,
Llama-2-13b-chat-hf,mmlu.professional_medicine, OR ,numbers,True,
Llama-2-13b-chat-hf,mmlu.professional_psychology,; ,numbers,True,
Llama-2-13b-chat-hf,mmlu.public_relations,; ,numbers,False,
Llama-2-13b-chat-hf,mmlu.security_studies,; ,numbers,False,
Llama-2-13b-chat-hf,mmlu.sociology,; ,numbers,True,
Llama-2-13b-chat-hf,mmlu.us_foreign_policy,\n,numbers,False,
Llama-2-13b-chat-hf,mmlu.virology,; ,numbers,False,
Llama-2-13b-chat-hf,mmlu.world_religions,\n,numbers,True,
Llama-2-13b-hf,mmlu.clinical_knowledge,\n,numbers,False,
Llama-2-13b-hf,mmlu.college_biology, | ,capitals,True,
Llama-2-13b-hf,mmlu.college_chemistry,\n,numbers,True,
Llama-2-13b-hf,mmlu.college_computer_science,; ,lowercase,False,
Llama-2-13b-hf,mmlu.college_mathematics,\n,lowercase,False,
Llama-2-13b-hf,mmlu.college_medicine,\n,numbers,False,
Llama-2-13b-hf,mmlu.college_physics,\n,lowercase,True,
Llama-2-13b-hf,mmlu.computer_security,; ,numbers,True,
Llama-2-13b-hf,mmlu.conceptual_physics, | ,lowercase,True,
Llama-2-13b-hf,mmlu.econometrics, OR ,numbers,True,
Llama-2-13b-hf,mmlu.electrical_engineering,\n,capitals,True,
