"statistic, pvalue, row is better than column",best set: template_7,template_5,template_3,template_32,template_4,template_23,template_6,template_36,template_34,template_8,template_2,template_9,template_35,template_33,template_45,template_30,template_29,template_28,template_31,template_37,template_1,template_0,group,accuracy
template_7,None,"19.00, 0.87, True","33.00, 0.90, True","67.00, 0.86, True","62.00, 0.79, True","5.00, 0.21, False","58.00, 0.65, True","58.00, 0.59, True","68.00, 0.46, True","58.00, 0.37, True","60.00, 0.38, True","15.00, 0.41, True","31.00, 0.14, True","29.00, 0.05, True","13.00, 1.00, None","59.00, 0.12, True","29.00, 0.03, True","63.00, 0.10, True","27.00, 0.01, True","10.00, 0.33, True","39.00, 0.00, True","60.00, 0.00, True",A,0.582
template_5,"19.00, 0.87, False",None,"39.00, 1.00, None","66.00, 1.00, True","64.00, 0.93, True","9.00, 0.82, False","61.00, 0.79, True","60.00, 0.72, True","70.00, 0.57, True","58.00, 0.47, True","62.00, 0.49, True","18.00, 0.53, True","32.00, 0.21, True","27.00, 0.07, True","12.00, 0.57, True","60.00, 0.17, True","29.00, 0.05, True","60.00, 0.13, True","27.00, 0.02, True","12.00, 0.46, True","39.00, 0.00, True","60.00, 0.00, True",A,0.578
template_3,"33.00, 0.90, False","39.00, 1.00, True",None,"75.00, 1.00, True","64.00, 0.93, True","9.00, 0.23, False","61.00, 0.79, True","65.00, 0.73, True","73.00, 0.57, True","62.00, 0.49, True","57.00, 0.47, True","19.00, 1.00, True","46.00, 0.28, True","40.00, 0.13, True","10.00, 0.83, False","62.00, 0.18, True","37.00, 0.08, True","67.00, 0.15, True","27.00, 0.02, True","13.00, 1.00, None","44.00, 0.00, True","60.00, 0.00, True",A,0.578
template_32,"67.00, 0.86, False","66.00, 1.00, False","75.00, 1.00, False",None,"36.00, 1.00, True","20.00, 0.31, True","34.00, 0.81, True","34.00, 0.72, True","25.00, 0.43, True","42.00, 0.47, True","34.00, 0.42, True","42.00, 0.30, True","59.00, 0.38, True","56.00, 0.21, True","21.00, 0.21, True","29.00, 0.08, True","67.00, 0.19, True","21.00, 0.03, True","66.00, 0.11, True","23.00, 0.09, True","56.00, 0.00, True","41.00, 0.00, True",A,0.577
template_4,"62.00, 0.79, False","64.00, 0.93, False","64.00, 0.93, False","36.00, 1.00, False",None,"18.00, 0.44, True","14.00, 0.86, True","37.00, 0.82, True","39.00, 0.59, True","28.00, 0.45, True","24.00, 0.42, True","42.00, 0.67, True","66.00, 0.45, True","64.00, 0.28, True","14.00, 0.19, True","25.00, 0.08, True","66.00, 0.22, True","28.00, 0.06, True","63.00, 0.12, True","25.00, 0.25, True","60.00, 0.00, True","36.00, 0.00, True",A,0.575
template_23,"5.00, 0.21, True","9.00, 0.82, True","9.00, 0.23, True","20.00, 0.31, False","18.00, 0.44, False",None,"19.00, 0.76, False","20.00, 0.76, False","23.00, 0.89, False","20.00, 1.00, False","23.00, 1.00, True","5.00, 0.14, True","12.00, 0.36, True","17.00, 1.00, None","9.00, 0.23, True","24.00, 1.00, None","14.00, 1.00, True","21.00, 0.66, False","9.00, 0.17, True","3.00, 0.06, True","14.00, 0.04, True","24.00, 0.89, False",A,0.574
template_6,"58.00, 0.65, False","61.00, 0.79, False","61.00, 0.79, False","34.00, 0.81, False","14.00, 0.86, False","19.00, 0.76, True",None,"36.00, 1.00, True","34.00, 0.72, True","27.00, 0.60, True","23.00, 0.58, True","42.00, 0.83, True","65.00, 0.55, True","62.00, 0.35, True","18.00, 0.44, True","22.00, 0.11, True","66.00, 0.28, True","27.00, 0.09, True","63.00, 0.16, True","26.00, 0.51, True","61.00, 0.01, True","34.00, 0.00, True",A,0.572
template_36,"58.00, 0.59, False","60.00, 0.72, False","65.00, 0.73, False","34.00, 0.72, False","37.00, 0.82, False","20.00, 0.76, True","36.00, 1.00, False",None,"38.00, 0.82, True","30.00, 0.71, True","28.00, 0.70, True","35.00, 0.43, True","62.00, 0.60, True","60.00, 0.38, True","18.00, 0.23, True","27.00, 0.18, True","62.00, 0.31, True","26.00, 0.11, True","57.00, 0.16, True","24.00, 0.24, True","54.00, 0.00, True","42.00, 0.00, True",A,0.57
template_34,"68.00, 0.46, False","70.00, 0.57, False","73.00, 0.57, False","25.00, 0.43, False","39.00, 0.59, False","23.00, 0.89, True","34.00, 0.72, False","38.00, 0.82, False",None,"45.00, 1.00, True","41.00, 1.00, True","45.00, 0.76, True","64.00, 0.79, True","62.00, 0.54, True","21.00, 0.56, True","34.00, 0.36, True","68.00, 0.46, True","29.00, 0.23, True","68.00, 0.29, True","29.00, 0.46, True","68.00, 0.02, True","49.00, 0.00, True",A,0.565
template_8,"58.00, 0.37, False","58.00, 0.47, False","62.00, 0.49, False","42.00, 0.47, False","28.00, 0.45, False","20.00, 1.00, True","27.00, 0.60, False","30.00, 0.71, False","45.00, 1.00, False",None,"25.00, 1.00, None","35.00, 1.00, True","70.00, 0.87, True","70.00, 0.62, True","15.00, 0.41, True","31.00, 0.40, True","66.00, 0.50, True","40.00, 0.34, True","65.00, 0.32, True","25.00, 0.43, True","61.00, 0.02, True","39.00, 0.00, True",A,0.564
