template_name,card,system_format,num_demos,demos_pool_size,max_instances,accuracy,score,score_name,groups_mean_score,number_of_instances
template_0,cards.race_all,formats.empty,0,10,100,0.170,0.170,accuracy,0.170,100
template_1,cards.race_all,formats.empty,0,10,100,0.160,0.160,accuracy,0.160,100
template_2,cards.race_all,formats.empty,0,10,100,0.210,0.210,accuracy,0.210,100
template_3,cards.race_all,formats.empty,0,10,100,0.180,0.180,accuracy,0.180,100
template_4,cards.race_all,formats.empty,0,10,100,0.190,0.190,accuracy,0.190,100
template_5,cards.race_all,formats.empty,0,10,100,0.180,0.180,accuracy,0.180,100
template_6,cards.race_all,formats.empty,0,10,100,0.190,0.190,accuracy,0.190,100
template_7,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_8,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_9,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_10,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_11,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_12,cards.race_all,formats.empty,1,10,100,0.690,0.690,accuracy,0.690,100
template_13,cards.race_all,formats.empty,1,10,100,0.660,0.660,accuracy,0.660,100
template_14,cards.race_all,formats.empty,1,10,100,0.43,0.43,accuracy,0.43,100
template_15,cards.race_all,formats.empty,1,10,100,0.17,0.17,accuracy,0.17,100
template_16,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_17,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_18,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_19,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_20,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_21,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_22,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_23,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_24,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_25,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_26,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_27,cards.race_all,formats.empty,0,10,100,0.000,0.000,accuracy,0.000,100
template_28,cards.race_all,formats.empty,0,10,100,0.17,0.17,accuracy,0.17,100
template_29,cards.race_all,formats.empty,0,10,100,0.16,0.16,accuracy,0.16,100
template_30,cards.race_all,formats.empty,0,10,100,0.21,0.21,accuracy,0.21,100
template_31,cards.race_all,formats.empty,0,10,100,0.167,0.167,accuracy,0.167,60
template_32,cards.race_all,formats.empty,0,10,100,0.167,0.167,accuracy,0.167,60
template_33,cards.race_all,formats.empty,0,10,100,0.15,0.15,accuracy,0.15,40
template_34,cards.race_all,formats.empty,0,10,100,0.15,0.15,accuracy,0.15,40
template_35,cards.race_all,formats.empty,0,10,100,0.0,0.0,accuracy,0.0,30
template_36,cards.race_all,formats.empty,0,10,100,0.0,0.0,accuracy,0.0,30
template_37,cards.race_all,formats.empty,0,10,100,0.0,0.0,accuracy,0.0,10
