"statistic, pvalue, row is better than column",template_38,template_32,best set: template_6,template_48,template_36,template_40,template_12,template_29,template_33,template_41,template_0,template_26,template_4,template_39,template_43,template_9,template_37,template_49,template_13,template_19,template_21,template_22,template_52,template_8,template_28,template_35,template_5,template_46,template_10,template_18,template_50,template_55,template_15,template_34,template_47,template_42,template_7,template_14,template_24,template_51,template_53,template_20,template_23,template_27,template_54,template_11,template_44,template_1,template_2,template_25,template_45,template_31,template_3,template_16,template_30,template_17,group,accuracy
template_38,None,"15.00, 1.00, None","42.00, 1.00, None","37.00, 1.00, True","10.00, 1.00, True","10.00, 1.00, True","41.00, 0.91, True","16.00, 0.86, True","15.00, 0.73, True","16.00, 0.74, True","41.00, 0.83, True","28.00, 0.70, True","41.00, 0.75, True","15.00, 0.61, True","39.00, 0.66, True","42.00, 0.67, True","10.00, 0.33, True","38.00, 0.58, True","42.00, 0.60, True","31.00, 0.54, True","34.00, 0.56, True","26.00, 0.43, True","35.00, 0.49, True","42.00, 0.53, True","12.00, 0.28, True","14.00, 0.31, True","41.00, 0.53, True","34.00, 0.42, True","38.00, 0.45, True","28.00, 0.38, True","35.00, 0.37, True","35.00, 0.37, True","29.00, 0.33, True","8.00, 0.11, True","32.00, 0.30, True","33.00, 0.30, True","38.00, 0.33, True","25.00, 0.25, True","23.00, 0.18, True","35.00, 0.27, True","35.00, 0.27, True","26.00, 0.17, True","29.00, 0.19, True","28.00, 0.12, True","30.00, 0.13, True","38.00, 0.17, True","30.00, 0.11, True","33.00, 0.12, True","36.00, 0.13, True","28.00, 0.08, True","31.00, 0.07, True","11.00, 0.00, True","33.00, 0.04, True","19.00, 0.01, True","8.00, 0.00, True","21.00, 0.00, True",A,0.27
template_32,"15.00, 1.00, True",None,"43.00, 1.00, None","34.00, 1.00, True","12.00, 1.00, True","11.00, 1.00, True","41.00, 0.91, True","16.00, 0.86, True","15.00, 0.73, True","17.00, 0.74, True","43.00, 0.83, True","29.00, 0.70, True","41.00, 0.75, True","18.00, 0.64, True","40.00, 0.66, True","46.00, 0.68, True","14.00, 0.39, True","35.00, 0.57, True","45.00, 0.61, True","30.00, 0.54, True","31.00, 0.54, True","28.00, 0.45, True","34.00, 0.49, True","39.00, 0.52, True","8.00, 0.21, True","13.00, 0.30, True","43.00, 0.53, True","30.00, 0.40, True","38.00, 0.45, True","26.00, 0.37, True","34.00, 0.36, True","34.00, 0.36, True","31.00, 0.34, True","3.00, 0.04, True","32.00, 0.30, True","33.00, 0.30, True","40.00, 0.34, True","26.00, 0.25, True","24.00, 0.19, True","36.00, 0.27, True","35.00, 0.27, True","25.00, 0.16, True","29.00, 0.19, True","29.00, 0.12, True","29.00, 0.12, True","40.00, 0.18, True","31.00, 0.11, True","36.00, 0.13, True","40.00, 0.15, True","27.00, 0.07, True","32.00, 0.07, True","17.00, 0.01, True","37.00, 0.05, True","24.00, 0.01, True","12.00, 0.00, True","24.00, 0.00, True",A,0.27
template_6,"42.00, 1.00, True","43.00, 1.00, True",None,"26.00, 1.00, True","40.00, 1.00, True","44.00, 1.00, True","10.00, 0.83, True","40.00, 0.91, True","39.00, 0.82, True","42.00, 0.83, True","12.00, 0.70, True","40.00, 0.74, True","7.00, 0.48, True","42.00, 0.75, True","27.00, 0.60, True","17.00, 0.52, True","37.00, 0.58, True","27.00, 0.52, True","16.00, 0.42, True","42.00, 0.60, True","41.00, 0.59, True","40.00, 0.52, True","24.00, 0.42, True","11.00, 0.26, True","36.00, 0.50, True","40.00, 0.52, True","15.00, 0.32, True","24.00, 0.35, True","11.00, 0.20, True","36.00, 0.43, True","21.00, 0.26, True","24.00, 0.29, True","43.00, 0.41, True","36.00, 0.37, True","26.00, 0.25, True","21.00, 0.21, True","12.00, 0.12, True","42.00, 0.35, True","38.00, 0.28, True","25.00, 0.20, True","24.00, 0.19, True","33.00, 0.21, True","37.00, 0.24, True","38.00, 0.17, True","19.00, 0.07, True","11.00, 0.03, True","22.00, 0.07, True","9.00, 0.01, True","10.00, 0.02, True","38.00, 0.12, True","20.00, 0.03, True","33.00, 0.05, True","9.00, 0.00, True","36.00, 0.03, True","32.00, 0.02, True","34.00, 0.01, True",A,0.27
template_48,"37.00, 1.00, False","34.00, 1.00, False","26.00, 1.00, False",None,"39.00, 1.00, None","39.00, 1.00, None","27.00, 1.00, True","39.00, 1.00, True","36.00, 0.91, True","39.00, 0.91, True","31.00, 0.90, True","36.00, 0.82, True","27.00, 0.79, True","40.00, 0.83, True","13.00, 0.58, True","32.00, 0.72, True","36.00, 0.65, True","14.00, 0.49, True","32.00, 0.63, True","38.00, 0.66, True","38.00, 0.66, True","37.00, 0.58, True","9.00, 0.31, True","25.00, 0.50, True","32.00, 0.55, True","38.00, 0.58, True","30.00, 0.54, True","4.00, 0.12, True","25.00, 0.43, True","33.00, 0.48, True","7.00, 0.13, True","12.00, 0.22, True","40.00, 0.46, True","29.00, 0.39, True","12.00, 0.16, True","8.00, 0.11, True","27.00, 0.31, True","36.00, 0.37, True","33.00, 0.30, True","11.00, 0.11, True","13.00, 0.13, True","29.00, 0.23, True","37.00, 0.28, True","35.00, 0.19, True","3.00, 0.00, True","24.00, 0.12, True","6.00, 0.01, True","25.00, 0.10, True","23.00, 0.09, True","34.00, 0.12, True","5.00, 0.00, True","35.00, 0.07, True","23.00, 0.02, True","32.00, 0.03, True","31.00, 0.02, True","31.00, 0.01, True",A,0.267
template_36,"10.00, 1.00, False","12.00, 1.00, False","40.00, 1.00, False","39.00, 1.00, True",None,"10.00, 1.00, None","42.00, 1.00, True","17.00, 1.00, True","19.00, 0.87, True","17.00, 0.87, True","42.00, 0.91, True","29.00, 0.80, True","40.00, 0.83, True","15.00, 0.73, True","42.00, 0.75, True","45.00, 0.76, True","12.00, 0.46, True","40.00, 0.66, True","44.00, 0.68, True","31.00, 0.63, True","34.00, 0.64, True","28.00, 0.53, True","34.00, 0.56, True","42.00, 0.60, True","8.00, 0.29, True","16.00, 0.42, True","43.00, 0.60, True","34.00, 0.49, True","39.00, 0.52, True","30.00, 0.46, True","34.00, 0.42, True","38.00, 0.45, True","28.00, 0.38, True","8.00, 0.15, True","37.00, 0.38, True","32.00, 0.35, True","40.00, 0.40, True","25.00, 0.30, True","24.00, 0.24, True","38.00, 0.33, True","37.00, 0.33, True","28.00, 0.22, True","29.00, 0.23, True","28.00, 0.15, True","32.00, 0.17, True","40.00, 0.21, True","34.00, 0.15, True","36.00, 0.16, True","38.00, 0.17, True","27.00, 0.09, True","33.00, 0.10, True","13.00, 0.01, True","35.00, 0.06, True","23.00, 0.01, True","11.00, 0.00, True","23.00, 0.01, True",A,0.267
template_40,"10.00, 1.00, False","11.00, 1.00, False","44.00, 1.00, False","39.00, 1.00, True","10.00, 1.00, True",None,"42.00, 1.00, True","17.00, 1.00, True","15.00, 0.86, True","13.00, 0.85, True","44.00, 0.92, True","26.00, 0.79, True","41.00, 0.83, True","11.00, 0.69, True","42.00, 0.75, True","45.00, 0.76, True","10.00, 0.42, True","40.00, 0.66, True","44.00, 0.68, True","30.00, 0.62, True","33.00, 0.64, True","28.00, 0.53, True","37.00, 0.58, True","40.00, 0.59, True","10.00, 0.33, True","13.00, 0.38, True","46.00, 0.61, True","35.00, 0.49, True","39.00, 0.52, True","27.00, 0.44, True","37.00, 0.44, True","37.00, 0.44, True","27.00, 0.37, True","5.00, 0.10, True","36.00, 0.37, True","35.00, 0.37, True","43.00, 0.41, True","24.00, 0.29, True","24.00, 0.24, True","39.00, 0.34, True","37.00, 0.33, True","26.00, 0.21, True","30.00, 0.24, True","27.00, 0.14, True","31.00, 0.17, True","40.00, 0.21, True","33.00, 0.15, True","37.00, 0.17, True","39.00, 0.17, True","27.00, 0.09, True","33.00, 0.10, True","11.00, 0.01, True","35.00, 0.06, True","21.00, 0.01, True","9.00, 0.00, True","21.00, 0.00, True",A,0.267
template_12,"41.00, 0.91, False","41.00, 0.91, False","10.00, 0.83, False","27.00, 1.00, False","42.00, 1.00, False","42.00, 1.00, False",None,"38.00, 1.00, None","39.00, 1.00, True","41.00, 1.00, True","13.00, 1.00, True","40.00, 0.91, True","9.00, 0.82, True","41.00, 0.91, True","26.00, 0.79, True","16.00, 0.74, True","36.00, 0.73, True","27.00, 0.69, True","13.00, 0.58, True","40.00, 0.74, True","40.00, 0.74, True","41.00, 0.67, True","24.00, 0.58, True","11.00, 0.44, True","35.00, 0.64, True","38.00, 0.66, True","14.00, 0.49, True","24.00, 0.50, True","8.00, 0.29, True","35.00, 0.57, True","22.00, 0.40, True","23.00, 0.41, True","39.00, 0.52, True","37.00, 0.51, True","24.00, 0.35, True","22.00, 0.33, True","12.00, 0.22, True","38.00, 0.45, True","39.00, 0.39, True","23.00, 0.28, True","24.00, 0.29, True","33.00, 0.30, True","37.00, 0.33, True","35.00, 0.22, True","19.00, 0.12, True","8.00, 0.04, True","22.00, 0.11, True","9.00, 0.03, True","11.00, 0.04, True","36.00, 0.16, True","19.00, 0.05, True","31.00, 0.07, True","10.00, 0.01, True","35.00, 0.04, True","31.00, 0.03, True","32.00, 0.02, True",A,0.263
template_29,"16.00, 0.86, False","16.00, 0.86, False","40.00, 0.91, False","39.00, 1.00, False","17.00, 1.00, False","17.00, 1.00, False","38.00, 1.00, True",None,"9.00, 1.00, True","13.00, 1.00, True","40.00, 1.00, True","29.00, 0.90, True","42.00, 0.91, True","11.00, 0.84, True","35.00, 0.82, True","40.00, 0.83, True","8.00, 0.50, True","32.00, 0.72, True","37.00, 0.73, True","25.00, 0.68, True","28.00, 0.70, True","27.00, 0.60, True","34.00, 0.64, True","38.00, 0.66, True","11.00, 0.44, True","7.00, 0.36, True","39.00, 0.66, True","32.00, 0.55, True","35.00, 0.57, True","25.00, 0.50, True","32.00, 0.48, True","32.00, 0.48, True","23.00, 0.41, True","12.00, 0.28, True","28.00, 0.38, True","31.00, 0.40, True","35.00, 0.43, True","27.00, 0.37, True","24.00, 0.29, True","33.00, 0.36, True","31.00, 0.34, True","23.00, 0.23, True","24.00, 0.24, True","23.00, 0.15, True","30.00, 0.19, True","34.00, 0.22, True","33.00, 0.18, True","30.00, 0.16, True","37.00, 0.20, True","22.00, 0.09, True","29.00, 0.10, True","11.00, 0.01, True","34.00, 0.07, True","21.00, 0.02, True","9.00, 0.00, True","19.00, 0.00, True",A,0.263
template_33,"15.00, 0.73, False","15.00, 0.73, False","39.00, 0.82, False","36.00, 0.91, False","19.00, 0.87, False","15.00, 0.86, False","39.00, 1.00, False","9.00, 1.00, False",None,"12.00, 1.00, None","43.00, 1.00, None","31.00, 1.00, True","43.00, 1.00, True","12.00, 1.00, True","36.00, 0.91, True","41.00, 0.91, True","10.00, 0.68, True","33.00, 0.81, True","39.00, 0.82, True","28.00, 0.79, True","30.00, 0.80, True","31.00, 0.71, True","37.00, 0.73, True","40.00, 0.74, True","14.00, 0.60, True","7.00, 0.48, True","40.00, 0.74, True","33.00, 0.64, True","36.00, 0.65, True","27.00, 0.60, True","34.00, 0.56, True","31.00, 0.54, True","27.00, 0.52, True","10.00, 0.33, True","26.00, 0.43, True","34.00, 0.49, True","37.00, 0.51, True","28.00, 0.45, True","28.00, 0.38, True","33.00, 0.42, True","32.00, 0.41, True","24.00, 0.29, True","27.00, 0.31, True","26.00, 0.21, True","30.00, 0.24, True","36.00, 0.27, True","32.00, 0.21, True","33.00, 0.21, True","38.00, 0.24, True","25.00, 0.13, True","30.00, 0.13, True","13.00, 0.02, True","36.00, 0.09, True","23.00, 0.02, True","11.00, 0.00, True","22.00, 0.01, True",A,0.259
template_41,"16.00, 0.74, False","17.00, 0.74, False","42.00, 0.83, False","39.00, 0.91, False","17.00, 0.87, False","13.00, 0.85, False","41.00, 1.00, False","13.00, 1.00, False","12.00, 1.00, True",None,"45.00, 1.00, None","26.00, 1.00, True","43.00, 1.00, True","9.00, 1.00, True","36.00, 0.91, True","42.00, 0.91, True","10.00, 0.68, True","35.00, 0.82, True","41.00, 0.83, True","27.00, 0.79, True","30.00, 0.80, True","30.00, 0.71, True","38.00, 0.74, True","40.00, 0.74, True","14.00, 0.60, True","7.00, 0.48, True","40.00, 0.74, True","36.00, 0.65, True","40.00, 0.66, True","27.00, 0.60, True","37.00, 0.58, True","35.00, 0.57, True","24.00, 0.50, True","11.00, 0.34, True","31.00, 0.47, True","37.00, 0.51, True","38.00, 0.51, True","26.00, 0.43, True","25.00, 0.36, True","36.00, 0.43, True","35.00, 0.43, True","25.00, 0.30, True","25.00, 0.30, True","23.00, 0.18, True","32.00, 0.25, True","37.00, 0.28, True","35.00, 0.22, True","37.00, 0.24, True","38.00, 0.24, True","23.00, 0.12, True","33.00, 0.15, True","10.00, 0.01, True","37.00, 0.09, True","20.00, 0.02, True","9.00, 0.00, True","19.00, 0.01, True",A,0.259
