template_name,card,system_format,num_demos,demos_pool_size,max_instances,accuracy,score,score_name,accuracy_ci_low,accuracy_ci_high,score_ci_low,score_ci_high,groups_mean_score,number_of_instances
template_0,cards.sciq,formats.empty,1,10,100,0.83,0.83,accuracy,0.75,0.89,0.75,0.89,0.83,100
template_1,cards.sciq,formats.empty,1,10,100,0.99,0.99,accuracy,0.932,1.0,0.932,1.0,0.99,96
template_2,cards.sciq,formats.empty,1,10,100,0.98,0.98,accuracy,0.93,1.0,0.93,1.0,0.98,100
template_3,cards.sciq,formats.empty,1,10,100,0.990,0.990,accuracy,0.940,1.000,0.940,1.000,0.990,100
template_4,cards.sciq,formats.empty,1,10,100,0.97,0.97,accuracy,0.92,0.99,0.92,0.99,0.97,100
template_5,cards.sciq,formats.empty,1,10,100,0.81,0.81,accuracy,0.73,0.89,0.73,0.89,0.81,100
template_6,cards.sciq,formats.empty,1,10,100,0.97,0.97,accuracy,0.92,0.99,0.92,0.99,0.97,100
template_7,cards.sciq,formats.empty,1,10,100,0.81,0.81,accuracy,0.727,0.88,0.727,0.88,0.81,100
template_8,cards.sciq,formats.empty,1,10,100,0.98,0.98,accuracy,0.93,1.0,0.93,1.0,0.98,100
template_9,cards.sciq,formats.empty,1,10,100,0.98,0.98,accuracy,0.93,1.0,0.93,1.0,0.98,100
template_10,cards.sciq,formats.empty,1,10,100,0.97,0.97,accuracy,0.92,0.99,0.92,0.99,0.97,100
template_11,cards.sciq,formats.empty,1,10,100,0.98,0.98,accuracy,0.93,1.0,0.93,1.0,0.98,100
template_12,cards.sciq,formats.empty,1,10,100,0.93,0.93,accuracy,0.862,0.97,0.862,0.97,0.93,100
template_13,cards.sciq,formats.empty,1,10,100,0.7,0.7,accuracy,0.61,0.79,0.61,0.79,0.7,100
template_14,cards.sciq,formats.empty,1,10,100,0.96,0.96,accuracy,0.91,0.99,0.91,0.99,0.96,100
template_15,cards.sciq,formats.empty,1,10,100,0.97,0.97,accuracy,0.92,0.99,0.92,0.99,0.97,100
template_16,cards.sciq,formats.empty,1,10,100,0.98,0.98,accuracy,0.93,1.0,0.93,1.0,0.98,100
template_17,cards.sciq,formats.empty,1,10,100,0.98,0.98,accuracy,0.93,1.0,0.93,1.0,0.98,100
template_18,cards.sciq,formats.empty,1,10,100,0.97,0.97,accuracy,0.92,0.99,0.92,0.99,0.97,100
template_19,cards.sciq,formats.empty,1,10,100,0.94,0.94,accuracy,0.88,0.98,0.88,0.98,0.94,100
template_20,cards.sciq,formats.empty,1,10,100,0.92,0.92,accuracy,0.85,0.96,0.85,0.96,0.92,100
template_21,cards.sciq,formats.empty,1,10,100,1.0,1.0,accuracy,,,,,1.0,100
template_22,cards.sciq,formats.empty,1,10,100,1.0,1.0,accuracy,,,,,1.0,100
template_23,cards.sciq,formats.empty,1,10,100,1.0,1.0,accuracy,,,,,1.0,100
template_24,cards.sciq,formats.empty,1,10,100,1.0,1.0,accuracy,,,,,1.0,100
template_25,cards.sciq,formats.empty,1,10,100,1.0,1.0,accuracy,,,,,1.0,100
