"statistic, pvalue, row is better than column",best set: template_8,template_30,template_36,template_34,template_40,template_6,template_45,template_20,template_47,template_2,template_31,template_21,template_3,template_28,template_44,template_19,template_22,template_41,template_26,template_25,template_55,template_48,template_13,template_32,template_10,template_51,template_46,template_52,template_38,template_24,template_23,template_9,template_7,template_16,template_5,template_50,template_54,template_39,template_37,template_12,template_11,template_4,template_17,template_43,template_42,template_53,template_49,template_35,template_14,template_18,template_33,template_27,template_0,template_29,template_15,template_1,group
best set: template_8,None,"8.00, 0.81, True","7.00, 0.80, True","9.00, 0.66, True","12.00, 0.57, True","6.00, 0.33, True","11.00, 0.44, True","8.00, 0.38, True","13.00, 0.47, True","7.00, 0.26, True","10.00, 0.25, True","12.00, 0.28, True","9.00, 0.23, True","9.00, 0.23, True","6.00, 0.17, True","9.00, 0.17, True","5.00, 0.10, True","10.00, 0.18, True","8.00, 0.15, True","13.00, 0.23, True","12.00, 0.22, True","7.00, 0.13, True","12.00, 0.22, True","3.00, 0.06, True","6.00, 0.08, True","8.00, 0.11, True","8.00, 0.11, True","10.00, 0.14, True","10.00, 0.14, True","7.00, 0.09, True","10.00, 0.14, True","9.00, 0.12, True","10.00, 0.14, True","5.00, 0.06, True","11.00, 0.11, True","4.00, 0.03, True","10.00, 0.10, True","13.00, 0.13, True","9.00, 0.09, True","6.00, 0.03, True","12.00, 0.09, True","7.00, 0.04, True","8.00, 0.05, True","9.00, 0.04, True","8.00, 0.04, True","11.00, 0.06, True","9.00, 0.04, True","8.00, 0.04, True","5.00, 0.01, True","3.00, 0.00, True","7.00, 0.02, True","9.00, 0.03, True","5.00, 0.01, True","8.00, 0.01, True","9.00, 0.01, True","5.00, 0.00, True",A
template_30,"8.00, 0.81, False",None,"12.00, 1.00, None","8.00, 1.00, True","11.00, 0.84, True","11.00, 0.69, True","10.00, 0.68, True","10.00, 0.68, True","14.00, 0.72, True","8.00, 0.50, True","11.00, 0.44, True","13.00, 0.47, True","8.00, 0.38, True","11.00, 0.44, True","5.00, 0.30, True","11.00, 0.34, True","8.00, 0.29, True","13.00, 0.38, True","11.00, 0.34, True","17.00, 0.43, True","13.00, 0.38, True","7.00, 0.26, True","14.00, 0.39, True","6.00, 0.24, True","10.00, 0.25, True","11.00, 0.26, True","9.00, 0.23, True","12.00, 0.28, True","10.00, 0.25, True","11.00, 0.26, True","12.00, 0.28, True","10.00, 0.25, True","12.00, 0.28, True","8.00, 0.21, True","12.00, 0.22, True","6.00, 0.12, True","12.00, 0.22, True","17.00, 0.28, True","10.00, 0.18, True","6.00, 0.08, True","13.00, 0.18, True","9.00, 0.12, True","10.00, 0.14, True","12.00, 0.12, True","9.00, 0.09, True","13.00, 0.13, True","9.00, 0.09, True","11.00, 0.11, True","9.00, 0.06, True","6.00, 0.03, True","10.00, 0.07, True","12.00, 0.09, True","9.00, 0.06, True","11.00, 0.04, True","10.00, 0.02, True","8.00, 0.00, True",A
template_36,"7.00, 0.80, False","12.00, 1.00, True",None,"9.00, 1.00, True","10.00, 0.83, True","10.00, 0.68, True","16.00, 0.74, True","9.00, 0.66, True","15.00, 0.73, True","12.00, 0.57, True","14.00, 0.49, True","13.00, 0.47, True","13.00, 0.47, True","9.00, 0.40, True","10.00, 0.42, True","13.00, 0.38, True","9.00, 0.31, True","13.00, 0.38, True","11.00, 0.34, True","17.00, 0.43, True","16.00, 0.42, True","11.00, 0.34, True","17.00, 0.43, True","8.00, 0.29, True","11.00, 0.26, True","12.00, 0.28, True","11.00, 0.26, True","13.00, 0.30, True","13.00, 0.30, True","10.00, 0.25, True","14.00, 0.31, True","13.00, 0.30, True","13.00, 0.30, True","10.00, 0.25, True","12.00, 0.22, True","8.00, 0.15, True","13.00, 0.23, True","14.00, 0.24, True","8.00, 0.15, True","9.00, 0.12, True","15.00, 0.20, True","10.00, 0.14, True","13.00, 0.18, True","11.00, 0.11, True","12.00, 0.12, True","14.00, 0.14, True","10.00, 0.10, True","8.00, 0.08, True","9.00, 0.06, True","4.00, 0.02, True","7.00, 0.04, True","11.00, 0.08, True","9.00, 0.06, True","9.00, 0.03, True","12.00, 0.02, True","8.00, 0.00, True",A
template_34,"9.00, 0.66, False","8.00, 1.00, False","9.00, 1.00, False",None,"9.00, 1.00, True","9.00, 0.82, True","15.00, 0.86, True","9.00, 0.82, True","15.00, 0.86, True","12.00, 0.70, True","15.00, 0.61, True","12.00, 0.57, True","13.00, 0.58, True","8.00, 0.50, True","9.00, 0.52, True","12.00, 0.46, True","9.00, 0.40, True","13.00, 0.47, True","10.00, 0.42, True","16.00, 0.51, True","16.00, 0.51, True","8.00, 0.38, True","15.00, 0.50, True","6.00, 0.33, True","10.00, 0.33, True","14.00, 0.39, True","10.00, 0.33, True","12.00, 0.36, True","9.00, 0.31, True","9.00, 0.31, True","12.00, 0.36, True","14.00, 0.39, True","13.00, 0.38, True","11.00, 0.34, True","13.00, 0.30, True","8.00, 0.21, True","10.00, 0.25, True","15.00, 0.32, True","11.00, 0.26, True","9.00, 0.17, True","13.00, 0.23, True","9.00, 0.17, True","15.00, 0.26, True","11.00, 0.15, True","9.00, 0.12, True","15.00, 0.20, True","11.00, 0.15, True","9.00, 0.12, True","8.00, 0.08, True","4.00, 0.03, True","10.00, 0.10, True","11.00, 0.11, True","6.00, 0.05, True","8.00, 0.04, True","11.00, 0.03, True","8.00, 0.00, True",A
template_40,"12.00, 0.57, False","11.00, 0.84, False","10.00, 0.83, False","9.00, 1.00, False",None,"11.00, 1.00, True","15.00, 1.00, True","12.00, 1.00, True","14.00, 1.00, True","13.00, 0.85, True","15.00, 0.73, True","13.00, 0.71, True","13.00, 0.71, True","11.00, 0.69, True","10.00, 0.68, True","14.00, 0.60, True","11.00, 0.56, True","14.00, 0.60, True","10.00, 0.54, True","18.00, 0.64, True","15.00, 0.61, True","11.00, 0.56, True","17.00, 0.63, True","10.00, 0.54, True","13.00, 0.47, True","12.00, 0.46, True","12.00, 0.46, True","11.00, 0.44, True","11.00, 0.44, True","11.00, 0.44, True","11.00, 0.44, True","13.00, 0.47, True","14.00, 0.49, True","14.00, 0.49, True","15.00, 0.41, True","9.00, 0.31, True","9.00, 0.31, True","16.00, 0.42, True","9.00, 0.31, True","12.00, 0.28, True","15.00, 0.32, True","11.00, 0.26, True","13.00, 0.30, True","14.00, 0.24, True","12.00, 0.22, True","15.00, 0.26, True","12.00, 0.22, True","9.00, 0.17, True","11.00, 0.15, True","9.00, 0.12, True","9.00, 0.12, True","10.00, 0.14, True","12.00, 0.16, True","11.00, 0.08, True","13.00, 0.05, True","8.00, 0.01, True",A
template_6,"6.00, 0.33, False","11.00, 0.69, False","10.00, 0.68, False","9.00, 0.82, False","11.00, 1.00, False",None,"16.00, 1.00, None","9.00, 1.00, None","15.00, 1.00, None","9.00, 1.00, True","15.00, 0.86, True","13.00, 0.85, True","12.00, 0.85, True","12.00, 0.85, True","10.00, 0.83, True","13.00, 0.71, True","10.00, 0.68, True","16.00, 0.74, True","10.00, 0.68, True","15.00, 0.73, True","13.00, 0.71, True","9.00, 0.66, True","15.00, 0.73, True","10.00, 0.68, True","5.00, 0.42, True","12.00, 0.57, True","12.00, 0.57, True","14.00, 0.60, True","11.00, 0.56, True","9.00, 0.52, True","13.00, 0.58, True","13.00, 0.58, True","11.00, 0.56, True","9.00, 0.52, True","11.00, 0.44, True","10.00, 0.42, True","12.00, 0.46, True","16.00, 0.51, True","11.00, 0.44, True","7.00, 0.26, True","12.00, 0.36, True","4.00, 0.18, True","12.00, 0.36, True","15.00, 0.32, True","12.00, 0.28, True","15.00, 0.32, True","12.00, 0.28, True","11.00, 0.26, True","7.00, 0.13, True","5.00, 0.10, True","13.00, 0.23, True","10.00, 0.18, True","6.00, 0.12, True","12.00, 0.12, True","11.00, 0.06, True","8.00, 0.01, True",A
template_45,"11.00, 0.44, False","10.00, 0.68, False","16.00, 0.74, False","15.00, 0.86, False","15.00, 1.00, False","16.00, 1.00, True",None,"15.00, 1.00, None","12.00, 1.00, None","11.00, 1.00, True","12.00, 0.85, True","11.00, 0.84, True","7.00, 0.80, True","17.00, 0.87, True","9.00, 0.82, True","12.00, 0.70, True","14.00, 0.72, True","15.00, 0.73, True","12.00, 0.70, True","12.00, 0.70, True","10.00, 0.68, True","12.00, 0.70, True","13.00, 0.71, True","15.00, 0.73, True","13.00, 0.58, True","11.00, 0.56, True","11.00, 0.56, True","12.00, 0.57, True","13.00, 0.58, True","14.00, 0.60, True","11.00, 0.56, True","11.00, 0.56, True","11.00, 0.56, True","10.00, 0.54, True","14.00, 0.49, True","10.00, 0.42, True","12.00, 0.46, True","15.00, 0.50, True","14.00, 0.49, True","12.00, 0.36, True","12.00, 0.36, True","16.00, 0.42, True","8.00, 0.29, True","10.00, 0.25, True","11.00, 0.26, True","7.00, 0.19, True","11.00, 0.26, True","13.00, 0.30, True","11.00, 0.20, True","13.00, 0.23, True","12.00, 0.22, True","7.00, 0.13, True","12.00, 0.22, True","11.00, 0.11, True","10.00, 0.05, True","8.00, 0.01, True",A
template_20,"8.00, 0.38, False","10.00, 0.68, False","9.00, 0.66, False","9.00, 0.82, False","12.00, 1.00, False","9.00, 1.00, True","15.00, 1.00, True",None,"14.00, 1.00, None","8.00, 1.00, True","14.00, 0.86, True","13.00, 0.85, True","13.00, 0.85, True","14.00, 0.86, True","10.00, 0.83, True","13.00, 0.71, True","7.00, 0.63, True","16.00, 0.74, True","8.00, 0.65, True","17.00, 0.74, True","16.00, 0.74, True","7.00, 0.63, True","17.00, 0.74, True","10.00, 0.68, True","10.00, 0.54, True","15.00, 0.61, True","9.00, 0.52, True","14.00, 0.60, True","15.00, 0.61, True","7.00, 0.48, True","13.00, 0.58, True","14.00, 0.60, True","14.00, 0.60, True","8.00, 0.50, True","15.00, 0.50, True","6.00, 0.33, True","11.00, 0.44, True","17.00, 0.52, True","11.00, 0.44, True","9.00, 0.31, True","15.00, 0.41, True","7.00, 0.26, True","14.00, 0.39, True","12.00, 0.28, True","11.00, 0.26, True","15.00, 0.32, True","13.00, 0.30, True","11.00, 0.26, True","7.00, 0.13, True","4.00, 0.08, True","10.00, 0.18, True","11.00, 0.20, True","9.00, 0.17, True","12.00, 0.12, True","12.00, 0.07, True","11.00, 0.02, True",A
template_47,"13.00, 0.47, False","14.00, 0.72, False","15.00, 0.73, False","15.00, 0.86, False","14.00, 1.00, False","15.00, 1.00, True","12.00, 1.00, True","14.00, 1.00, True",None,"13.00, 1.00, True","16.00, 0.86, True","9.00, 0.82, True","13.00, 0.85, True","15.00, 0.86, True","10.00, 0.83, True","9.00, 0.66, True","13.00, 0.71, True","15.00, 0.73, True","11.00, 0.69, True","11.00, 0.69, True","7.00, 0.63, True","12.00, 0.70, True","14.00, 0.72, True","12.00, 0.70, True","16.00, 0.62, True","10.00, 0.54, True","7.00, 0.48, True","14.00, 0.60, True","14.00, 0.60, True","14.00, 0.60, True","9.00, 0.52, True","12.00, 0.57, True","12.00, 0.57, True","12.00, 0.57, True","10.00, 0.42, True","11.00, 0.44, True","11.00, 0.44, True","14.00, 0.49, True","14.00, 0.49, True","14.00, 0.39, True","14.00, 0.39, True","11.00, 0.34, True","11.00, 0.34, True","9.00, 0.23, True","12.00, 0.28, True","6.00, 0.17, True","6.00, 0.17, True","11.00, 0.26, True","11.00, 0.20, True","8.00, 0.15, True","10.00, 0.18, True","8.00, 0.15, True","13.00, 0.23, True","12.00, 0.12, True","10.00, 0.05, True","5.00, 0.00, True",A
template_2,"7.00, 0.26, False","8.00, 0.50, False","12.00, 0.57, False","12.00, 0.70, False","13.00, 0.85, False","9.00, 1.00, False","11.00, 1.00, False","8.00, 1.00, False","13.00, 1.00, False",None,"15.00, 1.00, True","13.00, 1.00, True","11.00, 1.00, True","16.00, 1.00, True","9.00, 1.00, True","13.00, 0.85, True","8.00, 0.81, True","15.00, 0.86, True","9.00, 0.82, True","16.00, 0.86, True","15.00, 0.86, True","10.00, 0.83, True","17.00, 0.87, True","11.00, 0.84, True","10.00, 0.68, True","13.00, 0.71, True","10.00, 0.68, True","12.00, 0.70, True","14.00, 0.72, True","8.00, 0.65, True","11.00, 0.69, True","13.00, 0.71, True","15.00, 0.73, True","3.00, 0.51, True","17.00, 0.63, True","9.00, 0.52, True","11.00, 0.56, True","17.00, 0.63, True","13.00, 0.58, True","12.00, 0.46, True","15.00, 0.50, True","9.00, 0.40, True","11.00, 0.44, True","12.00, 0.36, True","9.00, 0.31, True","12.00, 0.36, True","13.00, 0.38, True","12.00, 0.36, True","7.00, 0.19, True","7.00, 0.19, True","12.00, 0.28, True","12.00, 0.28, True","9.00, 0.23, True","12.00, 0.16, True","10.00, 0.07, True","9.00, 0.02, True",A
