,Run,Model,Groups,Adapter method,Subject / Task
0,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=01-ai_yi-34b",01-ai/yi-34b,openbookqa,multiple_choice_joint,-
1,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=01-ai_yi-6b",01-ai/yi-6b,openbookqa,multiple_choice_joint,-
2,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,openbookqa,multiple_choice_joint,-
3,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,openbookqa,multiple_choice_joint,-
4,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,openbookqa,multiple_choice_joint,-
5,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=ai21_j2-grande",ai21/j2-grande,openbookqa,multiple_choice_joint,-
6,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=ai21_j2-jumbo",ai21/j2-jumbo,openbookqa,multiple_choice_joint,-
7,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=anthropic_claude-2.0",anthropic/claude-2.0,openbookqa,multiple_choice_joint,-
8,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=anthropic_claude-2.1",anthropic/claude-2.1,openbookqa,multiple_choice_joint,-
9,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,openbookqa,multiple_choice_joint,-
10,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=anthropic_claude-v1.3",anthropic/claude-v1.3,openbookqa,multiple_choice_joint,-
11,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=cohere_command",cohere/command,openbookqa,multiple_choice_joint,-
12,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=cohere_command-light",cohere/command-light,openbookqa,multiple_choice_joint,-
13,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=google_text-bison@001",google/text-bison@001,openbookqa,multiple_choice_joint,-
14,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=google_text-unicorn@001",google/text-unicorn@001,openbookqa,multiple_choice_joint,-
15,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=meta_llama-2-13b",meta/llama-2-13b,openbookqa,multiple_choice_joint,-
16,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=meta_llama-2-70b",meta/llama-2-70b,openbookqa,multiple_choice_joint,-
17,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=meta_llama-2-7b",meta/llama-2-7b,openbookqa,multiple_choice_joint,-
18,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=meta_llama-65b",meta/llama-65b,openbookqa,multiple_choice_joint,-
19,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,openbookqa,multiple_choice_joint,-
20,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,openbookqa,multiple_choice_joint,-
21,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,openbookqa,multiple_choice_joint,-
22,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=openai_gpt-4-0613",openai/gpt-4-0613,openbookqa,multiple_choice_joint,-
23,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,openbookqa,multiple_choice_joint,-
24,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=openai_text-davinci-002",openai/text-davinci-002,openbookqa,multiple_choice_joint,-
25,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=openai_text-davinci-003",openai/text-davinci-003,openbookqa,multiple_choice_joint,-
26,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=tiiuae_falcon-40b",tiiuae/falcon-40b,openbookqa,multiple_choice_joint,-
27,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=tiiuae_falcon-7b",tiiuae/falcon-7b,openbookqa,multiple_choice_joint,-
28,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=writer_palmyra-x-v2",writer/palmyra-x-v2,openbookqa,multiple_choice_joint,-
29,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=writer_palmyra-x-v3",writer/palmyra-x-v3,openbookqa,multiple_choice_joint,-
30,gsm:model=01-ai_yi-34b,01-ai/yi-34b,gsm,generation,-
31,gsm:model=01-ai_yi-6b,01-ai/yi-6b,gsm,generation,-
32,gsm:model=AlephAlpha_luminous-base,AlephAlpha/luminous-base,gsm,generation,-
33,gsm:model=AlephAlpha_luminous-extended,AlephAlpha/luminous-extended,gsm,generation,-
34,gsm:model=AlephAlpha_luminous-supreme,AlephAlpha/luminous-supreme,gsm,generation,-
35,gsm:model=ai21_j2-grande,ai21/j2-grande,gsm,generation,-
36,gsm:model=ai21_j2-jumbo,ai21/j2-jumbo,gsm,generation,-
37,gsm:model=anthropic_claude-2.0,anthropic/claude-2.0,gsm,generation,-
38,gsm:model=anthropic_claude-2.1,anthropic/claude-2.1,gsm,generation,-
39,gsm:model=anthropic_claude-instant-1.2,anthropic/claude-instant-1.2,gsm,generation,-
40,gsm:model=anthropic_claude-v1.3,anthropic/claude-v1.3,gsm,generation,-
41,gsm:model=cohere_command,cohere/command,gsm,generation,-
42,gsm:model=cohere_command-light,cohere/command-light,gsm,generation,-
43,gsm:model=google_text-bison@001,google/text-bison@001,gsm,generation,-
44,gsm:model=google_text-unicorn@001,google/text-unicorn@001,gsm,generation,-
45,gsm:model=meta_llama-2-13b,meta/llama-2-13b,gsm,generation,-
46,gsm:model=meta_llama-2-70b,meta/llama-2-70b,gsm,generation,-
47,gsm:model=meta_llama-2-7b,meta/llama-2-7b,gsm,generation,-
48,gsm:model=meta_llama-65b,meta/llama-65b,gsm,generation,-
49,gsm:model=mistralai_mistral-7b-v0.1,mistralai/mistral-7b-v0.1,gsm,generation,-
50,gsm:model=mistralai_mixtral-8x7b-32kseqlen,mistralai/mixtral-8x7b-32kseqlen,gsm,generation,-
51,gsm:model=openai_gpt-3.5-turbo-0613,openai/gpt-3.5-turbo-0613,gsm,generation,-
52,gsm:model=openai_gpt-4-0613,openai/gpt-4-0613,gsm,generation,-
53,gsm:model=openai_gpt-4-1106-preview,openai/gpt-4-1106-preview,gsm,generation,-
54,gsm:model=openai_text-davinci-002,openai/text-davinci-002,gsm,generation,-
55,gsm:model=openai_text-davinci-003,openai/text-davinci-003,gsm,generation,-
56,gsm:model=tiiuae_falcon-40b,tiiuae/falcon-40b,gsm,generation,-
57,gsm:model=tiiuae_falcon-7b,tiiuae/falcon-7b,gsm,generation,-
58,gsm:model=writer_palmyra-x-v2,writer/palmyra-x-v2,gsm,generation,-
59,gsm:model=writer_palmyra-x-v3,writer/palmyra-x-v3,gsm,generation,-
60,"legalbench:subset=abercrombie,model=01-ai_yi-34b",01-ai/yi-34b,legalbench,generation,-
61,"legalbench:subset=abercrombie,model=01-ai_yi-6b",01-ai/yi-6b,legalbench,generation,-
62,"legalbench:subset=abercrombie,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,legalbench,generation,-
63,"legalbench:subset=abercrombie,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,legalbench,generation,-
64,"legalbench:subset=abercrombie,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,legalbench,generation,-
65,"legalbench:subset=abercrombie,model=ai21_j2-grande",ai21/j2-grande,legalbench,generation,-
66,"legalbench:subset=abercrombie,model=ai21_j2-jumbo",ai21/j2-jumbo,legalbench,generation,-
67,"legalbench:subset=abercrombie,model=anthropic_claude-2.0",anthropic/claude-2.0,legalbench,generation,-
68,"legalbench:subset=abercrombie,model=anthropic_claude-2.1",anthropic/claude-2.1,legalbench,generation,-
69,"legalbench:subset=abercrombie,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,legalbench,generation,-
70,"legalbench:subset=abercrombie,model=anthropic_claude-v1.3",anthropic/claude-v1.3,legalbench,generation,-
71,"legalbench:subset=abercrombie,model=cohere_command",cohere/command,legalbench,generation,-
72,"legalbench:subset=abercrombie,model=cohere_command-light",cohere/command-light,legalbench,generation,-
73,"legalbench:subset=abercrombie,model=google_text-bison@001",google/text-bison@001,legalbench,generation,-
74,"legalbench:subset=abercrombie,model=google_text-unicorn@001",google/text-unicorn@001,legalbench,generation,-
75,"legalbench:subset=abercrombie,model=meta_llama-2-13b",meta/llama-2-13b,legalbench,generation,-
76,"legalbench:subset=abercrombie,model=meta_llama-2-70b",meta/llama-2-70b,legalbench,generation,-
77,"legalbench:subset=abercrombie,model=meta_llama-2-7b",meta/llama-2-7b,legalbench,generation,-
78,"legalbench:subset=abercrombie,model=meta_llama-65b",meta/llama-65b,legalbench,generation,-
79,"legalbench:subset=abercrombie,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,legalbench,generation,-
80,"legalbench:subset=abercrombie,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,legalbench,generation,-
81,"legalbench:subset=abercrombie,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,legalbench,generation,-
82,"legalbench:subset=abercrombie,model=openai_gpt-4-0613",openai/gpt-4-0613,legalbench,generation,-
83,"legalbench:subset=abercrombie,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,legalbench,generation,-
84,"legalbench:subset=abercrombie,model=openai_text-davinci-002",openai/text-davinci-002,legalbench,generation,-
85,"legalbench:subset=abercrombie,model=openai_text-davinci-003",openai/text-davinci-003,legalbench,generation,-
86,"legalbench:subset=abercrombie,model=tiiuae_falcon-40b",tiiuae/falcon-40b,legalbench,generation,-
87,"legalbench:subset=abercrombie,model=tiiuae_falcon-7b",tiiuae/falcon-7b,legalbench,generation,-
88,"legalbench:subset=abercrombie,model=writer_palmyra-x-v2",writer/palmyra-x-v2,legalbench,generation,-
89,"legalbench:subset=abercrombie,model=writer_palmyra-x-v3",writer/palmyra-x-v3,legalbench,generation,-
90,"legalbench:subset=corporate_lobbying,model=01-ai_yi-34b",01-ai/yi-34b,legalbench,generation,-
91,"legalbench:subset=corporate_lobbying,model=01-ai_yi-6b",01-ai/yi-6b,legalbench,generation,-
92,"legalbench:subset=corporate_lobbying,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,legalbench,generation,-
93,"legalbench:subset=corporate_lobbying,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,legalbench,generation,-
94,"legalbench:subset=corporate_lobbying,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,legalbench,generation,-
95,"legalbench:subset=corporate_lobbying,model=ai21_j2-grande",ai21/j2-grande,legalbench,generation,-
96,"legalbench:subset=corporate_lobbying,model=ai21_j2-jumbo",ai21/j2-jumbo,legalbench,generation,-
97,"legalbench:subset=corporate_lobbying,model=anthropic_claude-2.0",anthropic/claude-2.0,legalbench,generation,-
98,"legalbench:subset=corporate_lobbying,model=anthropic_claude-2.1",anthropic/claude-2.1,legalbench,generation,-
99,"legalbench:subset=corporate_lobbying,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,legalbench,generation,-
100,"legalbench:subset=corporate_lobbying,model=anthropic_claude-v1.3",anthropic/claude-v1.3,legalbench,generation,-
