template_name,card,system_format,num_demos,demos_pool_size,max_instances,accuracy,score,score_name,accuracy_ci_low,accuracy_ci_high,score_ci_low,score_ci_high,groups_mean_score,number_of_instances
template_0,cards.race_all,formats.empty,1,10,100,0.516,0.516,accuracy,0.406,0.652,0.406,0.652,0.516,64
template_1,cards.race_all,formats.empty,1,10,100,0.578,0.578,accuracy,0.453,0.703,0.453,0.703,0.578,64
template_2,cards.race_all,formats.empty,1,10,100,0.656,0.656,accuracy,0.516,0.766,0.516,0.766,0.656,64
template_3,cards.race_all,formats.empty,1,10,100,0.677,0.677,accuracy,0.554,0.785,0.554,0.785,0.677,65
template_4,cards.race_all,formats.empty,1,10,100,0.611,0.611,accuracy,0.389,0.833,0.389,0.833,0.611,18
template_5,cards.race_all,formats.empty,1,10,100,0.219,0.219,accuracy,0.125,0.344,0.125,0.344,0.219,64
template_6,cards.race_all,formats.empty,1,10,100,0.635,0.635,accuracy,0.508,0.746,0.508,0.746,0.635,63
template_7,cards.race_all,formats.empty,1,10,100,0.508,0.508,accuracy,0.385,0.615,0.385,0.615,0.508,65
template_8,cards.race_all,formats.empty,1,10,100,0.619,0.619,accuracy,0.492,0.73,0.492,0.73,0.619,63
template_9,cards.race_all,formats.empty,1,10,100,0.672,0.672,accuracy,0.547,0.797,0.547,0.797,0.672,64
template_10,cards.race_all,formats.empty,1,10,100,0.651,0.651,accuracy,0.524,0.762,0.524,0.762,0.651,63
template_11,cards.race_all,formats.empty,1,10,100,0.605,0.605,accuracy,0.447,0.737,0.447,0.737,0.605,38
template_12,cards.race_all,formats.empty,1,10,100,0.297,0.297,accuracy,0.162,0.459,0.162,0.459,0.297,37
template_13,cards.race_all,formats.empty,1,10,100,0.172,0.172,accuracy,0.069,0.379,0.069,0.379,0.172,29
template_14,cards.race_all,formats.empty,1,10,100,0.364,0.364,accuracy,0.182,0.591,0.182,0.591,0.364,22
template_15,cards.race_all,formats.empty,1,10,100,0.1,0.1,accuracy,0.0,0.4,0.0,0.4,0.1,10
template_16,cards.race_all,formats.empty,1,10,100,0.429,0.429,accuracy,0.143,0.857,0.143,0.857,0.429,7
template_17,cards.race_all,formats.empty,1,10,100,0.333,0.333,accuracy,0.0,0.833,0.0,0.833,0.333,6
