,number of occurrences
Cultural Principles,75
Social Conventions,48
Safety and Survival,33
Nutritional and Food,30
Object Counting and Placement,27
Health,24
Animal Behavior,20
Traffic,20
Geographic Knowledge,18
Engineering and Architectural Features,15
Weather and Environmental Conditions,12
Religion Principles,12
Temporal Principles,10
Physical Principles,10
Biological Principles,9
Education and Study,9
"Law, Order and Crime",8
Office and Equipment Troubleshooting,6
Historical Contexts,4
Game Strategy,4
Sport,3
