"statistic, pvalue, row is better than column",template_16,best set: template_6,template_20,template_30,template_2,template_4,template_18,template_8,template_31,template_34,template_29,template_17,template_48,template_36,template_28,template_22,template_19,template_51,template_21,template_32,template_45,template_38,template_12,template_40,template_44,template_0,template_49,template_35,template_53,template_39,template_50,template_10,template_41,template_24,template_13,template_33,template_7,template_47,template_9,template_46,template_3,template_52,template_43,template_25,template_23,template_37,template_55,template_5,template_54,template_1,template_27,template_11,template_15,template_14,template_26,template_42,group,accuracy
template_16,None,"44.00, 1.00, None","37.00, 0.58, True","48.00, 0.49, True","16.00, 0.21, True","37.00, 0.33, True","34.00, 0.26, True","27.00, 0.18, True","61.00, 0.34, True","49.00, 0.25, True","63.00, 0.31, True","54.00, 0.24, True","38.00, 0.17, True","53.00, 0.20, True","51.00, 0.20, True","31.00, 0.11, True","51.00, 0.17, True","57.00, 0.14, True","55.00, 0.13, True","48.00, 0.11, True","56.00, 0.12, True","45.00, 0.07, True","34.00, 0.04, True","48.00, 0.08, True","30.00, 0.03, True","34.00, 0.03, True","54.00, 0.07, True","55.00, 0.07, True","54.00, 0.05, True","54.00, 0.05, True","34.00, 0.02, True","32.00, 0.01, True","60.00, 0.05, True","34.00, 0.02, True","53.00, 0.04, True","55.00, 0.04, True","53.00, 0.04, True","53.00, 0.04, True","53.00, 0.03, True","32.00, 0.01, True","54.00, 0.03, True","39.00, 0.01, True","51.00, 0.02, True","45.00, 0.02, True","51.00, 0.02, True","50.00, 0.01, True","54.00, 0.02, True","50.00, 0.01, True","34.00, 0.00, True","50.00, 0.01, True","46.00, 0.01, True","44.00, 0.00, True","49.00, 0.00, True","34.00, 0.00, True","27.00, 0.00, True","36.00, 0.00, True",A,0.392
template_6,"44.00, 1.00, True",None,"33.00, 0.56, True","42.00, 0.47, True","34.00, 0.36, True","11.00, 0.11, True","27.00, 0.21, True","18.00, 0.11, True","53.00, 0.31, True","36.00, 0.19, True","50.00, 0.26, True","60.00, 0.26, True","44.00, 0.20, True","43.00, 0.16, True","43.00, 0.16, True","31.00, 0.11, True","48.00, 0.16, True","57.00, 0.14, True","52.00, 0.12, True","36.00, 0.07, True","61.00, 0.13, True","32.00, 0.04, True","14.00, 0.01, True","38.00, 0.05, True","40.00, 0.05, True","23.00, 0.01, True","52.00, 0.06, True","48.00, 0.05, True","51.00, 0.05, True","48.00, 0.04, True","38.00, 0.02, True","20.00, 0.00, True","48.00, 0.04, True","28.00, 0.01, True","38.00, 0.02, True","44.00, 0.02, True","35.00, 0.01, True","51.00, 0.03, True","39.00, 0.01, True","36.00, 0.01, True","48.00, 0.02, True","38.00, 0.01, True","57.00, 0.03, True","46.00, 0.02, True","43.00, 0.01, True","44.00, 0.01, True","54.00, 0.02, True","38.00, 0.00, True","35.00, 0.00, True","39.00, 0.00, True","39.00, 0.00, True","34.00, 0.00, True","43.00, 0.00, True","24.00, 0.00, True","19.00, 0.00, True","38.00, 0.00, True",A,0.392
template_20,"37.00, 0.58, False","33.00, 0.56, False",None,"53.00, 0.92, True","43.00, 0.83, True","34.00, 0.72, True","22.00, 0.57, True","32.00, 0.55, True","61.00, 0.66, True","41.00, 0.53, True","52.00, 0.57, True","60.00, 0.54, True","46.00, 0.48, True","42.00, 0.41, True","45.00, 0.42, True","23.00, 0.28, True","44.00, 0.36, True","59.00, 0.33, True","48.00, 0.29, True","41.00, 0.26, True","63.00, 0.31, True","37.00, 0.17, True","33.00, 0.15, True","43.00, 0.19, True","47.00, 0.18, True","34.00, 0.10, True","54.00, 0.18, True","50.00, 0.16, True","57.00, 0.16, True","54.00, 0.15, True","41.00, 0.09, True","33.00, 0.06, True","52.00, 0.12, True","22.00, 0.03, True","52.00, 0.10, True","52.00, 0.10, True","48.00, 0.09, True","57.00, 0.12, True","53.00, 0.09, True","38.00, 0.05, True","57.00, 0.10, True","45.00, 0.06, True","56.00, 0.08, True","42.00, 0.05, True","42.00, 0.04, True","46.00, 0.04, True","56.00, 0.06, True","50.00, 0.03, True","38.00, 0.02, True","50.00, 0.03, True","39.00, 0.01, True","46.00, 0.02, True","38.00, 0.01, True","20.00, 0.00, True","18.00, 0.00, True","37.00, 0.00, True",A,0.376
template_30,"48.00, 0.49, False","42.00, 0.47, False","53.00, 0.92, False",None,"52.00, 1.00, True","46.00, 0.92, True","52.00, 0.85, True","48.00, 0.76, True","55.00, 0.78, True","46.00, 0.68, True","57.00, 0.71, True","61.00, 0.66, True","46.00, 0.61, True","48.00, 0.55, True","47.00, 0.55, True","53.00, 0.57, True","64.00, 0.55, True","61.00, 0.43, True","61.00, 0.43, True","44.00, 0.36, True","62.00, 0.39, True","40.00, 0.25, True","46.00, 0.28, True","46.00, 0.28, True","35.00, 0.19, True","47.00, 0.21, True","55.00, 0.24, True","52.00, 0.23, True","53.00, 0.20, True","53.00, 0.20, True","43.00, 0.14, True","42.00, 0.13, True","54.00, 0.18, True","49.00, 0.16, True","55.00, 0.16, True","50.00, 0.14, True","52.00, 0.15, True","54.00, 0.15, True","55.00, 0.13, True","44.00, 0.10, True","58.00, 0.14, True","44.00, 0.08, True","61.00, 0.13, True","59.00, 0.12, True","58.00, 0.10, True","47.00, 0.06, True","53.00, 0.08, True","54.00, 0.05, True","41.00, 0.03, True","50.00, 0.04, True","52.00, 0.04, True","46.00, 0.03, True","56.00, 0.04, True","43.00, 0.01, True","42.00, 0.01, True","42.00, 0.01, True",A,0.37
template_2,"16.00, 0.21, False","34.00, 0.36, False","43.00, 0.83, False","52.00, 1.00, False",None,"36.00, 1.00, True","42.00, 0.91, True","27.00, 0.79, True","69.00, 0.87, True","55.00, 0.78, True","72.00, 0.81, True","63.00, 0.73, True","41.00, 0.67, True","59.00, 0.65, True","59.00, 0.65, True","39.00, 0.59, True","62.00, 0.60, True","63.00, 0.49, True","64.00, 0.49, True","57.00, 0.47, True","65.00, 0.45, True","53.00, 0.36, True","35.00, 0.27, True","55.00, 0.36, True","29.00, 0.19, True","36.00, 0.19, True","60.00, 0.30, True","65.00, 0.32, True","61.00, 0.26, True","65.00, 0.28, True","35.00, 0.13, True","36.00, 0.13, True","68.00, 0.25, True","41.00, 0.15, True","57.00, 0.19, True","65.00, 0.21, True","56.00, 0.18, True","57.00, 0.19, True","56.00, 0.16, True","37.00, 0.09, True","50.00, 0.14, True","43.00, 0.10, True","61.00, 0.15, True","56.00, 0.14, True","61.00, 0.13, True","58.00, 0.10, True","62.00, 0.11, True","55.00, 0.07, True","39.00, 0.04, True","56.00, 0.06, True","53.00, 0.05, True","49.00, 0.05, True","61.00, 0.06, True","45.00, 0.02, True","35.00, 0.01, True","41.00, 0.01, True",A,0.368
template_4,"37.00, 0.33, False","11.00, 0.11, False","34.00, 0.72, False","46.00, 0.92, False","36.00, 1.00, False",None,"30.00, 1.00, True","20.00, 0.88, True","60.00, 0.93, True","41.00, 0.83, True","57.00, 0.85, True","67.00, 0.80, True","47.00, 0.76, True","41.00, 0.67, True","46.00, 0.68, True","32.00, 0.63, True","52.00, 0.63, True","63.00, 0.55, True","56.00, 0.52, True","40.00, 0.46, True","66.00, 0.50, True","36.00, 0.32, True","20.00, 0.20, True","43.00, 0.36, True","47.00, 0.33, True","28.00, 0.18, True","57.00, 0.33, True","51.00, 0.30, True","53.00, 0.27, True","52.00, 0.27, True","42.00, 0.19, True","22.00, 0.09, True","54.00, 0.24, True","30.00, 0.13, True","43.00, 0.16, True","48.00, 0.18, True","41.00, 0.15, True","55.00, 0.21, True","44.00, 0.14, True","33.00, 0.10, True","56.00, 0.18, True","42.00, 0.11, True","58.00, 0.17, True","51.00, 0.14, True","49.00, 0.11, True","46.00, 0.09, True","58.00, 0.12, True","42.00, 0.05, True","38.00, 0.04, True","41.00, 0.04, True","41.00, 0.04, True","36.00, 0.03, True","46.00, 0.04, True","27.00, 0.01, True","21.00, 0.00, True","43.00, 0.01, True",A,0.365
template_18,"34.00, 0.26, False","27.00, 0.21, False","22.00, 0.57, False","52.00, 0.85, False","42.00, 0.91, False","30.00, 1.00, False",None,"38.00, 1.00, True","62.00, 1.00, True","46.00, 0.92, True","56.00, 0.93, True","66.00, 0.86, True","49.00, 0.84, True","46.00, 0.76, True","48.00, 0.76, True","24.00, 0.68, True","51.00, 0.70, True","61.00, 0.60, True","53.00, 0.57, True","42.00, 0.53, True","66.00, 0.55, True","39.00, 0.39, True","32.00, 0.35, True","44.00, 0.42, True","49.00, 0.39, True","39.00, 0.29, True","58.00, 0.37, True","57.00, 0.37, True","55.00, 0.32, True","51.00, 0.30, True","40.00, 0.21, True","33.00, 0.18, True","59.00, 0.29, True","21.00, 0.10, True","53.00, 0.24, True","47.00, 0.21, True","50.00, 0.22, True","59.00, 0.26, True","54.00, 0.21, True","35.00, 0.13, True","59.00, 0.22, True","43.00, 0.14, True","60.00, 0.20, True","46.00, 0.15, True","47.00, 0.13, True","47.00, 0.11, True","57.00, 0.14, True","53.00, 0.09, True","38.00, 0.05, True","46.00, 0.06, True","42.00, 0.05, True","46.00, 0.06, True","43.00, 0.04, True","20.00, 0.00, True","17.00, 0.00, True","41.00, 0.02, True",A,0.362
template_8,"27.00, 0.18, False","18.00, 0.11, False","32.00, 0.55, False","48.00, 0.76, False","27.00, 0.79, False","20.00, 0.88, False","38.00, 1.00, False",None,"59.00, 1.00, None","43.00, 1.00, True","58.00, 1.00, True","63.00, 0.93, True","46.00, 0.92, True","47.00, 0.84, True","49.00, 0.84, True","30.00, 0.80, True","55.00, 0.78, True","62.00, 0.66, True","57.00, 0.65, True","46.00, 0.61, True","65.00, 0.61, True","40.00, 0.46, True","21.00, 0.32, True","46.00, 0.48, True","43.00, 0.41, True","19.00, 0.19, True","58.00, 0.42, True","53.00, 0.40, True","56.00, 0.37, True","52.00, 0.35, True","38.00, 0.24, True","19.00, 0.12, True","56.00, 0.32, True","31.00, 0.20, True","41.00, 0.22, True","49.00, 0.25, True","39.00, 0.21, True","55.00, 0.28, True","41.00, 0.18, True","38.00, 0.17, True","53.00, 0.24, True","40.00, 0.15, True","58.00, 0.22, True","46.00, 0.18, True","48.00, 0.16, True","48.00, 0.13, True","58.00, 0.17, True","41.00, 0.07, True","35.00, 0.06, True","42.00, 0.06, True","44.00, 0.07, True","33.00, 0.04, True","49.00, 0.07, True","33.00, 0.02, True","26.00, 0.01, True","39.00, 0.02, True",A,0.36
template_31,"61.00, 0.34, False","53.00, 0.31, False","61.00, 0.66, False","55.00, 0.78, False","69.00, 0.87, False","60.00, 0.93, False","62.00, 1.00, False","59.00, 1.00, True",None,"55.00, 1.00, True","39.00, 1.00, True","40.00, 0.91, True","63.00, 0.93, True","52.00, 0.85, True","54.00, 0.85, True","67.00, 0.86, True","47.00, 0.76, True","46.00, 0.61, True","46.00, 0.61, True","50.00, 0.63, True","40.00, 0.52, True","54.00, 0.52, True","54.00, 0.52, True","50.00, 0.50, True","66.00, 0.50, True","58.00, 0.42, True","41.00, 0.35, True","29.00, 0.27, True","45.00, 0.32, True","35.00, 0.27, True","62.00, 0.35, True","58.00, 0.33, True","35.00, 0.22, True","56.00, 0.32, True","44.00, 0.23, True","30.00, 0.16, True","34.00, 0.18, True","44.00, 0.23, True","42.00, 0.19, True","58.00, 0.25, True","37.00, 0.17, True","61.00, 0.23, True","45.00, 0.17, True","43.00, 0.16, True","41.00, 0.13, True","25.00, 0.05, True","43.00, 0.11, True","40.00, 0.07, True","51.00, 0.10, True","44.00, 0.07, True","41.00, 0.06, True","37.00, 0.05, True","46.00, 0.06, True","49.00, 0.05, True","49.00, 0.03, True","52.00, 0.03, True",A,0.36
template_34,"49.00, 0.25, False","36.00, 0.19, False","41.00, 0.53, False","46.00, 0.68, False","55.00, 0.78, False","41.00, 0.83, False","46.00, 0.92, False","43.00, 1.00, False","55.00, 1.00, False",None,"48.00, 1.00, None","65.00, 1.00, True","61.00, 1.00, True","29.00, 0.90, True","30.00, 0.90, True","49.00, 0.92, True","57.00, 0.85, True","69.00, 0.74, True","54.00, 0.71, True","19.00, 0.54, True","72.00, 0.68, True","31.00, 0.47, True","40.00, 0.52, True","29.00, 0.46, True","60.00, 0.54, True","40.00, 0.40, True","67.00, 0.50, True","43.00, 0.41, True","66.00, 0.45, True","44.00, 0.36, True","52.00, 0.35, True","39.00, 0.29, True","43.00, 0.31, True","37.00, 0.28, True","48.00, 0.29, True","40.00, 0.25, True","46.00, 0.28, True","65.00, 0.36, True","51.00, 0.26, True","52.00, 0.27, True","62.00, 0.31, True","54.00, 0.24, True","63.00, 0.27, True","50.00, 0.22, True","48.00, 0.18, True","40.00, 0.13, True","61.00, 0.20, True","44.00, 0.10, True","48.00, 0.11, True","48.00, 0.09, True","45.00, 0.08, True","49.00, 0.10, True","47.00, 0.07, True","36.00, 0.03, True","33.00, 0.01, True","51.00, 0.04, True",A,0.357
