"statistic, pvalue, row is better than column",best set: template_16,template_30,template_2,template_4,template_6,template_12,template_10,template_24,template_3,template_38,template_44,template_50,template_8,template_46,template_17,template_5,template_47,template_13,template_7,template_26,template_31,template_49,template_9,template_48,template_11,template_39,template_55,template_25,template_41,template_36,template_32,template_45,template_1,template_0,template_22,template_27,template_33,template_18,template_19,template_37,template_42,template_40,template_43,template_35,template_21,template_34,template_29,template_23,template_28,template_14,template_20,template_15,group,accuracy
template_16,None,"30.00, 0.40, True","18.00, 0.29, True","33.00, 0.25, True","29.00, 0.12, True","36.00, 0.13, True","30.00, 0.07, True","30.00, 0.05, True","55.00, 0.11, True","39.00, 0.04, True","31.00, 0.02, True","36.00, 0.02, True","25.00, 0.01, True","43.00, 0.02, True","45.00, 0.02, True","49.00, 0.02, True","55.00, 0.02, True","49.00, 0.01, True","50.00, 0.01, True","34.00, 0.00, True","42.00, 0.00, True","55.00, 0.00, True","51.00, 0.00, True","39.00, 0.00, True","46.00, 0.00, True","52.00, 0.00, True","48.00, 0.00, True","45.00, 0.00, True","54.00, 0.00, True","35.00, 0.00, True","39.00, 0.00, True","40.00, 0.00, True","49.00, 0.00, True","39.00, 0.00, True","22.00, 0.00, True","45.00, 0.00, True","59.00, 0.00, True","30.00, 0.00, True","46.00, 0.00, True","53.00, 0.00, True","46.00, 0.00, True","30.00, 0.00, True","53.00, 0.00, True","55.00, 0.00, True","46.00, 0.00, True","40.00, 0.00, True","50.00, 0.00, True","42.00, 0.00, True","36.00, 0.00, True","39.00, 0.00, True","26.00, 0.00, True","38.00, 0.00, True",A,0.778
template_30,"30.00, 0.40, False",None,"34.00, 1.00, None","36.00, 0.82, True","35.00, 0.57, True","38.00, 0.51, True","38.00, 0.39, True","43.00, 0.36, True","65.00, 0.40, True","33.00, 0.18, True","29.00, 0.12, True","37.00, 0.11, True","35.00, 0.09, True","40.00, 0.10, True","57.00, 0.16, True","57.00, 0.10, True","67.00, 0.11, True","54.00, 0.07, True","63.00, 0.08, True","40.00, 0.01, True","47.00, 0.02, True","67.00, 0.04, True","62.00, 0.03, True","35.00, 0.01, True","51.00, 0.01, True","56.00, 0.01, True","57.00, 0.02, True","52.00, 0.00, True","57.00, 0.00, True","33.00, 0.00, True","34.00, 0.00, True","47.00, 0.00, True","49.00, 0.00, True","35.00, 0.00, True","34.00, 0.00, True","52.00, 0.00, True","62.00, 0.00, True","36.00, 0.00, True","54.00, 0.00, True","64.00, 0.00, True","44.00, 0.00, True","25.00, 0.00, True","58.00, 0.00, True","62.00, 0.00, True","60.00, 0.00, True","32.00, 0.00, True","52.00, 0.00, True","56.00, 0.00, True","27.00, 0.00, True","38.00, 0.00, True","30.00, 0.00, True","42.00, 0.00, True",A,0.768
template_2,"18.00, 0.29, False","34.00, 1.00, True",None,"33.00, 0.81, True","29.00, 0.53, True","39.00, 0.52, True","30.00, 0.34, True","37.00, 0.33, True","59.00, 0.38, True","40.00, 0.21, True","35.00, 0.16, True","38.00, 0.12, True","26.00, 0.05, True","45.00, 0.12, True","53.00, 0.15, True","55.00, 0.10, True","66.00, 0.11, True","53.00, 0.06, True","58.00, 0.07, True","44.00, 0.01, True","50.00, 0.02, True","65.00, 0.04, True","56.00, 0.02, True","43.00, 0.01, True","49.00, 0.01, True","58.00, 0.02, True","57.00, 0.02, True","53.00, 0.00, True","58.00, 0.00, True","38.00, 0.00, True","45.00, 0.00, True","48.00, 0.00, True","52.00, 0.00, True","36.00, 0.00, True","32.00, 0.00, True","51.00, 0.00, True","63.00, 0.00, True","37.00, 0.00, True","53.00, 0.00, True","63.00, 0.00, True","45.00, 0.00, True","32.00, 0.00, True","57.00, 0.00, True","63.00, 0.00, True","55.00, 0.00, True","45.00, 0.00, True","56.00, 0.00, True","52.00, 0.00, True","41.00, 0.00, True","40.00, 0.00, True","32.00, 0.00, True","43.00, 0.00, True",A,0.768
template_4,"33.00, 0.25, False","36.00, 0.82, False","33.00, 0.81, False",None,"16.00, 0.74, True","32.00, 0.72, True","33.00, 0.56, True","37.00, 0.51, True","68.00, 0.56, True","37.00, 0.33, True","37.00, 0.28, True","36.00, 0.19, True","23.00, 0.09, True","37.00, 0.17, True","59.00, 0.26, True","51.00, 0.14, True","64.00, 0.16, True","55.00, 0.11, True","56.00, 0.12, True","36.00, 0.02, True","56.00, 0.05, True","65.00, 0.06, True","61.00, 0.05, True","36.00, 0.01, True","55.00, 0.03, True","64.00, 0.04, True","55.00, 0.03, True","56.00, 0.01, True","57.00, 0.01, True","35.00, 0.00, True","34.00, 0.00, True","52.00, 0.00, True","53.00, 0.00, True","28.00, 0.00, True","30.00, 0.00, True","53.00, 0.00, True","63.00, 0.00, True","25.00, 0.00, True","53.00, 0.00, True","67.00, 0.00, True","38.00, 0.00, True","33.00, 0.00, True","58.00, 0.00, True","65.00, 0.00, True","56.00, 0.00, True","34.00, 0.00, True","57.00, 0.00, True","55.00, 0.00, True","35.00, 0.00, True","28.00, 0.00, True","25.00, 0.00, True","44.00, 0.00, True",A,0.764
template_6,"29.00, 0.12, False","35.00, 0.57, False","29.00, 0.53, False","16.00, 0.74, False",None,"33.00, 1.00, True","35.00, 0.82, True","39.00, 0.74, True","70.00, 0.74, True","41.00, 0.53, True","39.00, 0.45, True","39.00, 0.34, True","23.00, 0.18, True","39.00, 0.29, True","63.00, 0.39, True","55.00, 0.24, True","66.00, 0.25, True","55.00, 0.18, True","56.00, 0.18, True","37.00, 0.04, True","58.00, 0.09, True","68.00, 0.11, True","61.00, 0.08, True","33.00, 0.02, True","57.00, 0.06, True","63.00, 0.06, True","60.00, 0.05, True","56.00, 0.01, True","63.00, 0.01, True","37.00, 0.00, True","36.00, 0.00, True","55.00, 0.00, True","56.00, 0.00, True","34.00, 0.00, True","27.00, 0.00, True","51.00, 0.00, True","64.00, 0.00, True","28.00, 0.00, True","53.00, 0.00, True","63.00, 0.00, True","42.00, 0.00, True","37.00, 0.00, True","62.00, 0.00, True","62.00, 0.00, True","55.00, 0.00, True","32.00, 0.00, True","56.00, 0.00, True","53.00, 0.00, True","29.00, 0.00, True","30.00, 0.00, True","19.00, 0.00, True","44.00, 0.00, True",A,0.76
template_12,"36.00, 0.13, False","38.00, 0.51, False","39.00, 0.52, False","32.00, 0.72, False","33.00, 1.00, False",None,"23.00, 0.89, True","33.00, 0.81, True","72.00, 0.81, True","43.00, 0.60, True","45.00, 0.54, True","40.00, 0.40, True","27.00, 0.26, True","47.00, 0.38, True","64.00, 0.44, True","60.00, 0.30, True","70.00, 0.29, True","57.00, 0.22, True","64.00, 0.24, True","26.00, 0.02, True","61.00, 0.11, True","73.00, 0.14, True","60.00, 0.09, True","49.00, 0.07, True","53.00, 0.06, True","63.00, 0.07, True","63.00, 0.07, True","51.00, 0.01, True","65.00, 0.02, True","39.00, 0.00, True","46.00, 0.00, True","57.00, 0.00, True","57.00, 0.00, True","33.00, 0.00, True","37.00, 0.00, True","50.00, 0.00, True","70.00, 0.00, True","40.00, 0.00, True","56.00, 0.00, True","66.00, 0.00, True","44.00, 0.00, True","35.00, 0.00, True","60.00, 0.00, True","71.00, 0.00, True","61.00, 0.00, True","49.00, 0.00, True","64.00, 0.00, True","54.00, 0.00, True","33.00, 0.00, True","35.00, 0.00, True","38.00, 0.00, True","43.00, 0.00, True",A,0.759
template_10,"30.00, 0.07, False","38.00, 0.39, False","30.00, 0.34, False","33.00, 0.56, False","35.00, 0.82, False","23.00, 0.89, False",None,"29.00, 1.00, True","68.00, 0.93, True","42.00, 0.75, True","46.00, 0.68, True","40.00, 0.52, True","25.00, 0.36, True","49.00, 0.50, True","59.00, 0.53, True","56.00, 0.37, True","71.00, 0.38, True","51.00, 0.26, True","63.00, 0.31, True","37.00, 0.08, True","56.00, 0.14, True","71.00, 0.18, True","54.00, 0.11, True","50.00, 0.10, True","47.00, 0.07, True","61.00, 0.09, True","58.00, 0.09, True","49.00, 0.02, True","62.00, 0.02, True","39.00, 0.00, True","45.00, 0.00, True","57.00, 0.00, True","49.00, 0.00, True","28.00, 0.00, True","37.00, 0.00, True","48.00, 0.00, True","70.00, 0.00, True","38.00, 0.00, True","54.00, 0.00, True","64.00, 0.00, True","43.00, 0.00, True","38.00, 0.00, True","63.00, 0.00, True","69.00, 0.00, True","61.00, 0.00, True","53.00, 0.00, True","62.00, 0.00, True","52.00, 0.00, True","41.00, 0.00, True","36.00, 0.00, True","38.00, 0.00, True","39.00, 0.00, True",A,0.756
template_24,"30.00, 0.05, False","43.00, 0.36, False","37.00, 0.33, False","37.00, 0.51, False","39.00, 0.74, False","33.00, 0.81, False","29.00, 1.00, False",None,"73.00, 1.00, True","47.00, 0.84, True","51.00, 0.77, True","39.00, 0.59, True","30.00, 0.46, True","51.00, 0.57, True","63.00, 0.60, True","61.00, 0.43, True","67.00, 0.41, True","63.00, 0.35, True","63.00, 0.35, True","26.00, 0.05, True","59.00, 0.17, True","66.00, 0.19, True","62.00, 0.15, True","46.00, 0.10, True","55.00, 0.11, True","59.00, 0.11, True","54.00, 0.09, True","46.00, 0.02, True","58.00, 0.02, True","49.00, 0.00, True","51.00, 0.00, True","53.00, 0.00, True","60.00, 0.00, True","41.00, 0.00, True","26.00, 0.00, True","48.00, 0.00, True","67.00, 0.00, True","31.00, 0.00, True","51.00, 0.00, True","64.00, 0.00, True","45.00, 0.00, True","40.00, 0.00, True","58.00, 0.00, True","69.00, 0.00, True","54.00, 0.00, True","54.00, 0.00, True","63.00, 0.00, True","48.00, 0.00, True","41.00, 0.00, True","36.00, 0.00, True","32.00, 0.00, True","43.00, 0.00, True",B,0.755
template_3,"55.00, 0.11, False","65.00, 0.40, False","59.00, 0.38, False","68.00, 0.56, False","70.00, 0.74, False","72.00, 0.81, False","68.00, 0.93, False","73.00, 1.00, False",None,"79.00, 0.94, True","67.00, 0.86, True","74.00, 0.75, True","71.00, 0.68, True","74.00, 0.69, True","21.00, 0.47, True","41.00, 0.40, True","54.00, 0.41, True","39.00, 0.29, True","31.00, 0.24, True","75.00, 0.24, True","30.00, 0.08, True","47.00, 0.15, True","31.00, 0.07, True","70.00, 0.20, True","32.00, 0.06, True","45.00, 0.08, True","52.00, 0.10, True","36.00, 0.01, True","49.00, 0.02, True","70.00, 0.01, True","71.00, 0.01, True","25.00, 0.00, True","44.00, 0.00, True","72.00, 0.01, True","76.00, 0.01, True","42.00, 0.00, True","59.00, 0.00, True","79.00, 0.01, True","42.00, 0.00, True","39.00, 0.00, True","72.00, 0.00, True","63.00, 0.00, True","55.00, 0.00, True","50.00, 0.00, True","37.00, 0.00, True","74.00, 0.00, True","51.00, 0.00, True","29.00, 0.00, True","66.00, 0.00, True","70.00, 0.00, True","76.00, 0.00, True","47.00, 0.00, True",A,0.754
template_38,"39.00, 0.04, False","33.00, 0.18, False","40.00, 0.21, False","37.00, 0.33, False","41.00, 0.53, False","43.00, 0.60, False","42.00, 0.75, False","47.00, 0.84, False","79.00, 0.94, False",None,"47.00, 1.00, True","47.00, 0.84, True","38.00, 0.74, True","44.00, 0.75, True","69.00, 0.80, True","68.00, 0.62, True","76.00, 0.58, True","66.00, 0.50, True","66.00, 0.50, True","45.00, 0.20, True","64.00, 0.28, True","76.00, 0.31, True","68.00, 0.25, True","45.00, 0.17, True","62.00, 0.20, True","58.00, 0.17, True","67.00, 0.19, True","63.00, 0.07, True","58.00, 0.04, True","30.00, 0.00, True","31.00, 0.00, True","63.00, 0.01, True","63.00, 0.01, True","41.00, 0.00, True","36.00, 0.00, True","60.00, 0.01, True","62.00, 0.00, True","39.00, 0.00, True","57.00, 0.00, True","65.00, 0.00, True","47.00, 0.00, True","26.00, 0.00, True","66.00, 0.00, True","59.00, 0.00, True","63.00, 0.00, True","34.00, 0.00, True","53.00, 0.00, True","63.00, 0.00, True","33.00, 0.00, True","34.00, 0.00, True","37.00, 0.00, True","55.00, 0.00, True",B,0.751
