"statistic, pvalue, row is better than column",best set: template_14,template_0,template_10,template_12,template_52,template_4,template_26,template_24,template_38,template_36,template_40,template_22,template_6,template_5,template_8,template_18,template_31,template_34,template_15,template_7,template_30,template_25,template_32,template_20,template_54,template_28,template_2,template_19,template_47,template_1,template_50,template_39,template_3,template_49,template_35,template_13,template_33,template_11,template_9,template_27,template_16,template_46,template_48,template_53,template_55,template_17,template_42,template_44,template_23,template_51,template_37,template_21,template_29,template_45,template_43,template_41,group
best set: template_14,None,"7.00, 1.00, True","8.00, 0.81, True","9.00, 0.82, True","11.00, 0.84, True","9.00, 0.82, True","9.00, 0.66, True","9.00, 0.66, True","8.00, 0.65, True","7.00, 0.48, True","8.00, 0.38, True","5.00, 0.30, True","5.00, 0.21, True","11.00, 0.34, True","2.00, 0.11, True","6.00, 0.17, True","11.00, 0.26, True","8.00, 0.21, True","8.00, 0.21, True","10.00, 0.25, True","10.00, 0.18, True","9.00, 0.17, True","6.00, 0.12, True","4.00, 0.08, True","9.00, 0.12, True","6.00, 0.08, True","2.00, 0.02, True","8.00, 0.11, True","13.00, 0.13, True","10.00, 0.10, True","6.00, 0.05, True","9.00, 0.09, True","10.00, 0.10, True","12.00, 0.12, True","8.00, 0.08, True","10.00, 0.07, True","9.00, 0.06, True","11.00, 0.08, True","9.00, 0.06, True","6.00, 0.03, True","6.00, 0.02, True","6.00, 0.02, True","7.00, 0.03, True","11.00, 0.06, True","11.00, 0.06, True","7.00, 0.03, True","5.00, 0.01, True","5.00, 0.01, True","5.00, 0.01, True","11.00, 0.03, True","7.00, 0.01, True","7.00, 0.01, True","6.00, 0.00, True","7.00, 0.01, True","9.00, 0.01, True","6.00, 0.00, True",A
template_0,"7.00, 1.00, False",None,"9.00, 1.00, True","11.00, 1.00, True","10.00, 1.00, True","10.00, 1.00, True","10.00, 0.83, True","11.00, 0.84, True","9.00, 0.82, True","8.00, 0.65, True","9.00, 0.52, True","8.00, 0.50, True","7.00, 0.36, True","11.00, 0.44, True","4.00, 0.27, True","9.00, 0.31, True","11.00, 0.34, True","11.00, 0.34, True","10.00, 0.33, True","11.00, 0.34, True","10.00, 0.25, True","11.00, 0.26, True","8.00, 0.21, True","8.00, 0.21, True","8.00, 0.15, True","5.00, 0.10, True","6.00, 0.12, True","8.00, 0.15, True","12.00, 0.16, True","9.00, 0.12, True","6.00, 0.08, True","9.00, 0.12, True","11.00, 0.15, True","11.00, 0.15, True","9.00, 0.12, True","11.00, 0.11, True","8.00, 0.08, True","11.00, 0.11, True","11.00, 0.11, True","8.00, 0.08, True","7.00, 0.04, True","4.00, 0.02, True","6.00, 0.03, True","12.00, 0.09, True","12.00, 0.09, True","9.00, 0.06, True","3.00, 0.01, True","7.00, 0.02, True","9.00, 0.03, True","12.00, 0.05, True","9.00, 0.03, True","7.00, 0.02, True","6.00, 0.01, True","7.00, 0.01, True","7.00, 0.01, True","5.00, 0.00, True",A
template_10,"8.00, 0.81, False","9.00, 1.00, False",None,"6.00, 1.00, None","11.00, 1.00, None","7.00, 1.00, None","6.00, 1.00, True","6.00, 1.00, True","9.00, 1.00, True","7.00, 0.80, True","8.00, 0.65, True","5.00, 0.58, True","4.00, 0.39, True","10.00, 0.54, True","4.00, 0.39, True","4.00, 0.27, True","12.00, 0.46, True","8.00, 0.38, True","11.00, 0.44, True","9.00, 0.40, True","11.00, 0.34, True","12.00, 0.36, True","7.00, 0.26, True","5.00, 0.21, True","7.00, 0.19, True","7.00, 0.19, True","5.00, 0.14, True","9.00, 0.23, True","13.00, 0.23, True","13.00, 0.23, True","5.00, 0.10, True","10.00, 0.18, True","13.00, 0.23, True","12.00, 0.22, True","11.00, 0.20, True","12.00, 0.16, True","11.00, 0.15, True","13.00, 0.18, True","11.00, 0.15, True","10.00, 0.14, True","7.00, 0.06, True","5.00, 0.04, True","7.00, 0.06, True","12.00, 0.12, True","14.00, 0.14, True","10.00, 0.10, True","5.00, 0.03, True","7.00, 0.03, True","7.00, 0.03, True","12.00, 0.07, True","10.00, 0.05, True","8.00, 0.04, True","8.00, 0.02, True","7.00, 0.01, True","9.00, 0.02, True","7.00, 0.00, True",A
template_12,"9.00, 0.82, False","11.00, 1.00, False","6.00, 1.00, True",None,"12.00, 1.00, None","7.00, 1.00, None","6.00, 1.00, True","8.00, 1.00, True","10.00, 1.00, True","10.00, 0.83, True","9.00, 0.66, True","8.00, 0.65, True","5.00, 0.42, True","12.00, 0.57, True","6.00, 0.45, True","6.00, 0.33, True","15.00, 0.50, True","8.00, 0.38, True","10.00, 0.42, True","12.00, 0.46, True","11.00, 0.34, True","11.00, 0.34, True","8.00, 0.29, True","7.00, 0.26, True","8.00, 0.21, True","8.00, 0.21, True","7.00, 0.19, True","11.00, 0.26, True","14.00, 0.24, True","11.00, 0.20, True","8.00, 0.15, True","13.00, 0.23, True","14.00, 0.24, True","13.00, 0.23, True","15.00, 0.26, True","12.00, 0.16, True","13.00, 0.18, True","12.00, 0.16, True","13.00, 0.18, True","10.00, 0.14, True","9.00, 0.09, True","5.00, 0.04, True","8.00, 0.08, True","13.00, 0.13, True","15.00, 0.15, True","12.00, 0.12, True","7.00, 0.04, True","8.00, 0.04, True","9.00, 0.04, True","13.00, 0.07, True","12.00, 0.07, True","9.00, 0.04, True","10.00, 0.02, True","10.00, 0.02, True","9.00, 0.02, True","8.00, 0.00, True",A
template_52,"11.00, 0.84, False","10.00, 1.00, False","11.00, 1.00, True","12.00, 1.00, True",None,"12.00, 1.00, None","11.00, 1.00, True","10.00, 1.00, True","12.00, 1.00, True","10.00, 0.83, True","12.00, 0.70, True","10.00, 0.68, True","9.00, 0.52, True","12.00, 0.57, True","8.00, 0.50, True","10.00, 0.42, True","15.00, 0.50, True","13.00, 0.47, True","13.00, 0.47, True","11.00, 0.44, True","10.00, 0.33, True","12.00, 0.36, True","11.00, 0.34, True","8.00, 0.29, True","3.00, 0.09, True","9.00, 0.23, True","8.00, 0.21, True","10.00, 0.25, True","12.00, 0.22, True","15.00, 0.26, True","3.00, 0.06, True","13.00, 0.23, True","14.00, 0.24, True","12.00, 0.22, True","13.00, 0.23, True","14.00, 0.19, True","13.00, 0.18, True","12.00, 0.16, True","12.00, 0.16, True","10.00, 0.14, True","6.00, 0.05, True","1.00, 0.01, True","2.00, 0.01, True","13.00, 0.13, True","12.00, 0.12, True","12.00, 0.12, True","2.00, 0.01, True","5.00, 0.02, True","10.00, 0.05, True","11.00, 0.06, True","10.00, 0.05, True","8.00, 0.04, True","8.00, 0.02, True","9.00, 0.02, True","11.00, 0.03, True","7.00, 0.00, True",A
template_4,"9.00, 0.82, False","10.00, 1.00, False","7.00, 1.00, True","7.00, 1.00, True","12.00, 1.00, True",None,"8.00, 1.00, True","12.00, 1.00, True","10.00, 1.00, True","8.00, 0.81, True","8.00, 0.65, True","8.00, 0.65, True","1.00, 0.22, True","8.00, 0.50, True","4.00, 0.39, True","2.00, 0.18, True","12.00, 0.46, True","8.00, 0.38, True","9.00, 0.40, True","11.00, 0.44, True","9.00, 0.31, True","11.00, 0.34, True","7.00, 0.26, True","5.00, 0.21, True","6.00, 0.17, True","6.00, 0.17, True","5.00, 0.14, True","10.00, 0.25, True","14.00, 0.24, True","13.00, 0.23, True","5.00, 0.10, True","11.00, 0.20, True","12.00, 0.22, True","12.00, 0.22, True","12.00, 0.22, True","10.00, 0.14, True","10.00, 0.14, True","11.00, 0.15, True","10.00, 0.14, True","10.00, 0.14, True","6.00, 0.05, True","4.00, 0.03, True","5.00, 0.04, True","13.00, 0.13, True","14.00, 0.14, True","10.00, 0.10, True","5.00, 0.03, True","6.00, 0.02, True","7.00, 0.03, True","11.00, 0.06, True","9.00, 0.04, True","8.00, 0.04, True","10.00, 0.02, True","7.00, 0.01, True","8.00, 0.02, True","7.00, 0.00, True",A
template_26,"9.00, 0.66, False","10.00, 0.83, False","6.00, 1.00, False","6.00, 1.00, False","11.00, 1.00, False","8.00, 1.00, False",None,"8.00, 1.00, None","9.00, 1.00, None","9.00, 1.00, True","9.00, 0.82, True","8.00, 0.81, True","6.00, 0.61, True","14.00, 0.72, True","8.00, 0.65, True","6.00, 0.45, True","15.00, 0.61, True","7.00, 0.48, True","11.00, 0.56, True","13.00, 0.58, True","12.00, 0.46, True","13.00, 0.47, True","7.00, 0.36, True","7.00, 0.36, True","6.00, 0.24, True","7.00, 0.26, True","9.00, 0.31, True","13.00, 0.38, True","15.00, 0.32, True","13.00, 0.30, True","7.00, 0.19, True","11.00, 0.26, True","15.00, 0.32, True","14.00, 0.31, True","14.00, 0.31, True","13.00, 0.23, True","13.00, 0.23, True","14.00, 0.24, True","13.00, 0.23, True","11.00, 0.20, True","9.00, 0.12, True","6.00, 0.08, True","8.00, 0.11, True","13.00, 0.18, True","13.00, 0.18, True","12.00, 0.16, True","8.00, 0.08, True","8.00, 0.05, True","10.00, 0.07, True","14.00, 0.11, True","12.00, 0.09, True","10.00, 0.07, True","10.00, 0.04, True","9.00, 0.03, True","10.00, 0.04, True","7.00, 0.00, True",A
template_24,"9.00, 0.66, False","11.00, 0.84, False","6.00, 1.00, False","8.00, 1.00, False","10.00, 1.00, False","12.00, 1.00, False","8.00, 1.00, True",None,"10.00, 1.00, None","10.00, 1.00, True","11.00, 0.84, True","7.00, 0.80, True","9.00, 0.66, True","13.00, 0.71, True","9.00, 0.66, True","9.00, 0.52, True","15.00, 0.61, True","9.00, 0.52, True","14.00, 0.60, True","12.00, 0.57, True","15.00, 0.50, True","13.00, 0.47, True","9.00, 0.40, True","7.00, 0.36, True","10.00, 0.33, True","9.00, 0.31, True","8.00, 0.29, True","12.00, 0.36, True","15.00, 0.32, True","15.00, 0.32, True","9.00, 0.23, True","13.00, 0.30, True","13.00, 0.30, True","15.00, 0.32, True","13.00, 0.30, True","14.00, 0.24, True","13.00, 0.23, True","14.00, 0.24, True","12.00, 0.22, True","11.00, 0.20, True","9.00, 0.12, True","8.00, 0.11, True","8.00, 0.11, True","15.00, 0.20, True","14.00, 0.19, True","12.00, 0.16, True","8.00, 0.08, True","11.00, 0.08, True","8.00, 0.05, True","13.00, 0.10, True","10.00, 0.07, True","10.00, 0.07, True","7.00, 0.02, True","10.00, 0.04, True","11.00, 0.04, True","8.00, 0.00, True",A
template_38,"8.00, 0.65, False","9.00, 0.82, False","9.00, 1.00, False","10.00, 1.00, False","12.00, 1.00, False","10.00, 1.00, False","9.00, 1.00, True","10.00, 1.00, True",None,"8.00, 1.00, True","7.00, 0.80, True","10.00, 0.83, True","8.00, 0.65, True","12.00, 0.70, True","8.00, 0.65, True","7.00, 0.48, True","12.00, 0.57, True","6.00, 0.45, True","10.00, 0.54, True","12.00, 0.57, True","10.00, 0.42, True","11.00, 0.44, True","5.00, 0.30, True","8.00, 0.38, True","7.00, 0.26, True","5.00, 0.21, True","9.00, 0.31, True","7.00, 0.26, True","13.00, 0.30, True","10.00, 0.25, True","10.00, 0.25, True","10.00, 0.25, True","14.00, 0.31, True","13.00, 0.30, True","11.00, 0.26, True","12.00, 0.22, True","9.00, 0.17, True","12.00, 0.22, True","14.00, 0.24, True","7.00, 0.13, True","9.00, 0.12, True","7.00, 0.09, True","9.00, 0.12, True","14.00, 0.19, True","12.00, 0.16, True","12.00, 0.16, True","6.00, 0.05, True","9.00, 0.06, True","10.00, 0.07, True","14.00, 0.11, True","9.00, 0.06, True","6.00, 0.03, True","6.00, 0.01, True","10.00, 0.04, True","8.00, 0.02, True","6.00, 0.00, True",A
template_36,"7.00, 0.48, False","8.00, 0.65, False","7.00, 0.80, False","10.00, 0.83, False","10.00, 0.83, False","8.00, 0.81, False","9.00, 1.00, False","10.00, 1.00, False","8.00, 1.00, False",None,"9.00, 1.00, True","5.00, 1.00, True","7.00, 0.80, True","13.00, 0.85, True","5.00, 0.77, True","7.00, 0.63, True","11.00, 0.69, True","6.00, 0.61, True","11.00, 0.69, True","13.00, 0.71, True","9.00, 0.52, True","13.00, 0.58, True","6.00, 0.45, True","6.00, 0.45, True","8.00, 0.38, True","5.00, 0.30, True","5.00, 0.30, True","11.00, 0.44, True","15.00, 0.41, True","14.00, 0.39, True","8.00, 0.29, True","11.00, 0.34, True","14.00, 0.39, True","14.00, 0.39, True","9.00, 0.31, True","13.00, 0.30, True","9.00, 0.23, True","15.00, 0.32, True","12.00, 0.28, True","11.00, 0.26, True","5.00, 0.10, True","6.00, 0.12, True","6.00, 0.12, True","16.00, 0.27, True","15.00, 0.26, True","11.00, 0.20, True","6.00, 0.08, True","8.00, 0.08, True","9.00, 0.09, True","14.00, 0.14, True","8.00, 0.08, True","9.00, 0.09, True","7.00, 0.03, True","9.00, 0.04, True","12.00, 0.07, True","7.00, 0.01, True",A
