template_name,enumerator,choices_separator,shuffle_choices
template_0,capitals,\s,False
template_1,capitals,\s,True
template_2,capitals,\n,False
template_3,capitals,\n,True
template_4,capitals,", ",False
template_5,capitals,", ",True
template_6,capitals,; ,False
template_7,capitals,; ,True
template_8,capitals, | ,False
template_9,capitals, | ,True
template_10,capitals, OR ,False
template_11,capitals, OR ,True
template_12,capitals, or ,False
template_13,capitals, or ,True
template_14,lowercase,\s,False
template_15,lowercase,\s,True
template_16,lowercase,\n,False
template_17,lowercase,\n,True
template_18,lowercase,", ",False
template_19,lowercase,", ",True
template_20,lowercase,; ,False
template_21,lowercase,; ,True
template_22,lowercase, | ,False
template_23,lowercase, | ,True
template_24,lowercase, OR ,False
template_25,lowercase, OR ,True
template_26,lowercase, or ,False
template_27,lowercase, or ,True
template_28,numbers,\s,False
template_29,numbers,\s,True
template_30,numbers,\n,False
template_31,numbers,\n,True
template_32,numbers,", ",False
template_33,numbers,", ",True
template_34,numbers,; ,False
template_35,numbers,; ,True
template_36,numbers, | ,False
template_37,numbers, | ,True
template_38,numbers, OR ,False
template_39,numbers, OR ,True
template_40,numbers, or ,False
template_41,numbers, or ,True
template_42,roman,\s,False
template_43,roman,\s,True
template_44,roman,\n,False
template_45,roman,\n,True
template_46,roman,", ",False
template_47,roman,", ",True
template_48,roman,; ,False
template_49,roman,; ,True
template_50,roman, | ,False
template_51,roman, | ,True
template_52,roman, OR ,False
template_53,roman, OR ,True
template_54,roman, or ,False
template_55,roman, or ,True
template_56,!@#$%^₪*)(,\s,False
template_57,!@#$%^₪*)(,\s,True
template_58,!@#$%^₪*)(,\n,False
template_59,!@#$%^₪*)(,\n,True
template_60,!@#$%^₪*)(,", ",False
template_61,!@#$%^₪*)(,", ",True
template_62,!@#$%^₪*)(,; ,False
template_63,!@#$%^₪*)(,; ,True
template_64,!@#$%^₪*)(, | ,False
template_65,!@#$%^₪*)(, | ,True
template_66,!@#$%^₪*)(, OR ,False
template_67,!@#$%^₪*)(, OR ,True
template_68,!@#$%^₪*)(, or ,False
template_69,!@#$%^₪*)(, or ,True
template_70,αβγδεζηθικ,\s,False
template_71,αβγδεζηθικ,\s,True
template_72,αβγδεζηθικ,\n,False
template_73,αβγδεζηθικ,\n,True
template_74,αβγδεζηθικ,", ",False
template_75,αβγδεζηθικ,", ",True
template_76,αβγδεζηθικ,; ,False
template_77,αβγδεζηθικ,; ,True
template_78,αβγδεζηθικ, | ,False
template_79,αβγδεζηθικ, | ,True
template_80,αβγδεζηθικ, OR ,False
template_81,αβγδεζηθικ, OR ,True
template_82,αβγδεζηθικ, or ,False
template_83,αβγδεζηθικ, or ,True
