template_name,card,system_format,num_demos,demos_pool_size,max_instances,accuracy,score,score_name,accuracy_ci_low,accuracy_ci_high,score_ci_low,score_ci_high,groups_mean_score,number_of_instances
template_0,cards.race_all,formats.empty,1,10,100,0.483,0.483,accuracy,0.367,0.600,0.367,0.600,0.483,60
template_1,cards.race_all,formats.empty,1,10,100,0.620,0.620,accuracy,0.520,0.710,0.520,0.710,0.620,100
template_2,cards.race_all,formats.empty,1,10,100,0.640,0.640,accuracy,0.540,0.730,0.540,0.730,0.640,100
template_3,cards.race_all,formats.empty,1,10,100,0.670,0.670,accuracy,0.580,0.760,0.580,0.760,0.670,100
template_4,cards.race_all,formats.empty,1,10,100,0.680,0.680,accuracy,0.580,0.770,0.580,0.770,0.680,100
template_5,cards.race_all,formats.empty,1,10,100,0.660,0.660,accuracy,0.570,0.750,0.570,0.750,0.660,100
template_6,cards.race_all,formats.empty,1,10,100,0.700,0.700,accuracy,0.600,0.780,0.600,0.780,0.700,100
template_7,cards.race_all,formats.empty,1,10,100,0.520,0.520,accuracy,0.420,0.610,0.420,0.610,0.520,100
template_8,cards.race_all,formats.empty,1,10,100,0.620,0.620,accuracy,0.530,0.710,0.530,0.710,0.620,100
template_9,cards.race_all,formats.empty,1,10,100,0.670,0.670,accuracy,0.570,0.760,0.570,0.760,0.670,100
template_10,cards.race_all,formats.empty,1,10,100,0.660,0.660,accuracy,0.560,0.750,0.560,0.750,0.660,100
template_11,cards.race_all,formats.empty,1,10,100,0.690,0.690,accuracy,0.590,0.770,0.590,0.770,0.690,100
template_12,cards.race_all,formats.empty,1,10,100,0.800,0.800,accuracy,0.400,1.000,0.400,1.000,0.800,10
template_13,cards.race_all,formats.empty,1,10,100,0.660,0.660,accuracy,0.560,0.750,0.560,0.750,0.660,100
template_14,cards.race_all,formats.empty,1,10,100,0.430,0.430,accuracy,0.330,0.530,0.330,0.530,0.430,100
template_15,cards.race_all,formats.empty,1,10,100,0.170,0.170,accuracy,0.110,0.260,0.110,0.260,0.170,100
template_16,cards.race_all,formats.empty,1,10,100,0.430,0.430,accuracy,0.330,0.530,0.330,0.530,0.430,100
template_17,cards.race_all,formats.empty,1,10,100,0.490,0.490,accuracy,0.390,0.590,0.390,0.590,0.490,100
template_18,cards.race_all,formats.empty,1,10,100,0.520,0.520,accuracy,0.430,0.620,0.430,0.620,0.520,100
template_19,cards.race_all,formats.empty,1,10,100,0.500,0.500,accuracy,0.400,0.590,0.400,0.590,0.500,100
template_20,cards.race_all,formats.empty,1,10,100,0.490,0.490,accuracy,0.390,0.590,0.390,0.590,0.490,100
template_21,cards.race_all,formats.empty,1,10,100,0.970,0.970,accuracy,0.920,0.990,0.920,0.990,0.970,100
template_22,cards.race_all,formats.empty,1,10,100,0.943,0.943,accuracy,0.871,0.986,0.871,0.986,0.943,70
template_23,cards.race_all,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_24,cards.race_all,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_25,cards.race_all,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_26,cards.race_all,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
template_27,cards.race_all,formats.empty,1,10,100,1.000,1.000,accuracy,,,,,1.000,100
