"statistic, pvalue, row is better than column",template_33,template_47,best set: template_27,template_22,template_26,template_50,template_53,template_17,template_35,template_21,template_24,template_20,template_55,template_8,template_34,template_18,template_28,template_51,template_49,template_10,template_38,template_12,template_23,template_19,template_4,template_7,template_52,template_37,template_6,template_41,template_46,template_11,template_13,template_16,template_25,template_31,template_48,template_29,template_30,template_43,template_40,template_1,template_15,template_39,template_3,template_45,template_2,template_5,template_54,template_32,template_36,template_14,template_9,template_0,template_42,template_44,group,accuracy
template_33,None,"5.00, 1.00, None","8.00, 1.00, None","9.00, 1.00, True","8.00, 1.00, True","8.00, 1.00, True","6.00, 1.00, True","7.00, 1.00, True","4.00, 0.75, True","6.00, 0.79, True","7.00, 0.80, True","7.00, 0.80, True","6.00, 0.79, True","8.00, 0.81, True","7.00, 0.63, True","8.00, 0.65, True","7.00, 0.63, True","4.00, 0.55, True","4.00, 0.55, True","7.00, 0.63, True","8.00, 0.65, True","8.00, 0.65, True","5.00, 0.58, True","5.00, 0.42, True","8.00, 0.50, True","4.00, 0.39, True","8.00, 0.50, True","2.00, 0.29, True","7.00, 0.48, True","5.00, 0.42, True","7.00, 0.48, True","6.00, 0.45, True","6.00, 0.45, True","9.00, 0.52, True","5.00, 0.42, True","3.00, 0.34, True","6.00, 0.33, True","2.00, 0.18, True","7.00, 0.36, True","5.00, 0.30, True","7.00, 0.36, True","6.00, 0.33, True","8.00, 0.38, True","3.00, 0.23, True","5.00, 0.30, True","5.00, 0.21, True","7.00, 0.26, True","4.00, 0.18, True","7.00, 0.26, True","5.00, 0.21, True","5.00, 0.14, True","10.00, 0.18, True","2.00, 0.04, True","9.00, 0.12, True","7.00, 0.09, True","5.00, 0.04, True",A,0.76
template_47,"5.00, 1.00, True",None,"7.00, 1.00, None","11.00, 1.00, True","10.00, 1.00, True","10.00, 1.00, True","6.00, 1.00, True","5.00, 1.00, True","5.00, 0.77, True","3.00, 0.73, True","9.00, 0.82, True","9.00, 0.82, True","6.00, 0.79, True","9.00, 0.82, True","10.00, 0.68, True","9.00, 0.66, True","9.00, 0.66, True","4.00, 0.55, True","2.00, 0.45, True","8.00, 0.65, True","9.00, 0.66, True","9.00, 0.66, True","5.00, 0.58, True","3.00, 0.34, True","9.00, 0.52, True","3.00, 0.34, True","11.00, 0.56, True","4.00, 0.39, True","8.00, 0.50, True","4.00, 0.39, True","9.00, 0.52, True","6.00, 0.45, True","6.00, 0.45, True","12.00, 0.57, True","4.00, 0.39, True","4.00, 0.39, True","9.00, 0.40, True","4.00, 0.27, True","10.00, 0.42, True","5.00, 0.30, True","9.00, 0.40, True","6.00, 0.33, True","7.00, 0.36, True","4.00, 0.27, True","5.00, 0.30, True","6.00, 0.24, True","9.00, 0.31, True","2.00, 0.11, True","9.00, 0.31, True","8.00, 0.29, True","7.00, 0.19, True","10.00, 0.18, True","3.00, 0.06, True","9.00, 0.12, True","8.00, 0.11, True","7.00, 0.06, True",A,0.76
template_27,"8.00, 1.00, True","7.00, 1.00, True",None,"11.00, 1.00, True","10.00, 1.00, True","9.00, 1.00, True","4.00, 1.00, True","5.00, 1.00, True","7.00, 0.80, True","5.00, 0.77, True","8.00, 0.81, True","11.00, 0.84, True","3.00, 0.73, True","9.00, 0.82, True","10.00, 0.68, True","11.00, 0.69, True","10.00, 0.68, True","3.00, 0.51, True","6.00, 0.61, True","8.00, 0.65, True","9.00, 0.66, True","9.00, 0.66, True","2.00, 0.45, True","3.00, 0.34, True","10.00, 0.54, True","3.00, 0.34, True","10.00, 0.54, True","4.00, 0.39, True","9.00, 0.52, True","3.00, 0.34, True","10.00, 0.54, True","3.00, 0.34, True","2.00, 0.29, True","10.00, 0.54, True","1.00, 0.22, True","5.00, 0.42, True","10.00, 0.42, True","5.00, 0.30, True","8.00, 0.38, True","6.00, 0.33, True","8.00, 0.38, True","4.00, 0.27, True","5.00, 0.30, True","3.00, 0.23, True","5.00, 0.30, True","3.00, 0.15, True","8.00, 0.29, True","2.00, 0.11, True","9.00, 0.31, True","10.00, 0.33, True","9.00, 0.23, True","7.00, 0.13, True","1.00, 0.02, True","8.00, 0.11, True","7.00, 0.09, True","8.00, 0.08, True",A,0.76
template_22,"9.00, 1.00, False","11.00, 1.00, False","11.00, 1.00, False",None,"4.00, 1.00, None","2.00, 1.00, None","11.00, 1.00, None","10.00, 1.00, None","9.00, 1.00, True","11.00, 1.00, True","4.00, 1.00, True","3.00, 1.00, True","8.00, 1.00, True","3.00, 1.00, True","4.00, 0.75, True","3.00, 0.73, True","4.00, 0.75, True","9.00, 0.82, True","10.00, 0.83, True","4.00, 0.75, True","4.00, 0.75, True","4.00, 0.75, True","8.00, 0.81, True","11.00, 0.69, True","2.00, 0.45, True","9.00, 0.66, True","2.00, 0.45, True","8.00, 0.65, True","2.00, 0.45, True","10.00, 0.68, True","2.00, 0.45, True","9.00, 0.66, True","8.00, 0.65, True","1.00, 0.38, True","10.00, 0.68, True","8.00, 0.65, True","5.00, 0.42, True","10.00, 0.54, True","4.00, 0.39, True","11.00, 0.56, True","3.00, 0.34, True","8.00, 0.50, True","9.00, 0.52, True","8.00, 0.50, True","7.00, 0.48, True","10.00, 0.42, True","2.00, 0.18, True","8.00, 0.38, True","2.00, 0.18, True","3.00, 0.23, True","1.00, 0.07, True","6.00, 0.17, True","6.00, 0.17, True","5.00, 0.10, True","4.00, 0.08, True","1.00, 0.01, True",A,0.75
template_26,"8.00, 1.00, False","10.00, 1.00, False","10.00, 1.00, False","4.00, 1.00, True",None,"4.00, 1.00, None","11.00, 1.00, None","11.00, 1.00, None","9.00, 1.00, True","10.00, 1.00, True","1.00, 1.00, True","2.00, 1.00, True","8.00, 1.00, True","6.00, 1.00, True","6.00, 0.79, True","3.00, 0.73, True","3.00, 0.73, True","9.00, 0.82, True","9.00, 0.82, True","3.00, 0.73, True","4.00, 0.75, True","2.00, 0.69, True","7.00, 0.80, True","10.00, 0.68, True","2.00, 0.45, True","8.00, 0.65, True","3.00, 0.51, True","7.00, 0.63, True","2.00, 0.45, True","9.00, 0.66, True","3.00, 0.51, True","9.00, 0.66, True","8.00, 0.65, True","4.00, 0.55, True","10.00, 0.68, True","7.00, 0.63, True","5.00, 0.42, True","7.00, 0.48, True","4.00, 0.39, True","11.00, 0.56, True","3.00, 0.34, True","8.00, 0.50, True","10.00, 0.54, True","8.00, 0.50, True","8.00, 0.50, True","10.00, 0.42, True","2.00, 0.18, True","7.00, 0.36, True","2.00, 0.18, True","4.00, 0.27, True","3.00, 0.15, True","4.00, 0.12, True","6.00, 0.17, True","5.00, 0.10, True","5.00, 0.10, True","2.00, 0.02, True",A,0.75
template_50,"8.00, 1.00, False","10.00, 1.00, False","9.00, 1.00, False","2.00, 1.00, True","4.00, 1.00, True",None,"9.00, 1.00, None","9.00, 1.00, None","8.00, 1.00, True","9.00, 1.00, True","3.00, 1.00, True","4.00, 1.00, True","6.00, 1.00, True","2.00, 1.00, True","4.00, 0.75, True","3.00, 0.73, True","4.00, 0.75, True","8.00, 0.81, True","9.00, 0.82, True","2.00, 0.69, True","3.00, 0.73, True","3.00, 0.73, True","6.00, 0.79, True","9.00, 0.66, True","2.00, 0.45, True","7.00, 0.63, True","2.00, 0.45, True","7.00, 0.63, True","1.00, 0.38, True","8.00, 0.65, True","2.00, 0.45, True","8.00, 0.65, True","6.00, 0.61, True","2.00, 0.45, True","8.00, 0.65, True","6.00, 0.61, True","4.00, 0.39, True","8.00, 0.50, True","3.00, 0.34, True","10.00, 0.54, True","1.00, 0.22, True","6.00, 0.45, True","8.00, 0.50, True","6.00, 0.45, True","6.00, 0.45, True","8.00, 0.38, True","2.00, 0.18, True","6.00, 0.33, True","2.00, 0.18, True","3.00, 0.23, True","0.00, 0.03, True","6.00, 0.17, True","4.00, 0.12, True","6.00, 0.12, True","4.00, 0.08, True","0.00, 0.00, True",A,0.75
template_53,"6.00, 1.00, False","6.00, 1.00, False","4.00, 1.00, False","11.00, 1.00, True","11.00, 1.00, True","9.00, 1.00, True",None,"7.00, 1.00, None","8.00, 1.00, True","6.00, 1.00, True","9.00, 1.00, True","10.00, 1.00, True","3.00, 1.00, True","9.00, 1.00, True","10.00, 0.83, True","10.00, 0.83, True","10.00, 0.83, True","3.00, 0.73, True","5.00, 0.77, True","8.00, 0.81, True","9.00, 0.82, True","8.00, 0.81, True","5.00, 0.77, True","5.00, 0.58, True","10.00, 0.68, True","5.00, 0.58, True","9.00, 0.66, True","6.00, 0.61, True","9.00, 0.66, True","4.00, 0.55, True","9.00, 0.66, True","6.00, 0.61, True","5.00, 0.58, True","11.00, 0.69, True","3.00, 0.51, True","5.00, 0.58, True","9.00, 0.52, True","5.00, 0.42, True","10.00, 0.54, True","4.00, 0.39, True","7.00, 0.48, True","4.00, 0.39, True","5.00, 0.42, True","3.00, 0.34, True","6.00, 0.45, True","5.00, 0.30, True","9.00, 0.40, True","4.00, 0.27, True","8.00, 0.38, True","10.00, 0.42, True","9.00, 0.31, True","10.00, 0.25, True","3.00, 0.09, True","10.00, 0.18, True","8.00, 0.15, True","8.00, 0.11, True",A,0.75
template_17,"7.00, 1.00, False","5.00, 1.00, False","5.00, 1.00, False","10.00, 1.00, True","11.00, 1.00, True","9.00, 1.00, True","7.00, 1.00, True",None,"9.00, 1.00, True","5.00, 1.00, True","9.00, 1.00, True","11.00, 1.00, True","5.00, 1.00, True","8.00, 1.00, True","11.00, 0.84, True","10.00, 0.83, True","11.00, 0.84, True","5.00, 0.77, True","8.00, 0.81, True","7.00, 0.80, True","9.00, 0.82, True","8.00, 0.81, True","3.00, 0.73, True","4.00, 0.55, True","9.00, 0.66, True","4.00, 0.55, True","10.00, 0.68, True","5.00, 0.58, True","8.00, 0.65, True","4.00, 0.55, True","9.00, 0.66, True","5.00, 0.58, True","4.00, 0.55, True","10.00, 0.68, True","3.00, 0.51, True","3.00, 0.51, True","9.00, 0.52, True","7.00, 0.48, True","10.00, 0.54, True","8.00, 0.50, True","8.00, 0.50, True","4.00, 0.39, True","5.00, 0.42, True","4.00, 0.39, True","1.00, 0.22, True","2.00, 0.18, True","8.00, 0.38, True","3.00, 0.23, True","9.00, 0.40, True","11.00, 0.44, True","8.00, 0.29, True","8.00, 0.21, True","1.00, 0.04, True","7.00, 0.13, True","7.00, 0.13, True","7.00, 0.09, True",A,0.75
template_35,"4.00, 0.75, False","5.00, 0.77, False","7.00, 0.80, False","9.00, 1.00, False","9.00, 1.00, False","8.00, 1.00, False","8.00, 1.00, False","9.00, 1.00, False",None,"8.00, 1.00, None","10.00, 1.00, None","9.00, 1.00, None","8.00, 1.00, None","10.00, 1.00, None","7.00, 1.00, True","10.00, 1.00, True","9.00, 1.00, True","7.00, 1.00, True","7.00, 1.00, True","9.00, 1.00, True","9.00, 1.00, True","10.00, 1.00, True","8.00, 1.00, True","6.00, 0.79, True","10.00, 0.83, True","5.00, 0.77, True","10.00, 0.83, True","4.00, 0.75, True","9.00, 0.82, True","7.00, 0.80, True","9.00, 0.82, True","7.00, 0.80, True","6.00, 0.79, True","10.00, 0.83, True","8.00, 0.81, True","6.00, 0.79, True","9.00, 0.66, True","4.00, 0.55, True","9.00, 0.66, True","6.00, 0.61, True","9.00, 0.66, True","9.00, 0.66, True","10.00, 0.68, True","6.00, 0.61, True","7.00, 0.63, True","7.00, 0.48, True","9.00, 0.52, True","6.00, 0.45, True","8.00, 0.50, True","6.00, 0.45, True","7.00, 0.36, True","10.00, 0.33, True","4.00, 0.18, True","10.00, 0.25, True","7.00, 0.19, True","7.00, 0.13, True",A,0.74
template_21,"6.00, 0.79, False","3.00, 0.73, False","5.00, 0.77, False","11.00, 1.00, False","10.00, 1.00, False","9.00, 1.00, False","6.00, 1.00, False","5.00, 1.00, False","8.00, 1.00, True",None,"9.00, 1.00, None","10.00, 1.00, None","6.00, 1.00, None","9.00, 1.00, None","11.00, 1.00, True","9.00, 1.00, True","10.00, 1.00, True","6.00, 1.00, True","6.00, 1.00, True","8.00, 1.00, True","9.00, 1.00, True","9.00, 1.00, True","4.00, 1.00, True","1.00, 0.62, True","9.00, 0.82, True","2.00, 0.69, True","11.00, 0.84, True","7.00, 0.80, True","8.00, 0.81, True","6.00, 0.79, True","8.00, 0.81, True","6.00, 0.79, True","5.00, 0.77, True","12.00, 0.85, True","4.00, 0.75, True","5.00, 0.77, True","9.00, 0.66, True","6.00, 0.61, True","10.00, 0.68, True","8.00, 0.65, True","10.00, 0.68, True","8.00, 0.65, True","8.00, 0.65, True","6.00, 0.61, True","5.00, 0.58, True","5.00, 0.42, True","9.00, 0.52, True","1.00, 0.22, True","10.00, 0.54, True","9.00, 0.52, True","8.00, 0.38, True","10.00, 0.33, True","2.00, 0.11, True","9.00, 0.23, True","7.00, 0.19, True","7.00, 0.13, True",A,0.74
