Name,train,validation,test
mmlu.abstract_algebra,5,11,100
mmlu.anatomy,5,14,135
mmlu.astronomy,5,16,152
mmlu.business_ethics,5,11,100
mmlu.clinical_knowledge,5,29,265
mmlu.college_biology,5,16,144
mmlu.college_chemistry,5,8,100
mmlu.college_computer_science,5,11,100
mmlu.college_mathematics,5,11,100
mmlu.college_medicine,5,22,173
mmlu.college_physics,5,11,102
mmlu.computer_security,5,11,100
mmlu.conceptual_physics,5,26,235
mmlu.econometrics,5,12,114
mmlu.electrical_engineering,5,16,145
mmlu.elementary_mathematics,5,41,378
mmlu.formal_logic,5,14,126
mmlu.global_facts,5,10,100
mmlu.high_school_biology,5,32,310
mmlu.high_school_chemistry,5,22,203
mmlu.high_school_computer_science,5,9,100
mmlu.high_school_european_history,5,18,165
mmlu.high_school_geography,5,22,198
mmlu.high_school_government_and_politics,5,21,193
mmlu.high_school_macroeconomics,5,43,390
mmlu.high_school_mathematics,5,29,270
mmlu.high_school_microeconomics,5,26,238
mmlu.high_school_physics,5,17,151
mmlu.high_school_psychology,5,60,545
mmlu.high_school_statistics,5,23,216
mmlu.high_school_us_history,5,22,204
mmlu.high_school_world_history,5,26,237
mmlu.human_aging,5,23,223
mmlu.human_sexuality,5,12,131
mmlu.international_law,5,13,121
mmlu.jurisprudence,5,11,108
mmlu.logical_fallacies,5,18,163
mmlu.machine_learning,5,11,112
mmlu.management,5,11,103
mmlu.marketing,5,25,234
mmlu.medical_genetics,5,11,100
mmlu.miscellaneous,5,86,783
mmlu.moral_disputes,5,38,346
mmlu.moral_scenarios,5,100,895
mmlu.nutrition,5,33,306
mmlu.philosophy,5,34,311
mmlu.prehistory,5,35,324
mmlu.professional_accounting,5,31,282
mmlu.professional_law,5,170,1534
mmlu.professional_medicine,5,31,272
mmlu.professional_psychology,5,69,612
mmlu.public_relations,5,12,110
mmlu.security_studies,5,27,245
mmlu.sociology,5,22,201
mmlu.us_foreign_policy,5,11,100
mmlu.virology,5,18,166
mmlu.world_religions,5,19,171
boolq.multiple_choice,8923,504,3270
ai2_arc.arc_challenge,1119,299,1172
hellaswag,39530,375,10042
mmlu_pro.math,1351
mmlu_pro.physics,1299
mmlu_pro.chemistry,1132
mmlu_pro.law,1101
mmlu_pro.engineering,969
mmlu_pro.other,924
mmlu_pro.economics,844
mmlu_pro.health,818
mmlu_pro.psychology,798
mmlu_pro.business,789
mmlu_pro.biology,717
mmlu_pro.philosophy,499
mmlu_pro.computer_science,410
mmlu_pro.history,381
