template_name,enumerator,choices_separator,shuffle_choices
template_0,capitals,\s,False
template_1,capitals,\s,False
template_2,capitals,\s,False
template_3,capitals,\s,False
template_4,capitals,\s,False
template_5,capitals,\s,False
template_6,capitals,\s,False
template_7,capitals,\n,False
template_8,capitals,\n,False
template_9,capitals,\n,False
template_10,capitals,\n,False
template_11,capitals,\n,False
template_12,capitals,\n,False
template_13,capitals,\n,False
template_14,capitals,", ",False
template_15,capitals,", ",False
template_16,capitals,", ",False
template_17,capitals,", ",False
template_18,capitals,", ",False
template_19,capitals,", ",False
template_20,capitals,", ",False
template_21,capitals,; ,False
template_22,capitals,; ,False
template_23,capitals,; ,False
template_24,capitals,; ,False
template_25,capitals,; ,False
template_26,capitals,; ,False
template_27,capitals,; ,False
template_28,capitals, | ,False
template_29,capitals, | ,False
template_30,capitals, | ,False
template_31,capitals, | ,False
template_32,capitals, | ,False
template_33,capitals, | ,False
template_34,capitals, | ,False
template_35,capitals, OR ,False
template_36,capitals, OR ,False
template_37,capitals, OR ,False
template_38,capitals, OR ,False
template_39,capitals, OR ,False
template_40,capitals, OR ,False
template_41,capitals, OR ,False
template_42,capitals, or ,False
template_43,capitals, or ,False
template_44,capitals, or ,False
template_45,capitals, or ,False
template_46,capitals, or ,False
template_47,capitals, or ,False
template_48,capitals, or ,False
template_49,lowercase,\s,False
template_50,lowercase,\s,False
template_51,lowercase,\s,False
template_52,lowercase,\s,False
template_53,lowercase,\s,False
template_54,lowercase,\s,False
template_55,lowercase,\s,False
template_56,lowercase,\n,False
template_57,lowercase,\n,False
template_58,lowercase,\n,False
template_59,lowercase,\n,False
template_60,lowercase,\n,False
template_61,lowercase,\n,False
template_62,lowercase,\n,False
template_63,lowercase,", ",False
template_64,lowercase,", ",False
template_65,lowercase,", ",False
template_66,lowercase,", ",False
template_67,lowercase,", ",False
template_68,lowercase,", ",False
template_69,lowercase,", ",False
template_70,lowercase,; ,False
template_71,lowercase,; ,False
template_72,lowercase,; ,False
template_73,lowercase,; ,False
template_74,lowercase,; ,False
template_75,lowercase,; ,False
template_76,lowercase,; ,False
template_77,lowercase, | ,False
template_78,lowercase, | ,False
template_79,lowercase, | ,False
template_80,lowercase, | ,False
template_81,lowercase, | ,False
template_82,lowercase, | ,False
template_83,lowercase, | ,False
template_84,lowercase, OR ,False
template_85,lowercase, OR ,False
template_86,lowercase, OR ,False
template_87,lowercase, OR ,False
template_88,lowercase, OR ,False
template_89,lowercase, OR ,False
template_90,lowercase, OR ,False
template_91,lowercase, or ,False
template_92,lowercase, or ,False
template_93,lowercase, or ,False
template_94,lowercase, or ,False
template_95,lowercase, or ,False
template_96,lowercase, or ,False
template_97,lowercase, or ,False
template_98,numbers,\s,False
template_99,numbers,\s,False
template_100,numbers,\s,False
template_101,numbers,\s,False
template_102,numbers,\s,False
template_103,numbers,\s,False
template_104,numbers,\s,False
template_105,numbers,\n,False
template_106,numbers,\n,False
template_107,numbers,\n,False
template_108,numbers,\n,False
template_109,numbers,\n,False
template_110,numbers,\n,False
template_111,numbers,\n,False
template_112,numbers,", ",False
template_113,numbers,", ",False
template_114,numbers,", ",False
template_115,numbers,", ",False
template_116,numbers,", ",False
template_117,numbers,", ",False
template_118,numbers,", ",False
template_119,numbers,; ,False
template_120,numbers,; ,False
template_121,numbers,; ,False
template_122,numbers,; ,False
template_123,numbers,; ,False
template_124,numbers,; ,False
template_125,numbers,; ,False
template_126,numbers, | ,False
template_127,numbers, | ,False
template_128,numbers, | ,False
template_129,numbers, | ,False
template_130,numbers, | ,False
template_131,numbers, | ,False
template_132,numbers, | ,False
template_133,numbers, OR ,False
template_134,numbers, OR ,False
template_135,numbers, OR ,False
template_136,numbers, OR ,False
template_137,numbers, OR ,False
template_138,numbers, OR ,False
template_139,numbers, OR ,False
template_140,numbers, or ,False
template_141,numbers, or ,False
template_142,numbers, or ,False
template_143,numbers, or ,False
template_144,numbers, or ,False
template_145,numbers, or ,False
template_146,numbers, or ,False
template_147,roman,\s,False
template_148,roman,\s,False
template_149,roman,\s,False
template_150,roman,\s,False
template_151,roman,\s,False
template_152,roman,\s,False
template_153,roman,\s,False
template_154,roman,\n,False
template_155,roman,\n,False
template_156,roman,\n,False
template_157,roman,\n,False
template_158,roman,\n,False
template_159,roman,\n,False
template_160,roman,\n,False
template_161,roman,", ",False
template_162,roman,", ",False
template_163,roman,", ",False
template_164,roman,", ",False
template_165,roman,", ",False
template_166,roman,", ",False
template_167,roman,", ",False
template_168,roman,; ,False
template_169,roman,; ,False
