method,sample_size,gap,gap_std
Best Global Configuration,100,0.1304272870018891,0.03410196014193635
Best Global Configuration,200,0.12648120904105925,0.02257382741512558
Best Global Configuration,500,0.12293700682091749,0.02139902367249147
Best Global Configuration,1000,0.10732914270429314,0.0235968568403439
Best Global Configuration,2000,0.09919753911996788,0.026579513788023208
Best Global Configuration,5000,0.09661628995586466,0.0235399315229231
Best Global Configuration,10000,0.12264321983656412,0.032714561543445465
Best Global Configuration,20000,0.13706804761725497,0.03466664513512254
Best Global Configuration,50000,0.0590631782248597,0.029812496364009174
Best Global Configuration,100000,0.04864250367794569,0.023528899405826066
Best Global Configuration,200000,0.0365654674334626,0.014166105361577556
Best Global Configuration,500000,0.03791627658151664,0.015011387499462103
Best Global Configuration,1000000,0.023632472916945296,0.011834907571106048
Best Global Configuration,2000000,0.01332085060853283,0.002806191916416423
Best Global Configuration,5000000,0.012839374080513544,0.005830663550107738
Best Global Configuration,10000000,0.006834291828273375,0.006818412608112222
Best Global Configuration,20000000,0.003945432660157821,0.004011524153995819
Best Global Configuration,20414485,0.002180018724087207,0.0033601568824982403
Axis-wise Optimization,100,0.07238775584696928,0.034137663528808065
Axis-wise Optimization,200,0.06248307873272385,0.021817962267030366
Axis-wise Optimization,500,0.057389327270295554,0.026550048118553424
Axis-wise Optimization,1000,0.054219606794168776,0.037955598475710166
Axis-wise Optimization,2000,0.043486192013522926,0.023434997774323195
Axis-wise Optimization,5000,0.036378226561455104,0.02096131998061188
Axis-wise Optimization,10000,0.03280727564531226,0.01950519699425647
Axis-wise Optimization,20000,0.023418483348936724,0.007482813244488018
Axis-wise Optimization,50000,0.017854754580714182,0.0068089093332874984
Axis-wise Optimization,100000,0.013320850608532808,0.0056780998807786035
Axis-wise Optimization,200000,0.013441219740537635,0.00559145325852262
Axis-wise Optimization,500000,0.011047211448441863,0.003614143801857349
Axis-wise Optimization,1000000,0.009495787080379792,0.0
Axis-wise Optimization,2000000,0.009495787080379792,0.0
Axis-wise Optimization,5000000,0.009495787080379792,0.0
Axis-wise Optimization,10000000,0.009495787080379792,0.0
Axis-wise Optimization,20000000,0.009495787080379792,0.0
Axis-wise Optimization,20414485,0.009495787080379792,0.0
Random Baseline,100,0.08130965858793145,0.033165240373892825
Random Baseline,200,0.09482251496588112,0.04245224387155956
Random Baseline,500,0.07486960010699477,0.04253378271359712
Random Baseline,1000,0.087618188784374,0.03927056036160695
Random Baseline,2000,0.06661406125537186,0.034625602215130044
Random Baseline,5000,0.08608760530422135,0.05198639659206349
Random Baseline,10000,0.09921931474026194,0.05180606167102902
Random Baseline,20000,0.09843185523596791,0.042949848430752134
Random Baseline,50000,0.09853302779329655,0.04811498545300551
Random Baseline,100000,0.08760147353067807,0.03602555686468648
Random Baseline,200000,0.09641812544838117,0.03655128149139026
Random Baseline,500000,0.10580482519862403,0.044619009413223165
Random Baseline,1000000,0.09795372475591815,0.046930821536940184
Random Baseline,2000000,0.09186906881138514,0.04067267372727158
Random Baseline,5000000,0.08190082125503866,0.04988927115277906
Random Baseline,10000000,0.0774775979670991,0.04852113367137291
Random Baseline,20000000,0.09081357649692685,0.04191395393220462
Random Baseline,20414485,0.07688912665507555,0.03252472325221775
Regression Predictor,100,0.05669919875821985,0.0326813556545862
Regression Predictor,200,0.055764013293980355,0.022395350023691602
Regression Predictor,500,0.052096242251520875,0.02119266130973834
Regression Predictor,1000,0.049752574561990094,0.023162347508167945
Regression Predictor,2000,0.04760484768455213,0.016458474117779093
Regression Predictor,5000,0.03600374481744014,0.016246370532093043
Regression Predictor,10000,0.036980072221479185,0.013704661178858346
Regression Predictor,20000,0.023070750300922815,0.003521417826850774
Regression Predictor,50000,0.01855022067674199,0.0069211572490487155
Regression Predictor,100000,0.015246756720609845,0.005642643602976886
Regression Predictor,200000,0.014056439748562233,0.00672836052665039
Regression Predictor,500000,0.011047211448441863,0.003614143801857349
Regression Predictor,1000000,0.009897017520395845,0.0012036913200481614
Regression Predictor,2000000,0.009495787080379792,0.0
Regression Predictor,5000000,0.009495787080379792,0.0
Regression Predictor,10000000,0.009495787080379792,0.0
Regression Predictor,20000000,0.009495787080379792,0.0
Regression Predictor,20414485,0.009495787080379792,0.0
