method,sample_size,gap,gap_std,auc
Best Global Configuration,100,0.20588724439478243,0.04175635620978456,0.10362961766711927
Best Global Configuration,200,0.21134802353288612,0.03840448384750607,0.10362961766711927
Best Global Configuration,500,0.18711005561844762,0.023134770829246226,0.10362961766711927
Best Global Configuration,1000,0.1938532077893304,0.02635354819273765,0.10362961766711927
Best Global Configuration,2000,0.2015938495005604,0.044791619888469435,0.10362961766711927
Best Global Configuration,5000,0.1693827828911749,0.031088450425126833,0.10362961766711927
Best Global Configuration,10000,0.17665551016390216,0.050317246854408304,0.10362961766711927
Best Global Configuration,20000,0.17504305272269818,0.02735269538345805,0.10362961766711927
Best Global Configuration,50000,0.17867793329537343,0.024746589483730864,0.10362961766711927
Best Global Configuration,100000,0.03772014329445178,0.03019001436091008,0.10362961766711927
Best Global Configuration,200000,0.029183218663210053,0.023623612144402322,0.10362961766711927
Best Global Configuration,500000,0.01996480779642664,0.008623534670400458,0.10362961766711927
Best Global Configuration,1000000,0.014750053407336405,0.010191611140287205,0.10362961766711927
Best Global Configuration,2000000,0.011775852734163494,0.008681076534733299,0.10362961766711927
Best Global Configuration,5000000,0.014491614665037778,0.009855693090112397,0.10362961766711927
Best Global Configuration,10000000,0.007008737893280404,0.005910812763627793,0.10362961766711927
Best Global Configuration,20000000,0.005364800970851314,0.0031722982637417308,0.10362961766711927
Best Global Configuration,40632935,0.0019600102267941953,0.0016678217182470013,0.10362961766711927
Axis-wise Selection,100,0.044398712174777824,0.05986523412770941,0.011321980308245596
Axis-wise Selection,200,0.02239652745963656,0.005645796369389564,0.011321980308245596
Axis-wise Selection,500,0.017000541418516524,0.0053406621321989926,0.011321980308245596
Axis-wise Selection,1000,0.02527053105901258,0.014887493077037019,0.011321980308245596
Axis-wise Selection,2000,0.01761892844580263,0.008177446056267586,0.011321980308245596
Axis-wise Selection,5000,0.012236058473199774,0.0071115172723066975,0.011321980308245596
Axis-wise Selection,10000,0.00872030874737969,0.005991949816669352,0.011321980308245596
Axis-wise Selection,20000,0.008779511936658668,0.0047465475631420055,0.011321980308245596
Axis-wise Selection,50000,0.006158635625338383,0.0034695433893191453,0.011321980308245596
Axis-wise Selection,100000,0.0063481321061180426,0.004709271359465108,0.011321980308245596
Axis-wise Selection,200000,0.005916320471172942,0.0022655981471019658,0.011321980308245596
Axis-wise Selection,500000,0.005549539794260971,0.002142711233925806,0.011321980308245596
Axis-wise Selection,1000000,0.0059691391445587435,0.0018234735307777195,0.011321980308245596
Axis-wise Selection,2000000,0.005820249052517612,0.0022560007200866862,0.011321980308245596
Axis-wise Selection,5000000,0.005536004331348143,0.0024873231575934522,0.011321980308245596
Axis-wise Selection,10000000,0.006131564699512748,0.0024929148042508037,0.011321980308245596
Axis-wise Selection,20000000,0.007877639415268024,0.00037216370018591636,0.011321980308245596
Axis-wise Selection,40632935,0.008040064970222005,0.0002436383324309732,0.011321980308245596
Random Baseline,100,0.08255728624778505,0.0725355507142828,0.08162351755823247
Random Baseline,200,0.11744654088406867,0.05774020006822351,0.08162351755823247
Random Baseline,500,0.04686150073741073,0.041745397067519646,0.08162351755823247
Random Baseline,1000,0.09970625225446565,0.06364268774174757,0.08162351755823247
Random Baseline,2000,0.07485924032543469,0.04454319027104163,0.08162351755823247
Random Baseline,5000,0.0804052700343021,0.07830366521511824,0.08162351755823247
Random Baseline,10000,0.08068931189158898,0.0481292675011745,0.08162351755823247
Random Baseline,20000,0.08520849008628573,0.07288938863655575,0.08162351755823247
Random Baseline,50000,0.06140183985264611,0.03959304984707821,0.08162351755823247
Random Baseline,100000,0.08085683329164378,0.0652492760442341,0.08162351755823247
