method,sample_size,gap,gap_std
Best Global Configuration,100,0.09778590713476473,0.021341017005695545
Best Global Configuration,200,0.09741409110042692,0.02070387172083271
Best Global Configuration,500,0.10845128516939806,0.010157070047759056
Best Global Configuration,1000,0.08271538890436067,0.0328822342566308
Best Global Configuration,2000,0.06378048321437009,0.028333965295644813
Best Global Configuration,5000,0.07267291554113206,0.03134338058592868
Best Global Configuration,10000,0.07351968996522593,0.031790783233735825
Best Global Configuration,20000,0.10662241100374788,0.021019905202325717
Best Global Configuration,50000,0.07573774649688923,0.021290069879542323
Best Global Configuration,100000,0.06181331615483528,0.022804646381843853
Best Global Configuration,200000,0.0411337938869206,0.02429193490135624
Best Global Configuration,500000,0.024066320832873224,0.01577895325787433
Best Global Configuration,1000000,0.023308289085755135,0.011946570198857238
Best Global Configuration,2000000,0.012137728724867274,0.00670776896103466
Best Global Configuration,5000000,0.0037210562199409326,0.005555953459170536
Best Global Configuration,10000000,0.000765345958950664,0.0016778513061609227
Best Global Configuration,20000000,0.0007221878511987634,0.001549164198787096
Best Global Configuration,26845050,0.0007221878511987634,0.001549164198787096
Axis-wise Optimization,100,0.09289935502759199,0.015176762588653038
Axis-wise Optimization,200,0.08257314012097909,0.021986422068841684
Axis-wise Optimization,500,0.08124812820113567,0.020917708996902033
Axis-wise Optimization,1000,0.07521737238750861,0.021705913679205352
Axis-wise Optimization,2000,0.0731331713486548,0.020675416329422238
Axis-wise Optimization,5000,0.06353352520178149,0.021825508004736545
Axis-wise Optimization,10000,0.035721577263578996,0.026662925145562264
Axis-wise Optimization,20000,0.03373768652627414,0.025203361676461533
Axis-wise Optimization,50000,0.01499560059925969,0.011079651837122003
Axis-wise Optimization,100000,0.015139160641433553,0.007170443607657142
Axis-wise Optimization,200000,0.013879163160092328,0.0016226200556167516
Axis-wise Optimization,500000,0.015116061781126056,0.0016740517265243684
Axis-wise Optimization,1000000,0.014441545955354452,0.0012012340484739092
Axis-wise Optimization,2000000,0.014041134605863148,0.0
Axis-wise Optimization,5000000,0.014041134605863148,0.0
Axis-wise Optimization,10000000,0.014041134605863148,0.0
Axis-wise Optimization,20000000,0.014041134605863148,0.0
Axis-wise Optimization,26845050,0.014041134605863148,0.0
Random Baseline,100,0.08477317857985518,0.02078387614718385
Random Baseline,200,0.09694769300659364,0.02372163133280091
Random Baseline,500,0.08110234392512512,0.026467225087284107
Random Baseline,1000,0.09128248476987504,0.02227229836530459
Random Baseline,2000,0.09404504627779024,0.019203088615936482
Random Baseline,5000,0.09258489547078548,0.026386928640030973
Random Baseline,10000,0.09080375933239496,0.021731895385396556
Random Baseline,20000,0.09792676923377452,0.01612167247926854
Random Baseline,50000,0.10586495644853511,0.01261290049818423
Random Baseline,100000,0.07750518016421067,0.027381162649881798
Random Baseline,200000,0.09131645122219659,0.030480713018593838
Random Baseline,500000,0.07643481869063759,0.027314969550686827
Random Baseline,1000000,0.09018793785169389,0.022696169910527548
Random Baseline,2000000,0.08862302582501007,0.02738269159772573
Random Baseline,5000000,0.10520197332073658,0.018901611110086574
Random Baseline,10000000,0.09024544014684474,0.031724996092170686
Random Baseline,20000000,0.08417931446742033,0.040831134366778606
Random Baseline,26845050,0.08820503691063272,0.016876803818500166
Regression Predictor,100,0.08414266706582155,0.024920000917404688
Regression Predictor,200,0.07499086868150129,0.031177377814207426
Regression Predictor,500,0.07390162498982475,0.0263346528071475
Regression Predictor,1000,0.07081940836225567,0.020269515003999993
Regression Predictor,2000,0.06527664102661196,0.027802655743662856
Regression Predictor,5000,0.06539207492114855,0.026748125138349024
Regression Predictor,10000,0.04044264631288814,0.024368657527807085
Regression Predictor,20000,0.03432986713162036,0.023629216391221203
Regression Predictor,50000,0.01908378218762981,0.012817234194101053
Regression Predictor,100000,0.014561584243176207,0.0071456726021719335
Regression Predictor,200000,0.013478751810601024,0.0008599788937604782
Regression Predictor,500000,0.014715650431634753,0.0013782791908634106
Regression Predictor,1000000,0.014441545955354452,0.0012012340484739092
Regression Predictor,2000000,0.014041134605863148,0.0
Regression Predictor,5000000,0.014041134605863148,0.0
Regression Predictor,10000000,0.014041134605863148,0.0
Regression Predictor,20000000,0.014041134605863148,0.0
Regression Predictor,26845050,0.014041134605863148,0.0
