method,sample_size,gap,gap_std,auc
Best Global Configuration,100,0.13970028233481557,0.020648125827263223,0.06402073447071284
Best Global Configuration,200,0.11990412806304049,0.016051561863404493,0.06402073447071284
Best Global Configuration,500,0.1055465361425898,0.018532995149116695,0.06402073447071284
Best Global Configuration,1000,0.10868950792271552,0.028918633108952135,0.06402073447071284
Best Global Configuration,2000,0.09193144987804522,0.010699902287242945,0.06402073447071284
Best Global Configuration,5000,0.09641461499571471,0.026642234241568846,0.06402073447071284
Best Global Configuration,10000,0.08667053578369242,0.005925717746969154,0.06402073447071284
Best Global Configuration,20000,0.11680385625361392,0.03900930350300194,0.06402073447071284
Best Global Configuration,50000,0.1176603698151919,0.035004786497954604,0.06402073447071284
Best Global Configuration,100000,0.03869010584194289,0.027147463116231594,0.06402073447071284
Best Global Configuration,200000,0.03264627478065017,0.01927447513078513,0.06402073447071284
Best Global Configuration,500000,0.027710560846385672,0.017146848570477474,0.06402073447071284
Best Global Configuration,1000000,0.019518137520303173,0.010440361525933155,0.06402073447071284
Best Global Configuration,2000000,0.014970221981591748,0.007938338405473193,0.06402073447071284
Best Global Configuration,5000000,0.011036324425042404,0.006187011401234982,0.06402073447071284
Best Global Configuration,10000000,0.006754195993502954,0.004598652359862738,0.06402073447071284
Best Global Configuration,20000000,0.007335181422721914,0.005552504087703977,0.06402073447071284
Best Global Configuration,40528410,0.004250135354629109,0.0032134682724589193,0.06402073447071284
Axis-wise Optimization,100,0.04456179848614526,0.026509074023681498,0.014040216590706424
Axis-wise Optimization,200,0.04021317358006521,0.015065592587071701,0.014040216590706424
Axis-wise Optimization,500,0.03241743367623171,0.015501060094715524,0.014040216590706424
Axis-wise Optimization,1000,0.027432059702237627,0.012380121569791284,0.014040216590706424
Axis-wise Optimization,2000,0.017485492836456517,0.013496823549758473,0.014040216590706424
Axis-wise Optimization,5000,0.01540976050996749,0.008415490958068832,0.014040216590706424
Axis-wise Optimization,10000,0.014953536663423677,0.008471645871063782,0.014040216590706424
Axis-wise Optimization,20000,0.01641230935638315,0.009074910419938579,0.014040216590706424
Axis-wise Optimization,50000,0.010965114164423612,0.0057416969293764206,0.014040216590706424
Axis-wise Optimization,100000,0.008974011911207341,0.004864130137318687,0.014040216590706424
Axis-wise Optimization,200000,0.007214401732539228,0.005413525271100913,0.014040216590706424
Axis-wise Optimization,500000,0.0044802382241472425,0.003356385438825005,0.014040216590706424
Axis-wise Optimization,1000000,0.004223064428803447,0.0034294707051037605,0.014040216590706424
Axis-wise Optimization,2000000,0.0032214401732538977,0.0002481091334572606,0.014040216590706424
Axis-wise Optimization,5000000,0.0032214401732538977,0.0002481091334572606,0.014040216590706424
Axis-wise Optimization,10000000,0.003329723876556545,0.00016242555495397105,0.014040216590706424
Axis-wise Optimization,20000000,0.0032755820249052215,0.00021656740660529474,0.014040216590706424
Axis-wise Optimization,40528410,0.003329723876556545,0.00016242555495397105,0.014040216590706424
Random Baseline,100,0.058170423226789184,0.029525533677163037,0.06965109558513911
Random Baseline,200,0.05480558232931283,0.04856135377473451,0.06965109558513911
Random Baseline,500,0.05649648787446944,0.025269848566873226,0.06965109558513911
Random Baseline,1000,0.0862705022346457,0.04103531112891349,0.06965109558513911
Random Baseline,2000,0.07146388067967176,0.033095037339908505,0.06965109558513911
Random Baseline,5000,0.06610162882469602,0.02039678959453234,0.06965109558513911
Random Baseline,10000,0.07087957771125619,0.04473656158357731,0.06965109558513911
Random Baseline,20000,0.07377187588935141,0.04585073421748308,0.06965109558513911
Random Baseline,50000,0.07378323184322652,0.038454783389455675,0.06965109558513911
Random Baseline,100000,0.05595495349904813,0.020684963109040142,0.06965109558513911
Random Baseline,200000,0.07382008243729686,0.04471806698646994,0.06965109558513911
Random Baseline,500000,0.07408955325122309,0.03853988271054265,0.06965109558513911
Random Baseline,1000000,0.06819713332128233,0.036753227018774426,0.06965109558513911
Random Baseline,2000000,0.06314805583164011,0.034305114875574985,0.06965109558513911
Random Baseline,5000000,0.07404676704914318,0.04312748927265325,0.06965109558513911
Random Baseline,10000000,0.0947281642808618,0.051820345575753705,0.06965109558513911
Random Baseline,20000000,0.06451799213813418,0.03453005280084022,0.06965109558513911
Random Baseline,40528410,0.07071661161364078,0.035684352703684176,0.06965109558513911
Regression Predictor,100,0.06980438557757418,0.038633784543418946,0.016869811543615564
Regression Predictor,200,0.050065723384255544,0.03222796491385506,0.016869811543615564
Regression Predictor,500,0.03415129074934676,0.013232107444607321,0.016869811543615564
Regression Predictor,1000,0.03518024484344337,0.02787559511358627,0.016869811543615564
Regression Predictor,2000,0.025445479111940377,0.020948824544747467,0.016869811543615564
Regression Predictor,5000,0.01663646890136079,0.009243104762335001,0.016869811543615564
Regression Predictor,10000,0.029125990941491726,0.010122266546867995,0.016869811543615564
Regression Predictor,20000,0.012371413102328071,0.008283703302652951,0.016869811543615564
Regression Predictor,50000,0.009976468203994115,0.006289954394405052,0.016869811543615564
Regression Predictor,100000,0.009136437466161319,0.005769109004587786,0.016869811543615564
Regression Predictor,200000,0.007931781266919301,0.005569707303418559,0.016869811543615564
Regression Predictor,500000,0.004723876556578211,0.004988492974302956,0.016869811543615564
Regression Predictor,1000000,0.004168922577152123,0.0034465233092457457,0.016869811543615564
Regression Predictor,2000000,0.0031131564699512504,0.00027070925825661835,0.016869811543615564
