method,sample_size,gap,gap_std,auc
Best Global Configuration,100,0.1181535776684823,0.029581247172024788,0.07120206839228463
Best Global Configuration,200,0.12456113587749014,0.03026905143040567,0.07120206839228463
Best Global Configuration,500,0.12608581154955112,0.030341003664055802,0.07120206839228463
Best Global Configuration,1000,0.14616999595444297,0.032452963376110276,0.07120206839228463
Best Global Configuration,2000,0.121741076234016,0.03679412874925592,0.07120206839228463
Best Global Configuration,5000,0.09824302364686704,0.03388496188557221,0.07120206839228463
Best Global Configuration,10000,0.09844087409604171,0.019133401118098213,0.07120206839228463
Best Global Configuration,20000,0.11770869009559706,0.02677671805124256,0.07120206839228463
Best Global Configuration,50000,0.061000401230439996,0.02657779091906027,0.07120206839228463
Best Global Configuration,100000,0.04400744593121746,0.01529868802667175,0.07120206839228463
Best Global Configuration,200000,0.03316583374534207,0.00967975674898823,0.07120206839228463
Best Global Configuration,500000,0.028808345593152325,0.011274694352684314,0.07120206839228463
Best Global Configuration,1000000,0.03185769693727429,0.009172267880764072,0.07120206839228463
Best Global Configuration,2000000,0.019009978822141727,0.00627650002299827,0.07120206839228463
Best Global Configuration,5000000,0.015607864116624298,0.00719610768182319,0.07120206839228463
Best Global Configuration,10000000,0.008600541547782803,0.00858448000569315,0.07120206839228463
Best Global Configuration,20000000,0.0031688664617103733,0.005326713495110134,0.07120206839228463
Best Global Configuration,20385726,0.0016868394149450517,0.003579825435327958,0.07120206839228463
Axis-wise Selection,100,0.07955344809748162,0.03325681845352257,0.02693333752179601
Axis-wise Selection,200,0.06519106109125503,0.0336450197619722,0.02693333752179601
Axis-wise Selection,500,0.06875752307075027,0.03467070851599418,0.02693333752179601
Axis-wise Selection,1000,0.05019392804600773,0.017142142406077875,0.02693333752179601
Axis-wise Selection,2000,0.03663233917346526,0.010908656403921812,0.02693333752179601
Axis-wise Selection,5000,0.033850474789354004,0.01301914981747118,0.02693333752179601
Axis-wise Selection,10000,0.03207701847728631,0.011956215627925638,0.02693333752179601
Axis-wise Selection,20000,0.02862110472114482,0.008052201680012657,0.02693333752179601
Axis-wise Selection,50000,0.027302759887637102,0.00993813533862997,0.02693333752179601
Axis-wise Selection,100000,0.017466344824963047,0.01461936231217976,0.02693333752179601
Axis-wise Selection,200000,0.016644793978385176,0.010720604059390904,0.02693333752179601
Axis-wise Selection,500000,0.006847666176273903,0.010514619457953532,0.02693333752179601
Axis-wise Selection,1000000,0.0059776388326519105,0.012222215940729562,0.02693333752179601
Axis-wise Selection,2000000,0.0,0.0,0.02693333752179601
Axis-wise Selection,5000000,0.0,0.0,0.02693333752179601
Axis-wise Selection,10000000,0.0,0.0,0.02693333752179601
Axis-wise Selection,20000000,0.0,0.0,0.02693333752179601
Axis-wise Selection,20385726,0.0,0.0,0.02693333752179601
Random Baseline,100,0.09493470146485257,0.025796576301423933,0.08580565939682595
Random Baseline,200,0.06355242516887312,0.029979363267024862,0.08580565939682595
Random Baseline,500,0.05923968694883913,0.015692127065348026,0.08580565939682595
Random Baseline,1000,0.07076367527083052,0.044947697648496814,0.08580565939682595
Random Baseline,2000,0.08070320582197708,0.03224395144680899,0.08580565939682595
Random Baseline,5000,0.0802628613666581,0.04729131238227073,0.08580565939682595
Random Baseline,10000,0.09165943943550489,0.04329797901548896,0.08580565939682595
Random Baseline,20000,0.09256481658155666,0.0340002544184617,0.08580565939682595
Random Baseline,50000,0.09611217636838693,0.05243427635808615,0.08580565939682595
Random Baseline,100000,0.09891578884359221,0.048593947515277174,0.08580565939682595
Random Baseline,200000,0.1173699843681246,0.03921957846107084,0.08580565939682595
Random Baseline,500000,0.08986373409586064,0.03667786751774443,0.08580565939682595
Random Baseline,1000000,0.0747764927441216,0.04258632546873079,0.08580565939682595
Random Baseline,2000000,0.08731876001969914,0.04173635089335734,0.08580565939682595
Random Baseline,5000000,0.07303731443092147,0.04023471820138505,0.08580565939682595
Random Baseline,10000000,0.09934375589728157,0.037110284359593876,0.08580565939682595
Random Baseline,20000000,0.10531253535163163,0.0370218934138887,0.08580565939682595
Random Baseline,20385726,0.07974312241450798,0.04910168863797917,0.08580565939682595
Regression Predictor,100,0.0658831042824401,0.0311946912616849,0.025012276404841022
Regression Predictor,200,0.04862938314704153,0.022830240820198154,0.025012276404841022
Regression Predictor,500,0.05602839259647587,0.024925439192027072,0.025012276404841022
Regression Predictor,1000,0.043280679157984975,0.019809619065524434,0.025012276404841022
Regression Predictor,2000,0.04173502046122525,0.016539377345368908,0.025012276404841022
Regression Predictor,5000,0.03546207329881518,0.016493604767311758,0.025012276404841022
Regression Predictor,10000,0.042693173605302885,0.021466304675680642,0.025012276404841022
Regression Predictor,20000,0.026117576063750723,0.008051998125288269,0.025012276404841022
Regression Predictor,50000,0.027718059399240914,0.010030235371528896,0.025012276404841022
Regression Predictor,100000,0.020307975883357317,0.014654853243880817,0.025012276404841022
Regression Predictor,200000,0.015774766634763182,0.013069209222752138,0.025012276404841022
Regression Predictor,500000,0.004426909188177075,0.008902223626302466,0.025012276404841022
Regression Predictor,1000000,0.004841513976193657,0.009683027952387315,0.025012276404841022
Regression Predictor,2000000,0.0,0.0,0.025012276404841022
Regression Predictor,5000000,0.0,0.0,0.025012276404841022
Regression Predictor,10000000,0.0,0.0,0.025012276404841022
Regression Predictor,20000000,0.0,0.0,0.025012276404841022
Regression Predictor,20385726,0.0,0.0,0.025012276404841022
