method,sample_size,gap,gap_std,auc
Best Global Configuration,100,0.16587253822441422,0.03569113406768982,0.08782257916752992
Best Global Configuration,200,0.161570795343923,0.02364578934264764,0.08782257916752992
Best Global Configuration,500,0.1580394945656182,0.027302209716752852,0.08782257916752992
Best Global Configuration,1000,0.16600302269315,0.03750583812023667,0.08782257916752992
Best Global Configuration,2000,0.15051988142964173,0.0343214492768487,0.08782257916752992
Best Global Configuration,5000,0.13448082955143983,0.024001879702195722,0.08782257916752992
Best Global Configuration,10000,0.13997936716581977,0.028265785091433005,0.08782257916752992
Best Global Configuration,20000,0.1430794431619297,0.02295260208428841,0.08782257916752992
Best Global Configuration,50000,0.13733192661290244,0.024905513472898915,0.08782257916752992
Best Global Configuration,100000,0.06812987520318362,0.037710970060098305,0.08782257916752992
Best Global Configuration,200000,0.0376117480905925,0.026323291517617965,0.08782257916752992
Best Global Configuration,500000,0.034732765995530414,0.01792380673606585,0.08782257916752992
Best Global Configuration,1000000,0.02392780701258293,0.012820085504257155,0.08782257916752992
Best Global Configuration,2000000,0.01604933597658088,0.007987170264240364,0.08782257916752992
Best Global Configuration,5000000,0.011409340993621554,0.007767902709460087,0.08782257916752992
Best Global Configuration,10000000,0.008752123857123461,0.006292766552570047,0.08782257916752992
Best Global Configuration,20000000,0.009056299288746262,0.004327597753358886,0.08782257916752992
Best Global Configuration,43904464,0.006006632493930098,0.005694182788068079,0.08782257916752992
Axis-wise Selection,100,0.06228681934980686,0.02163763567137618,0.022356072609870388
Axis-wise Selection,200,0.06560909392130379,0.025343990054021482,0.022356072609870388
Axis-wise Selection,500,0.048494506795905355,0.023176478612046542,0.022356072609870388
Axis-wise Selection,1000,0.036901657597054424,0.015566558087973406,0.022356072609870388
Axis-wise Selection,2000,0.033292747176290396,0.013083128778769456,0.022356072609870388
Axis-wise Selection,5000,0.022458728104270343,0.008632161831184851,0.022356072609870388
Axis-wise Selection,10000,0.03115447084419305,0.011355687910926983,0.022356072609870388
Axis-wise Selection,20000,0.027387887877081428,0.011691445911908599,0.022356072609870388
Axis-wise Selection,50000,0.016689955102928124,0.008400379925699093,0.022356072609870388
Axis-wise Selection,100000,0.01577525200431117,0.01079721211569899,0.022356072609870388
Axis-wise Selection,200000,0.006901720528660271,0.005185561914011685,0.022356072609870388
Axis-wise Selection,500000,0.007129326350474019,0.0052805951257428605,0.022356072609870388
Axis-wise Selection,1000000,0.007069334497494839,0.0041764213866517935,0.022356072609870388
Axis-wise Selection,2000000,0.005904895234594332,0.00435786761329156,0.022356072609870388
Axis-wise Selection,5000000,0.0062340258695185,0.0020780086231728333,0.022356072609870388
Axis-wise Selection,10000000,0.006926695410576111,0.0,0.022356072609870388
Axis-wise Selection,20000000,0.006926695410576111,0.0,0.022356072609870388
Axis-wise Selection,43904464,0.006926695410576111,0.0,0.022356072609870388
Random Baseline,100,0.12439376726313585,0.05090805179416256,0.1262975128835909
Random Baseline,200,0.11411683853299284,0.06303765916685947,0.1262975128835909
Random Baseline,500,0.143590070211111,0.06060602011602874,0.1262975128835909
Random Baseline,1000,0.0883761430070654,0.053625118162434544,0.1262975128835909
Random Baseline,2000,0.11021295645353893,0.04903853761845633,0.1262975128835909
Random Baseline,5000,0.11207317316735906,0.05712303430995599,0.1262975128835909
Random Baseline,10000,0.13628043296000925,0.0850567685878381,0.1262975128835909
Random Baseline,20000,0.13840062020570298,0.08424475281344054,0.1262975128835909
Random Baseline,50000,0.12825578379591712,0.06698290385967344,0.1262975128835909
Random Baseline,100000,0.1501268168782623,0.07217115530687883,0.1262975128835909
Random Baseline,200000,0.11895721056222094,0.0656440513406579,0.1262975128835909
Random Baseline,500000,0.18330133672304466,0.05733699552909551,0.1262975128835909
Random Baseline,1000000,0.11719185910624166,0.04967782149939288,0.1262975128835909
Random Baseline,2000000,0.11891709154107048,0.05615101532372433,0.1262975128835909
Random Baseline,5000000,0.11730077960396437,0.0778274165870451,0.1262975128835909
Random Baseline,10000000,0.12139261459032853,0.05238883550814036,0.1262975128835909
Random Baseline,20000000,0.11711949955241933,0.04868023349449119,0.1262975128835909
Random Baseline,43904464,0.13185125835239206,0.04773259345613073,0.1262975128835909
Regression Predictor,100,0.06446828331048081,0.03634235375550982,0.023031094906140363
Regression Predictor,200,0.06042468500951813,0.027364691738425127,0.023031094906140363
Regression Predictor,500,0.05920589791127282,0.02924775661267732,0.023031094906140363
Regression Predictor,1000,0.0367086221774567,0.021621455309132058,0.023031094906140363
Regression Predictor,2000,0.038933162816419696,0.016195746765376193,0.023031094906140363
Regression Predictor,5000,0.029921663772261232,0.01302834209709034,0.023031094906140363
Regression Predictor,10000,0.034672692681290286,0.0077578796531119,0.023031094906140363
Regression Predictor,20000,0.02044644296380067,0.014075449094394265,0.023031094906140363
Regression Predictor,50000,0.010384985755779641,0.00843201006688134,0.023031094906140363
Regression Predictor,100000,0.012479188323278757,0.006920637395869574,0.023031094906140363
Regression Predictor,200000,0.007436556287488727,0.005668888230210639,0.023031094906140363
Regression Predictor,500000,0.007350226169688734,0.004552228931011906,0.023031094906140363
Regression Predictor,1000000,0.007350226169688734,0.004552228931011906,0.023031094906140363
Regression Predictor,2000000,0.008369232883798561,0.0036051328592662294,0.023031094906140363
Regression Predictor,5000000,0.0068184645948666574,0.0028638930249725238,0.023031094906140363
Regression Predictor,10000000,0.007511134135924269,0.0017533161760444728,0.023031094906140363
Regression Predictor,20000000,0.006926695410576111,0.0,0.023031094906140363
Regression Predictor,43904464,0.006926695410576111,0.0,0.023031094906140363
