method,sample_size,gap,gap_std
Best Global Configuration,100,0.109919719968169,0.04577781108017352
Best Global Configuration,200,0.08335230853802317,0.026871642968386063
Best Global Configuration,500,0.08943365460484558,0.031581288809241895
Best Global Configuration,1000,0.07217636867209268,0.011100367484435533
Best Global Configuration,2000,0.07093125976516443,0.011483933966434896
Best Global Configuration,5000,0.07248192060398913,0.011236196884657853
Best Global Configuration,10000,0.07328327447408745,0.01578822999680095
Best Global Configuration,20000,0.082283190899895,0.02626565109546689
Best Global Configuration,50000,0.07764802171844565,0.03881331363930164
Best Global Configuration,100000,0.04665778847800499,0.021355954234735942
Best Global Configuration,200000,0.034065202400200716,0.021527080781395185
Best Global Configuration,500000,0.024353609404884152,0.015550250141398103
Best Global Configuration,1000000,0.023939349596203786,0.007078213660100421
Best Global Configuration,2000000,0.01978345978986466,0.01088269059747533
Best Global Configuration,5000000,0.006803239660548688,0.007170404355095828
Best Global Configuration,10000000,0.006339688062238275,0.005439581383147002
Best Global Configuration,20000000,0.004616239097214892,0.005544848733767328
Best Global Configuration,22087162,0.0030570599509233687,0.003929149676693524
Axis-wise Optimization,100,0.06683434747258295,0.043507062917220514
Axis-wise Optimization,200,0.04732987758340336,0.021666373872958663
Axis-wise Optimization,500,0.030172650350261638,0.011030117426868791
Axis-wise Optimization,1000,0.04107624182583905,0.018046996335296415
Axis-wise Optimization,2000,0.035979226940995465,0.010293024035460606
Axis-wise Optimization,5000,0.027894973777802562,0.008385479251721738
Axis-wise Optimization,10000,0.03185758697519325,0.009186574456002938
Axis-wise Optimization,20000,0.028152783895646794,0.014532313385323297
Axis-wise Optimization,50000,0.030018336273566492,0.006846941150033543
Axis-wise Optimization,100000,0.022488633951039793,0.008384399458387214
Axis-wise Optimization,200000,0.017823031993555248,0.007995732830188151
Axis-wise Optimization,500000,0.02387028096155596,0.003175230932204992
Axis-wise Optimization,1000000,0.023900635843839245,0.0032431176951767675
Axis-wise Optimization,2000000,0.02358532057169697,0.0033193191643345185
Axis-wise Optimization,5000000,0.023442840376767478,0.003380069824400152
Axis-wise Optimization,10000000,0.02231938364599046,0.0014449561023675743
Axis-wise Optimization,20000000,0.022004068373848183,0.001261261088569099
Axis-wise Optimization,22087162,0.022004068373848183,0.001261261088569099
Random Baseline,100,0.0833829120311274,0.048298991780530424
Random Baseline,200,0.09517321424860445,0.04710348075413652
Random Baseline,500,0.08152264192354514,0.04963775968201429
Random Baseline,1000,0.08091065878156774,0.052477484202096046
Random Baseline,2000,0.08210613417709745,0.043272615237962886
Random Baseline,5000,0.08155521662465502,0.03951377698217804
Random Baseline,10000,0.08222134680435851,0.04490842234851
Random Baseline,20000,0.11234300712654995,0.053453636271088095
Random Baseline,50000,0.09176785684120825,0.038056478963368674
Random Baseline,100000,0.10290679650406243,0.04880177829452963
Random Baseline,200000,0.0862470908791664,0.04927651522705611
Random Baseline,500000,0.08269169296278023,0.047547052256305546
Random Baseline,1000000,0.07152218884584757,0.03999420711702016
Random Baseline,2000000,0.09878953656298092,0.054469519216145644
Random Baseline,5000000,0.11366401210010924,0.04677243336439669
Random Baseline,10000000,0.09962739428601392,0.05118647478349123
Random Baseline,20000000,0.09461894676532358,0.05536892798484021
Random Baseline,22087162,0.05938489428576869,0.047441006937002525
Regression Predictor,100,0.08577333346941056,0.050414896734286355
Regression Predictor,200,0.04822176424410876,0.024174930013199168
Regression Predictor,500,0.03685632505408473,0.01861789633009917
Regression Predictor,1000,0.04368975580803114,0.02261864171745298
Regression Predictor,2000,0.038469130881416826,0.019555515129131965
Regression Predictor,5000,0.03298468051529256,0.017460870359390163
Regression Predictor,10000,0.025398099954781834,0.012220404735866523
Regression Predictor,20000,0.031105224849017447,0.016878382637801156
Regression Predictor,50000,0.02836631173144117,0.007792898892400301
Regression Predictor,100000,0.021253670981963308,0.006036825210455318
Regression Predictor,200000,0.01767932048799456,0.008144066378034798
Regression Predictor,500000,0.022769139472763093,0.0013377044364135937
Regression Predictor,1000000,0.023900635843839245,0.0032431176951767675
Regression Predictor,2000000,0.02288930442570844,0.001223472241598862
Regression Predictor,5000000,0.023758155648909752,0.003318833688323188
Regression Predictor,10000000,0.022634698918132735,0.0015447230497107767
Regression Predictor,20000000,0.022004068373848183,0.001261261088569099
Regression Predictor,22087162,0.02231938364599046,0.0014449561023675743
