"statistic, pvalue, row is better than column",template_48,best set: template_8,template_24,template_12,template_46,template_2,template_10,template_18,template_41,template_0,template_43,template_4,template_6,template_51,template_26,template_34,template_53,template_54,template_38,template_9,template_55,template_25,template_16,template_7,template_15,template_49,template_30,template_42,template_3,template_14,template_20,template_52,template_40,template_27,template_22,template_50,template_37,template_17,template_32,template_28,template_44,template_23,template_45,template_47,template_36,template_13,template_35,template_21,template_11,template_1,template_39,template_19,template_29,template_33,template_31,template_5,group
template_48,None,"11.00, 1.00, None","9.00, 1.00, None","14.00, 1.00, True","6.00, 1.00, True","8.00, 0.81, True","13.00, 0.71, True","6.00, 0.61, True","14.00, 0.60, True","14.00, 0.60, True","15.00, 0.61, True","10.00, 0.54, True","8.00, 0.50, True","17.00, 0.52, True","8.00, 0.38, True","3.00, 0.15, True","12.00, 0.36, True","11.00, 0.34, True","9.00, 0.31, True","13.00, 0.38, True","12.00, 0.28, True","14.00, 0.31, True","5.00, 0.14, True","16.00, 0.34, True","16.00, 0.34, True","11.00, 0.20, True","7.00, 0.13, True","8.00, 0.15, True","16.00, 0.27, True","9.00, 0.17, True","3.00, 0.06, True","7.00, 0.09, True","11.00, 0.15, True","14.00, 0.19, True","2.00, 0.02, True","5.00, 0.06, True","15.00, 0.20, True","15.00, 0.20, True","3.00, 0.02, True","8.00, 0.08, True","5.00, 0.04, True","12.00, 0.09, True","14.00, 0.11, True","10.00, 0.07, True","5.00, 0.03, True","10.00, 0.05, True","12.00, 0.05, True","12.00, 0.05, True","11.00, 0.03, True","11.00, 0.03, True","10.00, 0.02, True","8.00, 0.01, True","15.00, 0.04, True","10.00, 0.01, True","14.00, 0.01, True","8.00, 0.00, True",A
best set: template_8,"11.00, 1.00, True",None,"9.00, 1.00, None","9.00, 1.00, True","11.00, 1.00, True","4.00, 0.75, True","6.00, 0.61, True","9.00, 0.66, True","12.00, 0.57, True","7.00, 0.48, True","14.00, 0.60, True","5.00, 0.42, True","3.00, 0.34, True","15.00, 0.50, True","7.00, 0.36, True","9.00, 0.31, True","13.00, 0.38, True","9.00, 0.31, True","7.00, 0.26, True","10.00, 0.33, True","12.00, 0.28, True","11.00, 0.26, True","4.00, 0.12, True","9.00, 0.23, True","17.00, 0.35, True","10.00, 0.18, True","8.00, 0.15, True","11.00, 0.20, True","12.00, 0.22, True","9.00, 0.17, True","9.00, 0.17, True","7.00, 0.09, True","9.00, 0.12, True","12.00, 0.16, True","3.00, 0.04, True","5.00, 0.06, True","14.00, 0.19, True","13.00, 0.18, True","6.00, 0.05, True","9.00, 0.09, True","4.00, 0.03, True","11.00, 0.08, True","12.00, 0.09, True","10.00, 0.07, True","6.00, 0.03, True","8.00, 0.04, True","12.00, 0.05, True","9.00, 0.03, True","8.00, 0.02, True","9.00, 0.02, True","8.00, 0.02, True","5.00, 0.00, True","14.00, 0.03, True","11.00, 0.01, True","12.00, 0.01, True","4.00, 0.00, True",A
template_24,"9.00, 1.00, True","9.00, 1.00, True",None,"10.00, 1.00, True","8.00, 1.00, True","8.00, 0.81, True","7.00, 0.63, True","5.00, 0.58, True","10.00, 0.54, True","11.00, 0.56, True","16.00, 0.62, True","8.00, 0.50, True","9.00, 0.52, True","12.00, 0.46, True","4.00, 0.27, True","9.00, 0.31, True","11.00, 0.34, True","6.00, 0.24, True","5.00, 0.21, True","10.00, 0.33, True","12.00, 0.28, True","11.00, 0.26, True","6.00, 0.17, True","10.00, 0.25, True","15.00, 0.32, True","10.00, 0.18, True","9.00, 0.17, True","10.00, 0.18, True","13.00, 0.23, True","6.00, 0.12, True","4.00, 0.08, True","7.00, 0.09, True","4.00, 0.05, True","10.00, 0.14, True","3.00, 0.04, True","7.00, 0.09, True","14.00, 0.19, True","9.00, 0.12, True","5.00, 0.04, True","10.00, 0.10, True","7.00, 0.06, True","8.00, 0.05, True","11.00, 0.08, True","9.00, 0.06, True","7.00, 0.04, True","8.00, 0.04, True","11.00, 0.04, True","6.00, 0.01, True","10.00, 0.02, True","11.00, 0.03, True","8.00, 0.02, True","5.00, 0.00, True","10.00, 0.02, True","8.00, 0.00, True","9.00, 0.00, True","6.00, 0.00, True",A
template_12,"14.00, 1.00, False","9.00, 1.00, False","10.00, 1.00, False",None,"12.00, 1.00, None","11.00, 1.00, True","4.00, 0.75, True","9.00, 0.82, True","13.00, 0.71, True","7.00, 0.63, True","16.00, 0.74, True","6.00, 0.61, True","7.00, 0.63, True","16.00, 0.62, True","7.00, 0.48, True","15.00, 0.50, True","16.00, 0.51, True","7.00, 0.36, True","12.00, 0.46, True","10.00, 0.42, True","17.00, 0.43, True","14.00, 0.39, True","12.00, 0.36, True","12.00, 0.36, True","14.00, 0.39, True","12.00, 0.28, True","15.00, 0.32, True","11.00, 0.26, True","13.00, 0.30, True","11.00, 0.26, True","10.00, 0.25, True","8.00, 0.15, True","11.00, 0.20, True","11.00, 0.20, True","9.00, 0.17, True","11.00, 0.20, True","14.00, 0.24, True","12.00, 0.22, True","10.00, 0.14, True","12.00, 0.16, True","10.00, 0.14, True","11.00, 0.11, True","11.00, 0.11, True","10.00, 0.10, True","12.00, 0.12, True","7.00, 0.04, True","12.00, 0.07, True","9.00, 0.04, True","8.00, 0.02, True","7.00, 0.02, True","10.00, 0.04, True","9.00, 0.02, True","11.00, 0.03, True","7.00, 0.01, True","11.00, 0.01, True","6.00, 0.00, True",A
template_46,"6.00, 1.00, False","11.00, 1.00, False","8.00, 1.00, False","12.00, 1.00, True",None,"11.00, 1.00, True","11.00, 0.84, True","8.00, 0.81, True","12.00, 0.70, True","13.00, 0.71, True","14.00, 0.72, True","9.00, 0.66, True","9.00, 0.66, True","15.00, 0.61, True","8.00, 0.50, True","8.00, 0.38, True","12.00, 0.46, True","9.00, 0.40, True","8.00, 0.38, True","12.00, 0.46, True","11.00, 0.34, True","13.00, 0.38, True","8.00, 0.29, True","13.00, 0.38, True","16.00, 0.42, True","11.00, 0.26, True","10.00, 0.25, True","8.00, 0.21, True","13.00, 0.30, True","9.00, 0.23, True","6.00, 0.17, True","7.00, 0.13, True","10.00, 0.18, True","11.00, 0.20, True","6.00, 0.12, True","7.00, 0.13, True","14.00, 0.24, True","12.00, 0.22, True","5.00, 0.06, True","8.00, 0.11, True","9.00, 0.12, True","13.00, 0.13, True","12.00, 0.12, True","10.00, 0.10, True","8.00, 0.08, True","11.00, 0.08, True","11.00, 0.06, True","10.00, 0.05, True","11.00, 0.04, True","10.00, 0.04, True","8.00, 0.02, True","9.00, 0.02, True","13.00, 0.04, True","8.00, 0.01, True","12.00, 0.01, True","8.00, 0.00, True",A
template_2,"8.00, 0.81, False","4.00, 0.75, False","8.00, 0.81, False","11.00, 1.00, False","11.00, 1.00, False",None,"10.00, 1.00, True","10.00, 1.00, True","13.00, 0.85, True","12.00, 0.85, True","14.00, 0.86, True","6.00, 0.79, True","5.00, 0.77, True","14.00, 0.72, True","8.00, 0.65, True","8.00, 0.50, True","14.00, 0.60, True","10.00, 0.54, True","8.00, 0.50, True","11.00, 0.56, True","14.00, 0.49, True","13.00, 0.47, True","3.00, 0.23, True","11.00, 0.44, True","15.00, 0.50, True","8.00, 0.29, True","7.00, 0.26, True","11.00, 0.34, True","11.00, 0.34, True","9.00, 0.31, True","10.00, 0.33, True","9.00, 0.23, True","10.00, 0.25, True","15.00, 0.32, True","3.00, 0.09, True","4.00, 0.12, True","13.00, 0.30, True","11.00, 0.26, True","7.00, 0.13, True","11.00, 0.20, True","5.00, 0.10, True","11.00, 0.15, True","10.00, 0.14, True","10.00, 0.14, True","4.00, 0.05, True","9.00, 0.09, True","13.00, 0.10, True","11.00, 0.08, True","8.00, 0.04, True","9.00, 0.04, True","7.00, 0.03, True","7.00, 0.02, True","14.00, 0.06, True","11.00, 0.02, True","11.00, 0.01, True","5.00, 0.00, True",A
template_10,"13.00, 0.71, False","6.00, 0.61, False","7.00, 0.63, False","4.00, 0.75, False","11.00, 0.84, False","10.00, 1.00, False",None,"10.00, 1.00, None","14.00, 1.00, True","9.00, 1.00, True","18.00, 1.00, True","7.00, 1.00, True","7.00, 1.00, True","17.00, 0.87, True","8.00, 0.81, True","16.00, 0.74, True","13.00, 0.71, True","8.00, 0.65, True","10.00, 0.68, True","11.00, 0.69, True","14.00, 0.60, True","15.00, 0.61, True","12.00, 0.57, True","11.00, 0.56, True","16.00, 0.62, True","12.00, 0.46, True","16.00, 0.51, True","12.00, 0.46, True","12.00, 0.46, True","11.00, 0.44, True","10.00, 0.42, True","7.00, 0.26, True","10.00, 0.33, True","14.00, 0.39, True","9.00, 0.31, True","10.00, 0.33, True","14.00, 0.39, True","13.00, 0.38, True","12.00, 0.28, True","13.00, 0.30, True","11.00, 0.26, True","11.00, 0.20, True","12.00, 0.22, True","11.00, 0.20, True","12.00, 0.22, True","9.00, 0.12, True","13.00, 0.13, True","10.00, 0.10, True","8.00, 0.05, True","10.00, 0.07, True","10.00, 0.07, True","9.00, 0.04, True","13.00, 0.07, True","9.00, 0.02, True","12.00, 0.02, True","8.00, 0.01, True",A
template_18,"6.00, 0.61, False","9.00, 0.66, False","5.00, 0.58, False","9.00, 0.82, False","8.00, 0.81, False","10.00, 1.00, False","10.00, 1.00, True",None,"14.00, 1.00, True","13.00, 1.00, True","18.00, 1.00, True","7.00, 1.00, True","8.00, 1.00, True","17.00, 0.87, True","8.00, 0.81, True","7.00, 0.63, True","14.00, 0.72, True","11.00, 0.69, True","10.00, 0.68, True","10.00, 0.68, True","14.00, 0.60, True","13.00, 0.58, True","7.00, 0.48, True","12.00, 0.57, True","15.00, 0.61, True","11.00, 0.44, True","8.00, 0.38, True","11.00, 0.44, True","13.00, 0.47, True","8.00, 0.38, True","3.00, 0.23, True","9.00, 0.31, True","10.00, 0.33, True","11.00, 0.34, True","5.00, 0.21, True","8.00, 0.29, True","13.00, 0.38, True","11.00, 0.34, True","3.00, 0.09, True","10.00, 0.25, True","6.00, 0.17, True","10.00, 0.18, True","12.00, 0.22, True","10.00, 0.18, True","9.00, 0.17, True","8.00, 0.11, True","9.00, 0.09, True","8.00, 0.08, True","10.00, 0.07, True","11.00, 0.08, True","11.00, 0.08, True","5.00, 0.02, True","13.00, 0.07, True","6.00, 0.01, True","10.00, 0.02, True","4.00, 0.00, True",A
template_41,"14.00, 0.60, False","12.00, 0.57, False","10.00, 0.54, False","13.00, 0.71, False","12.00, 0.70, False","13.00, 0.85, False","14.00, 1.00, False","14.00, 1.00, False",None,"16.00, 1.00, None","12.00, 1.00, None","14.00, 1.00, None","13.00, 1.00, None","11.00, 1.00, True","13.00, 1.00, True","16.00, 0.86, True","12.00, 0.85, True","10.00, 0.83, True","11.00, 0.84, True","11.00, 0.84, True","13.00, 0.71, True","13.00, 0.71, True","13.00, 0.71, True","14.00, 0.72, True","15.00, 0.73, True","11.00, 0.56, True","15.00, 0.61, True","15.00, 0.61, True","14.00, 0.60, True","12.00, 0.57, True","15.00, 0.61, True","10.00, 0.42, True","10.00, 0.42, True","11.00, 0.44, True","12.00, 0.46, True","11.00, 0.44, True","10.00, 0.42, True","13.00, 0.47, True","14.00, 0.39, True","13.00, 0.38, True","13.00, 0.38, True","10.00, 0.25, True","12.00, 0.28, True","11.00, 0.26, True","10.00, 0.25, True","11.00, 0.20, True","10.00, 0.14, True","12.00, 0.16, True","12.00, 0.12, True","10.00, 0.10, True","4.00, 0.03, True","11.00, 0.08, True","6.00, 0.03, True","8.00, 0.02, True","10.00, 0.02, True","8.00, 0.01, True",A
template_0,"14.00, 0.60, False","7.00, 0.48, False","11.00, 0.56, False","7.00, 0.63, False","13.00, 0.71, False","12.00, 0.85, False","9.00, 1.00, False","13.00, 1.00, False","16.00, 1.00, True",None,"17.00, 1.00, None","10.00, 1.00, None","11.00, 1.00, None","18.00, 1.00, True","10.00, 1.00, True","15.00, 0.86, True","15.00, 0.86, True","11.00, 0.84, True","11.00, 0.84, True","12.00, 0.85, True","16.00, 0.74, True","13.00, 0.71, True","12.00, 0.70, True","11.00, 0.69, True","17.00, 0.74, True","14.00, 0.60, True","13.00, 0.58, True","11.00, 0.56, True","14.00, 0.60, True","7.00, 0.48, True","13.00, 0.58, True","10.00, 0.42, True","11.00, 0.44, True","13.00, 0.47, True","11.00, 0.44, True","13.00, 0.47, True","15.00, 0.50, True","15.00, 0.50, True","11.00, 0.34, True","10.00, 0.33, True","11.00, 0.34, True","11.00, 0.26, True","15.00, 0.32, True","12.00, 0.28, True","12.00, 0.28, True","9.00, 0.17, True","15.00, 0.20, True","12.00, 0.16, True","9.00, 0.09, True","9.00, 0.09, True","8.00, 0.08, True","10.00, 0.07, True","16.00, 0.13, True","13.00, 0.05, True","13.00, 0.04, True","5.00, 0.00, True",A
