"statistic, pvalue, row is better than column",template_37,template_36,template_39,best set: template_15,template_31,template_33,template_23,template_19,template_25,template_27,template_30,template_35,template_40,template_38,template_21,template_44,template_34,template_17,template_53,template_22,template_41,template_48,template_29,template_20,template_45,template_55,template_28,template_24,template_52,template_16,template_54,template_32,template_14,template_18,template_50,template_26,template_42,template_46,template_49,template_51,template_47,template_2,template_43,template_3,template_8,template_9,template_10,template_11,template_12,template_5,template_13,template_7,template_6,template_4,template_1,template_0,group,accuracy
template_37,None,"23.00, 1.00, None","12.00, 1.00, None","16.00, 1.00, None","15.00, 1.00, True","10.00, 1.00, True","11.00, 1.00, True","12.00, 0.85, True","12.00, 0.70, True","12.00, 0.70, True","25.00, 0.68, True","10.00, 0.54, True","25.00, 0.68, True","25.00, 0.68, True","11.00, 0.44, True","27.00, 0.60, True","23.00, 0.58, True","17.00, 0.52, True","14.00, 0.39, True","21.00, 0.47, True","11.00, 0.34, True","26.00, 0.43, True","10.00, 0.25, True","23.00, 0.34, True","14.00, 0.24, True","11.00, 0.15, True","21.00, 0.26, True","26.00, 0.31, True","23.00, 0.28, True","24.00, 0.24, True","25.00, 0.20, True","23.00, 0.18, True","21.00, 0.17, True","22.00, 0.14, True","22.00, 0.14, True","23.00, 0.15, True","21.00, 0.08, True","25.00, 0.08, True","12.00, 0.02, True","5.00, 0.00, True","12.00, 0.02, True","22.00, 0.03, True","19.00, 0.01, True","13.00, 0.00, True","19.00, 0.00, True","11.00, 0.00, True","20.00, 0.00, True","11.00, 0.00, True","19.00, 0.00, True","10.00, 0.00, True","13.00, 0.00, True","12.00, 0.00, True","19.00, 0.00, True","18.00, 0.00, True","12.00, 0.00, True","12.00, 0.00, True",A,0.751
template_36,"23.00, 1.00, True",None,"20.00, 1.00, None","22.00, 1.00, None","22.00, 1.00, True","21.00, 1.00, True","21.00, 1.00, True","25.00, 0.89, True","22.00, 0.77, True","20.00, 0.76, True","10.00, 0.54, True","21.00, 0.66, True","10.00, 0.54, True","7.00, 0.48, True","23.00, 0.58, True","12.00, 0.46, True","11.00, 0.44, True","23.00, 0.58, True","23.00, 0.49, True","6.00, 0.24, True","20.00, 0.46, True","15.00, 0.32, True","22.00, 0.40, True","12.00, 0.22, True","25.00, 0.36, True","21.00, 0.26, True","7.00, 0.09, True","12.00, 0.16, True","11.00, 0.15, True","13.00, 0.13, True","13.00, 0.10, True","7.00, 0.04, True","14.00, 0.11, True","11.00, 0.06, True","7.00, 0.03, True","14.00, 0.08, True","18.00, 0.06, True","11.00, 0.02, True","20.00, 0.06, True","20.00, 0.04, True","18.00, 0.04, True","14.00, 0.01, True","19.00, 0.01, True","18.00, 0.01, True","10.00, 0.00, True","16.00, 0.00, True","9.00, 0.00, True","17.00, 0.00, True","15.00, 0.00, True","15.00, 0.00, True","18.00, 0.00, True","17.00, 0.00, True","8.00, 0.00, True","10.00, 0.00, True","15.00, 0.00, True","9.00, 0.00, True",A,0.751
template_39,"12.00, 1.00, True","20.00, 1.00, True",None,"18.00, 1.00, None","12.00, 1.00, True","14.00, 1.00, True","11.00, 1.00, True","15.00, 0.86, True","9.00, 0.66, True","11.00, 0.69, True","24.00, 0.68, True","14.00, 0.60, True","19.00, 0.64, True","17.00, 0.63, True","14.00, 0.49, True","24.00, 0.58, True","21.00, 0.56, True","12.00, 0.46, True","8.00, 0.29, True","18.00, 0.44, True","5.00, 0.21, True","22.00, 0.40, True","11.00, 0.26, True","21.00, 0.32, True","15.00, 0.26, True","9.00, 0.12, True","20.00, 0.25, True","20.00, 0.25, True","19.00, 0.24, True","20.00, 0.20, True","20.00, 0.16, True","19.00, 0.15, True","21.00, 0.17, True","20.00, 0.13, True","19.00, 0.12, True","18.00, 0.11, True","17.00, 0.06, True","21.00, 0.06, True","13.00, 0.03, True","8.00, 0.01, True","13.00, 0.02, True","20.00, 0.02, True","16.00, 0.01, True","12.00, 0.00, True","15.00, 0.00, True","12.00, 0.00, True","16.00, 0.00, True","10.00, 0.00, True","18.00, 0.00, True","9.00, 0.00, True","11.00, 0.00, True","10.00, 0.00, True","14.00, 0.00, True","17.00, 0.00, True","14.00, 0.00, True","14.00, 0.00, True",A,0.751
template_15,"16.00, 1.00, True","22.00, 1.00, True","18.00, 1.00, True",None,"18.00, 1.00, True","18.00, 1.00, True","15.00, 1.00, True","14.00, 0.86, True","14.00, 0.72, True","14.00, 0.72, True","26.00, 0.69, True","14.00, 0.60, True","21.00, 0.66, True","22.00, 0.67, True","12.00, 0.46, True","28.00, 0.61, True","23.00, 0.58, True","14.00, 0.49, True","18.00, 0.44, True","19.00, 0.45, True","15.00, 0.41, True","27.00, 0.44, True","14.00, 0.31, True","23.00, 0.34, True","18.00, 0.29, True","16.00, 0.21, True","19.00, 0.24, True","24.00, 0.29, True","23.00, 0.28, True","24.00, 0.24, True","23.00, 0.18, True","20.00, 0.16, True","21.00, 0.17, True","22.00, 0.14, True","22.00, 0.14, True","20.00, 0.13, True","23.00, 0.09, True","28.00, 0.10, True","16.00, 0.04, True","14.00, 0.02, True","14.00, 0.02, True","23.00, 0.03, True","15.00, 0.01, True","13.00, 0.00, True","18.00, 0.00, True","14.00, 0.00, True","18.00, 0.00, True","11.00, 0.00, True","17.00, 0.00, True","11.00, 0.00, True","12.00, 0.00, True","9.00, 0.00, True","18.00, 0.00, True","16.00, 0.00, True","6.00, 0.00, True","11.00, 0.00, True",A,0.751
template_31,"15.00, 1.00, False","22.00, 1.00, False","12.00, 1.00, False","18.00, 1.00, False",None,"14.00, 1.00, None","16.00, 1.00, None","16.00, 1.00, True","15.00, 0.86, True","18.00, 0.87, True","21.00, 0.77, True","14.00, 0.72, True","21.00, 0.77, True","22.00, 0.77, True","13.00, 0.58, True","22.00, 0.67, True","23.00, 0.67, True","7.00, 0.48, True","13.00, 0.47, True","19.00, 0.54, True","15.00, 0.50, True","24.00, 0.50, True","10.00, 0.33, True","23.00, 0.41, True","8.00, 0.21, True","18.00, 0.29, True","21.00, 0.32, True","26.00, 0.37, True","25.00, 0.36, True","20.00, 0.25, True","23.00, 0.23, True","21.00, 0.21, True","21.00, 0.21, True","24.00, 0.19, True","21.00, 0.17, True","19.00, 0.15, True","23.00, 0.12, True","22.00, 0.09, True","12.00, 0.03, True","10.00, 0.02, True","13.00, 0.03, True","20.00, 0.03, True","19.00, 0.02, True","13.00, 0.00, True","17.00, 0.00, True","15.00, 0.00, True","21.00, 0.00, True","14.00, 0.00, True","22.00, 0.00, True","14.00, 0.00, True","19.00, 0.00, True","13.00, 0.00, True","18.00, 0.00, True","21.00, 0.00, True","16.00, 0.00, True","17.00, 0.00, True",A,0.746
template_33,"10.00, 1.00, False","21.00, 1.00, False","14.00, 1.00, False","18.00, 1.00, False","14.00, 1.00, True",None,"13.00, 1.00, None","9.00, 1.00, True","15.00, 0.86, True","15.00, 0.86, True","25.00, 0.78, True","9.00, 0.66, True","23.00, 0.78, True","25.00, 0.78, True","9.00, 0.52, True","26.00, 0.69, True","22.00, 0.67, True","16.00, 0.62, True","16.00, 0.51, True","19.00, 0.54, True","13.00, 0.47, True","26.00, 0.51, True","10.00, 0.33, True","23.00, 0.41, True","15.00, 0.32, True","16.00, 0.27, True","20.00, 0.31, True","25.00, 0.36, True","23.00, 0.34, True","23.00, 0.28, True","24.00, 0.24, True","20.00, 0.20, True","21.00, 0.21, True","21.00, 0.17, True","20.00, 0.16, True","23.00, 0.18, True","26.00, 0.14, True","24.00, 0.10, True","8.00, 0.02, True","8.00, 0.01, True","7.00, 0.01, True","22.00, 0.04, True","17.00, 0.01, True","17.00, 0.01, True","19.00, 0.00, True","14.00, 0.00, True","23.00, 0.00, True","12.00, 0.00, True","22.00, 0.00, True","11.00, 0.00, True","17.00, 0.00, True","12.00, 0.00, True","19.00, 0.00, True","17.00, 0.00, True","15.00, 0.00, True","17.00, 0.00, True",A,0.746
template_23,"11.00, 1.00, False","21.00, 1.00, False","11.00, 1.00, False","15.00, 1.00, False","16.00, 1.00, True","13.00, 1.00, True",None,"12.00, 1.00, True","7.00, 0.80, True","10.00, 0.83, True","26.00, 0.79, True","14.00, 0.72, True","22.00, 0.77, True","22.00, 0.77, True","11.00, 0.56, True","24.00, 0.68, True","23.00, 0.67, True","11.00, 0.56, True","13.00, 0.47, True","20.00, 0.55, True","10.00, 0.42, True","24.00, 0.50, True","12.00, 0.36, True","20.00, 0.38, True","15.00, 0.32, True","13.00, 0.23, True","21.00, 0.32, True","23.00, 0.34, True","21.00, 0.32, True","21.00, 0.26, True","22.00, 0.22, True","22.00, 0.22, True","23.00, 0.23, True","19.00, 0.15, True","19.00, 0.15, True","22.00, 0.18, True","20.00, 0.10, True","25.00, 0.10, True","10.00, 0.02, True","6.00, 0.01, True","13.00, 0.03, True","20.00, 0.03, True","20.00, 0.02, True","11.00, 0.00, True","19.00, 0.00, True","7.00, 0.00, True","18.00, 0.00, True","9.00, 0.00, True","20.00, 0.00, True","10.00, 0.00, True","13.00, 0.00, True","11.00, 0.00, True","17.00, 0.00, True","21.00, 0.00, True","13.00, 0.00, True","15.00, 0.00, True",A,0.746
template_19,"12.00, 0.85, False","25.00, 0.89, False","15.00, 0.86, False","14.00, 0.86, False","16.00, 1.00, False","9.00, 1.00, False","12.00, 1.00, False",None,"16.00, 1.00, True","18.00, 1.00, True","30.00, 0.90, True","13.00, 0.85, True","27.00, 0.89, True","28.00, 0.90, True","8.00, 0.65, True","31.00, 0.80, True","24.00, 0.78, True","13.00, 0.71, True","18.00, 0.64, True","24.00, 0.68, True","15.00, 0.61, True","28.00, 0.61, True","15.00, 0.50, True","24.00, 0.50, True","17.00, 0.43, True","18.00, 0.36, True","25.00, 0.43, True","27.00, 0.44, True","28.00, 0.45, True","28.00, 0.38, True","26.00, 0.31, True","23.00, 0.28, True","24.00, 0.29, True","21.00, 0.21, True","24.00, 0.24, True","24.00, 0.24, True","28.00, 0.18, True","29.00, 0.15, True","13.00, 0.05, True","10.00, 0.02, True","11.00, 0.03, True","26.00, 0.07, True","20.00, 0.02, True","18.00, 0.01, True","19.00, 0.00, True","12.00, 0.00, True","22.00, 0.00, True","13.00, 0.00, True","22.00, 0.00, True","7.00, 0.00, True","16.00, 0.00, True","7.00, 0.00, True","17.00, 0.00, True","16.00, 0.00, True","14.00, 0.00, True","17.00, 0.00, True",A,0.741
template_25,"12.00, 0.70, False","22.00, 0.77, False","9.00, 0.66, False","14.00, 0.72, False","15.00, 0.86, False","15.00, 0.86, False","7.00, 0.80, False","16.00, 1.00, False",None,"12.00, 1.00, None","31.00, 1.00, True","17.00, 1.00, True","24.00, 1.00, True","24.00, 1.00, True","14.00, 0.86, True","30.00, 0.90, True","27.00, 0.89, True","13.00, 0.85, True","10.00, 0.68, True","22.00, 0.77, True","13.00, 0.71, True","28.00, 0.70, True","13.00, 0.58, True","26.00, 0.60, True","17.00, 0.52, True","14.00, 0.39, True","23.00, 0.49, True","24.00, 0.50, True","23.00, 0.49, True","25.00, 0.43, True","27.00, 0.37, True","25.00, 0.36, True","23.00, 0.34, True","24.00, 0.29, True","23.00, 0.28, True","25.00, 0.30, True","24.00, 0.19, True","27.00, 0.18, True","12.00, 0.07, True","7.00, 0.02, True","15.00, 0.07, True","24.00, 0.08, True","23.00, 0.04, True","15.00, 0.01, True","20.00, 0.01, True","11.00, 0.00, True","18.00, 0.00, True","8.00, 0.00, True","21.00, 0.00, True","12.00, 0.00, True","15.00, 0.00, True","13.00, 0.00, True","19.00, 0.00, True","22.00, 0.00, True","14.00, 0.00, True","15.00, 0.00, True",A,0.736
template_27,"12.00, 0.70, False","20.00, 0.76, False","11.00, 0.69, False","14.00, 0.72, False","18.00, 0.87, False","15.00, 0.86, False","10.00, 0.83, False","18.00, 1.00, False","12.00, 1.00, True",None,"26.00, 1.00, True","17.00, 1.00, True","23.00, 1.00, True","23.00, 1.00, True","15.00, 0.86, True","26.00, 0.89, True","23.00, 0.89, True","19.00, 0.87, True","18.00, 0.75, True","23.00, 0.78, True","11.00, 0.69, True","25.00, 0.68, True","14.00, 0.60, True","21.00, 0.56, True","20.00, 0.55, True","15.00, 0.41, True","22.00, 0.48, True","26.00, 0.51, True","23.00, 0.49, True","24.00, 0.42, True","26.00, 0.37, True","23.00, 0.34, True","26.00, 0.37, True","22.00, 0.27, True","20.00, 0.25, True","23.00, 0.28, True","20.00, 0.16, True","23.00, 0.15, True","16.00, 0.10, True","12.00, 0.05, True","17.00, 0.08, True","23.00, 0.07, True","21.00, 0.04, True","13.00, 0.01, True","21.00, 0.01, True","11.00, 0.00, True","18.00, 0.00, True","10.00, 0.00, True","19.00, 0.00, True","11.00, 0.00, True","9.00, 0.00, True","10.00, 0.00, True","16.00, 0.00, True","20.00, 0.00, True","13.00, 0.00, True","14.00, 0.00, True",A,0.736
